metric,metric_value,timestamp,company_name
1,375000,2023-08-09T00:00:00,Blockchain
1,348374,2022-05-04T00:00:00,Blockchain
1,373000,2023-06-22T00:00:00,Blockchain
1,379000,2024-02-29T00:00:00,Blockchain
1,376955,2023-11-04T00:00:00,Blockchain
1,358341,2022-09-18T00:00:00,Blockchain
1,370000,2023-03-18T00:00:00,Blockchain
1,361835,2022-11-08T00:00:00,Blockchain
1,379000,2024-03-28T00:00:00,Blockchain
1,375712,2023-09-20T00:00:00,Blockchain
1,374000,2023-07-12T00:00:00,Blockchain
1,352886,2022-06-29T00:00:00,Blockchain
1,379000,2024-01-04T00:00:00,Blockchain
1,375475,2023-09-06T00:00:00,Blockchain
1,368720,2023-01-21T00:00:00,Blockchain
1,359786,2022-10-07T00:00:00,Blockchain
1,360702,2022-10-25T00:00:00,Blockchain
1,369000,2023-02-04T00:00:00,Blockchain
1,370000,2023-04-17T00:00:00,Blockchain
1,370000,2023-04-07T00:00:00,Blockchain
1,379000,2024-03-14T00:00:00,Blockchain
1,376477,2023-10-21T00:00:00,Blockchain
1,379000,2024-01-18T00:00:00,Blockchain
1,375949,2023-10-04T00:00:00,Blockchain
1,376000,2023-10-07T00:00:00,Blockchain
1,351758,2022-06-15T00:00:00,Blockchain
1,360702,2022-10-16T00:00:00,Blockchain
1,349502,2022-05-18T00:00:00,Blockchain
1,366774,2023-01-07T00:00:00,Blockchain
1,378864,2023-12-30T00:00:00,Blockchain
1,354014,2022-07-13T00:00:00,Blockchain
1,379000,2024-02-15T00:00:00,Blockchain
1,374000,2023-07-26T00:00:00,Blockchain
1,365189,2022-12-20T00:00:00,Blockchain
1,356271,2022-08-10T00:00:00,Blockchain
1,371000,2023-05-05T00:00:00,Blockchain
1,378386,2023-12-16T00:00:00,Blockchain
1,355143,2022-07-27T00:00:00,Blockchain
1,356432,2022-08-12T00:00:00,Blockchain
1,371000,2023-05-20T00:00:00,Blockchain
1,364096,2022-12-06T00:00:00,Blockchain
1,375237,2023-08-23T00:00:00,Blockchain
1,377909,2023-12-02T00:00:00,Blockchain
1,369000,2023-03-04T00:00:00,Blockchain
1,350630,2022-06-01T00:00:00,Blockchain
1,379000,2024-02-01T00:00:00,Blockchain
1,372000,2023-06-03T00:00:00,Blockchain
1,379000,2024-04-09T00:00:00,Blockchain
1,377432,2023-11-18T00:00:00,Blockchain
1,356794,2022-08-26T00:00:00,Blockchain
1,362235,2022-11-22T00:00:00,Blockchain
1,369000,2023-02-18T00:00:00,Blockchain
3,425000,2023-03-04T00:00:00,Blockchain
3,412565,2022-10-16T00:00:00,Blockchain
3,468537,2024-02-15T00:00:00,Blockchain
3,448847,2023-09-06T00:00:00,Blockchain
3,444000,2023-07-26T00:00:00,Blockchain
3,466179,2024-01-18T00:00:00,Blockchain
3,451695,2023-10-04T00:00:00,Blockchain
3,469716,2024-02-29T00:00:00,Blockchain
3,422000,2023-02-04T00:00:00,Blockchain
3,450271,2023-09-20T00:00:00,Blockchain
3,407357,2022-08-26T00:00:00,Blockchain
3,409607,2022-09-18T00:00:00,Blockchain
3,470895,2024-03-14T00:00:00,Blockchain
3,411327,2022-10-07T00:00:00,Blockchain
3,424000,2023-02-18T00:00:00,Blockchain
3,447424,2023-08-23T00:00:00,Blockchain
3,427000,2023-03-18T00:00:00,Blockchain
3,467358,2024-02-01T00:00:00,Blockchain
3,406463,2022-08-12T00:00:00,Blockchain
3,442000,2023-07-12T00:00:00,Blockchain
3,435000,2023-05-20T00:00:00,Blockchain
3,439000,2023-06-22T00:00:00,Blockchain
3,419050,2023-01-07T00:00:00,Blockchain
3,437000,2023-06-03T00:00:00,Blockchain
3,458205,2023-11-18T00:00:00,Blockchain
3,446000,2023-08-09T00:00:00,Blockchain
3,464409,2023-12-30T00:00:00,Blockchain
3,456136,2023-11-04T00:00:00,Blockchain
3,413933,2022-11-08T00:00:00,Blockchain
3,416283,2022-12-06T00:00:00,Blockchain
3,473000,2024-04-09T00:00:00,Blockchain
3,465000,2024-01-04T00:00:00,Blockchain
3,414356,2022-11-22T00:00:00,Blockchain
3,421041,2023-01-21T00:00:00,Blockchain
3,472074,2024-03-28T00:00:00,Blockchain
3,412565,2022-10-25T00:00:00,Blockchain
3,452000,2023-10-07T00:00:00,Blockchain
3,430000,2023-04-17T00:00:00,Blockchain
3,454068,2023-10-21T00:00:00,Blockchain
3,430000,2023-04-07T00:00:00,Blockchain
3,433000,2023-05-05T00:00:00,Blockchain
3,462341,2023-12-16T00:00:00,Blockchain
3,417413,2022-12-20T00:00:00,Blockchain
3,460273,2023-12-02T00:00:00,Blockchain
4,266897,2023-12-21T00:00:00,Blockchain
4,277366,2024-02-17T00:00:00,Blockchain
4,332878,2022-08-26T00:00:00,Blockchain
4,265848,2023-12-03T00:00:00,Blockchain
4,361435,2023-05-17T00:00:00,Blockchain
4,266897,2023-12-22T00:00:00,Blockchain
4,265240,2023-11-24T00:00:00,Blockchain
4,346282,2022-12-07T00:00:00,Blockchain
4,355031,2023-03-02T00:00:00,Blockchain
4,355031,2023-03-01T00:00:00,Blockchain
4,348129,2022-12-23T00:00:00,Blockchain
4,367637,2023-08-18T00:00:00,Blockchain
4,367637,2023-08-17T00:00:00,Blockchain
4,346282,2022-12-06T00:00:00,Blockchain
4,330316,2022-08-12T00:00:00,Blockchain
4,349431,2023-01-04T00:00:00,Blockchain
4,368237,2023-08-31T00:00:00,Blockchain
4,341288,2022-10-16T00:00:00,Blockchain
4,343965,2022-11-22T00:00:00,Blockchain
4,270326,2024-01-18T00:00:00,Blockchain
4,352006,2023-01-28T00:00:00,Blockchain
4,270326,2024-01-17T00:00:00,Blockchain
4,352006,2023-01-29T00:00:00,Blockchain
4,372256,2023-10-03T00:00:00,Blockchain
4,374806,2023-10-22T00:00:00,Blockchain
4,341288,2022-10-25T00:00:00,Blockchain
4,352006,2023-01-27T00:00:00,Blockchain
4,338127,2022-10-07T00:00:00,Blockchain
4,268507,2024-01-07T00:00:00,Blockchain
4,352844,2023-02-05T00:00:00,Blockchain
4,372256,2023-10-02T00:00:00,Blockchain
4,270326,2024-01-19T00:00:00,Blockchain
4,263336,2023-10-31T00:00:00,Blockchain
4,343234,2022-11-08T00:00:00,Blockchain
4,353617,2023-02-13T00:00:00,Blockchain
4,369018,2023-09-16T00:00:00,Blockchain
4,336089,2022-09-18T00:00:00,Blockchain
4,350714,2023-01-17T00:00:00,Blockchain
4,264330,2023-11-12T00:00:00,Blockchain
4,273236,2024-01-30T00:00:00,Blockchain
4,264330,2023-11-13T00:00:00,Blockchain
4,350714,2023-01-16T00:00:00,Blockchain
4,354302,2023-02-21T00:00:00,Blockchain
4,267541,2023-12-30T00:00:00,Blockchain
4,275673,2024-02-09T00:00:00,Blockchain
4,266378,2023-12-13T00:00:00,Blockchain
4,286071,2024-04-08T00:00:00,Blockchain
4,280073,2024-02-28T00:00:00,Blockchain
4,359591,2023-04-22T00:00:00,Blockchain
4,308076,2022-05-06T00:00:00,Blockchain
4,356093,2023-03-12T00:00:00,Blockchain
4,362750,2023-06-04T00:00:00,Blockchain
4,281761,2024-03-07T00:00:00,Blockchain
4,284544,2024-03-23T00:00:00,Blockchain
4,359591,2023-04-21T00:00:00,Blockchain
4,285345,2024-03-31T00:00:00,Blockchain
4,322933,2022-07-14T00:00:00,Blockchain
4,364099,2023-06-19T00:00:00,Blockchain
4,366531,2023-07-24T00:00:00,Blockchain
4,364099,2023-06-20T00:00:00,Blockchain
4,359591,2023-04-20T00:00:00,Blockchain
4,357268,2023-03-25T00:00:00,Blockchain
4,319670,2022-06-15T00:00:00,Blockchain
4,362750,2023-06-03T00:00:00,Blockchain
4,361966,2023-05-23T00:00:00,Blockchain
4,367155,2023-08-06T00:00:00,Blockchain
4,355031,2023-03-03T00:00:00,Blockchain
4,358222,2023-04-04T00:00:00,Blockchain
4,361435,2023-05-16T00:00:00,Blockchain
4,322933,2022-06-30T00:00:00,Blockchain
4,327971,2022-07-29T00:00:00,Blockchain
4,365930,2023-07-13T00:00:00,Blockchain
4,286889,2024-04-16T00:00:00,Blockchain
4,359591,2023-04-25T00:00:00,Blockchain
4,364961,2023-07-01T00:00:00,Blockchain
4,358222,2023-04-05T00:00:00,Blockchain
4,306598,2022-04-27T00:00:00,Blockchain
4,364961,2023-06-30T00:00:00,Blockchain
4,366531,2023-07-25T00:00:00,Blockchain
4,283241,2024-03-15T00:00:00,Blockchain
4,313411,2022-05-20T00:00:00,Blockchain
5,105624,2024-01-12T00:00:00,Blockchain
5,101590,2023-10-20T00:00:00,Blockchain
5,83436,2022-10-07T00:00:00,Blockchain
5,92177,2023-04-07T00:00:00,Blockchain
5,88815,2023-01-27T00:00:00,Blockchain
5,77385,2022-06-03T00:00:00,Blockchain
5,84108,2022-10-21T00:00:00,Blockchain
5,100918,2023-10-06T00:00:00,Blockchain
5,96211,2023-06-30T00:00:00,Blockchain
5,92849,2023-04-21T00:00:00,Blockchain
5,102262,2023-11-03T00:00:00,Blockchain
5,86798,2022-12-16T00:00:00,Blockchain
5,93522,2023-05-05T00:00:00,Blockchain
5,104280,2023-12-15T00:00:00,Blockchain
5,94194,2023-05-19T00:00:00,Blockchain
5,75695,2022-04-27T00:00:00,Blockchain
5,86126,2022-12-02T00:00:00,Blockchain
5,103607,2023-12-01T00:00:00,Blockchain
5,87470,2022-12-30T00:00:00,Blockchain
5,76712,2022-05-20T00:00:00,Blockchain
5,109550,2024-04-09T00:00:00,Blockchain
5,94866,2023-06-02T00:00:00,Blockchain
5,85453,2022-11-18T00:00:00,Blockchain
5,88143,2023-01-13T00:00:00,Blockchain
5,104952,2023-12-29T00:00:00,Blockchain
5,76040,2022-05-06T00:00:00,Blockchain
5,95539,2023-06-16T00:00:00,Blockchain
5,108314,2024-03-08T00:00:00,Blockchain
5,84781,2022-11-04T00:00:00,Blockchain
5,102935,2023-11-17T00:00:00,Blockchain
5,82764,2022-09-23T00:00:00,Blockchain
5,108746,2024-03-18T00:00:00,Blockchain
5,91505,2023-03-24T00:00:00,Blockchain
5,82091,2022-09-09T00:00:00,Blockchain
5,90160,2023-02-24T00:00:00,Blockchain
5,80747,2022-08-12T00:00:00,Blockchain
