metric,metric_value,timestamp,company_name
4,5480,2022-12-07T00:00:00,Bracebridge-Capital
4,5992,2023-07-13T00:00:00,Bracebridge-Capital
4,5959,2023-06-30T00:00:00,Bracebridge-Capital
4,5930,2023-06-20T00:00:00,Bracebridge-Capital
4,5930,2023-06-19T00:00:00,Bracebridge-Capital
4,5877,2023-06-04T00:00:00,Bracebridge-Capital
4,5877,2023-06-03T00:00:00,Bracebridge-Capital
4,5838,2023-05-23T00:00:00,Bracebridge-Capital
4,5838,2023-05-21T00:00:00,Bracebridge-Capital
4,5838,2023-05-18T00:00:00,Bracebridge-Capital
4,5775,2023-04-25T00:00:00,Bracebridge-Capital
4,5775,2023-04-23T00:00:00,Bracebridge-Capital
4,5775,2023-04-22T00:00:00,Bracebridge-Capital
4,5775,2023-04-21T00:00:00,Bracebridge-Capital
4,5775,2023-04-20T00:00:00,Bracebridge-Capital
4,5732,2023-04-05T00:00:00,Bracebridge-Capital
4,5732,2023-04-04T00:00:00,Bracebridge-Capital
4,5713,2023-03-25T00:00:00,Bracebridge-Capital
4,5694,2023-03-12T00:00:00,Bracebridge-Capital
4,5673,2023-03-03T00:00:00,Bracebridge-Capital
4,5673,2023-03-02T00:00:00,Bracebridge-Capital
4,5673,2023-03-01T00:00:00,Bracebridge-Capital
4,5650,2023-02-21T00:00:00,Bracebridge-Capital
4,5615,2023-02-13T00:00:00,Bracebridge-Capital
4,6025,2023-07-24T00:00:00,Bracebridge-Capital
4,6101,2023-08-04T00:00:00,Bracebridge-Capital
4,6140,2023-08-14T00:00:00,Bracebridge-Capital
4,6140,2023-08-15T00:00:00,Bracebridge-Capital
4,6940,2024-04-16T00:00:00,Bracebridge-Capital
4,6893,2024-04-08T00:00:00,Bracebridge-Capital
4,6871,2024-03-31T00:00:00,Bracebridge-Capital
4,6835,2024-03-23T00:00:00,Bracebridge-Capital
4,6797,2024-03-15T00:00:00,Bracebridge-Capital
4,6763,2024-03-07T00:00:00,Bracebridge-Capital
4,6737,2024-02-28T00:00:00,Bracebridge-Capital
4,6707,2024-02-18T00:00:00,Bracebridge-Capital
4,6675,2024-02-10T00:00:00,Bracebridge-Capital
4,6595,2024-01-30T00:00:00,Bracebridge-Capital
4,6531,2024-01-16T00:00:00,Bracebridge-Capital
4,5597,2023-02-05T00:00:00,Bracebridge-Capital
4,6479,2024-01-06T00:00:00,Bracebridge-Capital
4,6431,2023-12-18T00:00:00,Bracebridge-Capital
4,6401,2023-12-10T00:00:00,Bracebridge-Capital
4,6371,2023-12-02T00:00:00,Bracebridge-Capital
4,6354,2023-11-23T00:00:00,Bracebridge-Capital
4,6329,2023-11-11T00:00:00,Bracebridge-Capital
4,6398,2023-10-29T00:00:00,Bracebridge-Capital
4,6373,2023-10-20T00:00:00,Bracebridge-Capital
4,6373,2023-10-19T00:00:00,Bracebridge-Capital
4,6298,2023-09-29T00:00:00,Bracebridge-Capital
4,6229,2023-09-14T00:00:00,Bracebridge-Capital
4,6187,2023-08-27T00:00:00,Bracebridge-Capital
4,6448,2023-12-28T00:00:00,Bracebridge-Capital
4,5577,2023-01-29T00:00:00,Bracebridge-Capital
4,6025,2023-07-23T00:00:00,Bracebridge-Capital
4,5577,2023-01-28T00:00:00,Bracebridge-Capital
4,5528,2023-01-05T00:00:00,Bracebridge-Capital
4,5554,2023-01-18T00:00:00,Bracebridge-Capital
4,5501,2022-12-24T00:00:00,Bracebridge-Capital
8,10665,2023-12-03T00:00:00,Bracebridge-Capital
8,4031,2024-01-19T00:00:00,Bracebridge-Capital
8,4031,2024-01-20T00:00:00,Bracebridge-Capital
8,4806,2023-12-19T00:00:00,Bracebridge-Capital
8,4031,2024-01-21T00:00:00,Bracebridge-Capital
8,4031,2024-01-22T00:00:00,Bracebridge-Capital
8,7680,2023-11-02T00:00:00,Bracebridge-Capital
8,10665,2023-11-18T00:00:00,Bracebridge-Capital
8,4867,2023-10-08T00:00:00,Bracebridge-Capital
8,4806,2024-01-03T00:00:00,Bracebridge-Capital
8,4695,2024-02-19T00:00:00,Bracebridge-Capital
8,7680,2023-10-10T00:00:00,Bracebridge-Capital
8,4031,2024-01-23T00:00:00,Bracebridge-Capital
8,7680,2023-10-26T00:00:00,Bracebridge-Capital
9,139,2023-03-01T02:30:42,Bracebridge-Capital
9,146,2023-01-18T05:38:40,Bracebridge-Capital
9,138,2023-04-05T14:52:40,Bracebridge-Capital
9,154,2024-01-30T21:04:27,Bracebridge-Capital
9,144,2023-09-29T03:41:30,Bracebridge-Capital
9,139,2023-02-21T03:57:04,Bracebridge-Capital
9,157,2024-01-16T03:44:21,Bracebridge-Capital
9,145,2023-10-19T03:34:19,Bracebridge-Capital
9,138,2023-03-25T03:23:59,Bracebridge-Capital
9,160,2024-01-06T02:16:55,Bracebridge-Capital
9,136,2023-04-25T22:21:58,Bracebridge-Capital
9,138,2023-03-12T03:53:56,Bracebridge-Capital
9,143,2023-06-30T05:28:03,Bracebridge-Capital
9,158,2023-12-10T03:34:31,Bracebridge-Capital
9,153,2023-11-23T02:48:35,Bracebridge-Capital
9,148,2023-11-11T04:44:15,Bracebridge-Capital
9,147,2023-10-29T04:30:20,Bracebridge-Capital
9,138,2023-04-04T03:36:43,Bracebridge-Capital
9,139,2023-03-03T03:07:55,Bracebridge-Capital
9,139,2023-06-03T04:41:29,Bracebridge-Capital
9,139,2023-03-02T03:00:19,Bracebridge-Capital
9,139,2023-06-04T03:41:00,Bracebridge-Capital
9,160,2023-12-28T01:56:06,Bracebridge-Capital
9,136,2023-05-18T14:02:14,Bracebridge-Capital
9,147,2023-09-14T05:10:56,Bracebridge-Capital
9,145,2023-10-20T01:43:36,Bracebridge-Capital
9,160,2023-12-18T04:36:44,Bracebridge-Capital
9,155,2024-02-10T04:20:20,Bracebridge-Capital
9,154,2023-12-02T04:44:42,Bracebridge-Capital
9,153,2024-03-07T06:28:24,Bracebridge-Capital
9,145,2023-07-24T01:52:37,Bracebridge-Capital
9,153,2024-03-23T04:24:03,Bracebridge-Capital
9,143,2023-01-29T03:25:10,Bracebridge-Capital
9,136,2023-05-21T05:32:00,Bracebridge-Capital
9,144,2023-01-05T04:39:31,Bracebridge-Capital
9,142,2023-02-13T05:07:40,Bracebridge-Capital
9,145,2023-07-23T04:28:26,Bracebridge-Capital
9,146,2023-08-04T07:48:17,Bracebridge-Capital
9,143,2022-12-07T17:03:40,Bracebridge-Capital
9,136,2023-04-22T08:25:42,Bracebridge-Capital
9,155,2024-03-15T09:44:02,Bracebridge-Capital
9,136,2023-04-21T14:06:33,Bracebridge-Capital
9,154,2024-03-31T05:28:20,Bracebridge-Capital
9,155,2024-04-08T08:25:24,Bracebridge-Capital
9,148,2023-08-14T03:33:15,Bracebridge-Capital
9,142,2023-06-20T02:46:59,Bracebridge-Capital
9,141,2023-02-05T02:59:11,Bracebridge-Capital
9,136,2023-04-23T02:17:17,Bracebridge-Capital
9,136,2023-04-20T02:49:57,Bracebridge-Capital
9,147,2023-08-27T04:57:36,Bracebridge-Capital
9,148,2023-08-15T05:21:20,Bracebridge-Capital
9,143,2022-12-24T03:33:08,Bracebridge-Capital
9,142,2023-06-19T02:28:19,Bracebridge-Capital
9,154,2024-02-18T01:24:38,Bracebridge-Capital
9,136,2023-05-23T11:29:46,Bracebridge-Capital
9,144,2023-07-13T05:33:47,Bracebridge-Capital
9,153,2024-04-16T07:25:11,Bracebridge-Capital
9,153,2024-02-28T06:52:53,Bracebridge-Capital
9,143,2023-01-28T13:39:55,Bracebridge-Capital
11,2,2023-06-20T02:46:59,Bracebridge-Capital
11,2,2023-03-12T03:53:56,Bracebridge-Capital
11,2,2023-11-11T04:44:15,Bracebridge-Capital
11,2,2023-07-13T05:33:47,Bracebridge-Capital
11,2,2023-11-23T02:48:35,Bracebridge-Capital
11,2,2023-07-23T04:28:26,Bracebridge-Capital
11,2,2023-06-30T05:28:03,Bracebridge-Capital
11,2,2023-10-29T04:30:20,Bracebridge-Capital
