metric,metric_value,timestamp,company_name
1,212,2022-04-27T00:00:00,Coalition
1,218,2022-05-25T00:00:00,Coalition
1,279,2023-06-05T00:00:00,Coalition
1,277,2023-03-15T00:00:00,Coalition
1,277,2023-03-18T00:00:00,Coalition
1,243,2022-09-28T00:00:00,Coalition
1,287,2023-08-06T00:00:00,Coalition
1,282,2023-07-23T00:00:00,Coalition
1,300,2024-02-08T00:00:00,Coalition
1,303,2023-10-19T00:00:00,Coalition
1,302,2023-11-30T00:00:00,Coalition
1,277,2023-04-07T00:00:00,Coalition
1,240,2022-09-14T00:00:00,Coalition
1,237,2022-08-31T00:00:00,Coalition
1,300,2024-01-25T00:00:00,Coalition
1,223,2022-06-22T00:00:00,Coalition
1,300,2024-01-11T00:00:00,Coalition
1,299,2024-04-09T00:00:00,Coalition
1,281,2023-07-08T00:00:00,Coalition
1,277,2023-04-17T00:00:00,Coalition
1,251,2022-11-09T00:00:00,Coalition
1,301,2023-12-14T00:00:00,Coalition
1,234,2022-08-17T00:00:00,Coalition
1,232,2022-08-03T00:00:00,Coalition
1,229,2022-07-20T00:00:00,Coalition
1,278,2023-05-04T00:00:00,Coalition
1,279,2023-06-22T00:00:00,Coalition
1,279,2023-05-23T00:00:00,Coalition
1,226,2022-07-06T00:00:00,Coalition
1,301,2023-12-28T00:00:00,Coalition
1,274,2023-03-01T00:00:00,Coalition
1,299,2024-02-22T00:00:00,Coalition
1,220,2022-06-08T00:00:00,Coalition
1,293,2023-09-21T00:00:00,Coalition
1,303,2023-11-02T00:00:00,Coalition
1,265,2023-01-18T00:00:00,Coalition
1,246,2022-10-12T00:00:00,Coalition
1,293,2023-09-17T00:00:00,Coalition
1,257,2022-12-07T00:00:00,Coalition
1,215,2022-05-11T00:00:00,Coalition
1,297,2023-10-05T00:00:00,Coalition
1,248,2022-10-26T00:00:00,Coalition
1,299,2024-03-07T00:00:00,Coalition
1,263,2023-01-04T00:00:00,Coalition
1,254,2022-11-23T00:00:00,Coalition
1,260,2022-12-21T00:00:00,Coalition
1,268,2023-02-01T00:00:00,Coalition
1,291,2023-09-03T00:00:00,Coalition
1,298,2024-03-30T00:00:00,Coalition
1,302,2023-11-16T00:00:00,Coalition
1,271,2023-02-15T00:00:00,Coalition
1,298,2024-03-21T00:00:00,Coalition
1,289,2023-08-20T00:00:00,Coalition
