metric,metric_value,timestamp,company_name
1,368,2023-12-29T00:00:00,Corelight
1,367,2023-12-01T00:00:00,Corelight
1,354,2022-12-19T00:00:00,Corelight
1,315,2022-07-13T00:00:00,Corelight
1,367,2023-11-17T00:00:00,Corelight
1,369,2024-01-29T00:00:00,Corelight
1,366,2023-11-03T00:00:00,Corelight
1,308,2022-06-29T00:00:00,Corelight
1,370,2024-03-08T00:00:00,Corelight
1,366,2023-10-20T00:00:00,Corelight
1,357,2023-01-20T00:00:00,Corelight
1,366,2023-10-03T00:00:00,Corelight
1,302,2022-06-15T00:00:00,Corelight
1,359,2023-02-03T00:00:00,Corelight
1,295,2022-06-01T00:00:00,Corelight
1,370,2024-03-22T00:00:00,Corelight
1,366,2023-05-23T00:00:00,Corelight
1,366,2023-09-16T00:00:00,Corelight
1,370,2024-02-23T00:00:00,Corelight
1,368,2023-12-15T00:00:00,Corelight
1,337,2022-09-17T00:00:00,Corelight
1,331,2022-08-29T00:00:00,Corelight
1,345,2022-10-01T00:00:00,Corelight
1,365,2023-06-05T00:00:00,Corelight
1,370,2024-02-09T00:00:00,Corelight
1,351,2022-10-14T00:00:00,Corelight
1,327,2022-08-14T00:00:00,Corelight
1,351,2022-10-24T00:00:00,Corelight
1,369,2024-01-15T00:00:00,Corelight
1,353,2022-11-07T00:00:00,Corelight
1,368,2024-01-01T00:00:00,Corelight
1,352,2022-11-21T00:00:00,Corelight
1,353,2022-12-05T00:00:00,Corelight
1,323,2022-07-30T00:00:00,Corelight
1,322,2022-07-27T00:00:00,Corelight
1,364,2023-06-22T00:00:00,Corelight
1,360,2023-02-17T00:00:00,Corelight
1,354,2023-01-06T00:00:00,Corelight
1,365,2023-07-25T00:00:00,Corelight
1,366,2023-08-08T00:00:00,Corelight
1,282,2022-05-04T00:00:00,Corelight
1,363,2023-03-17T00:00:00,Corelight
1,360,2023-03-03T00:00:00,Corelight
1,370,2024-04-02T00:00:00,Corelight
1,367,2023-08-24T00:00:00,Corelight
1,362,2023-04-07T00:00:00,Corelight
1,362,2023-05-02T00:00:00,Corelight
1,364,2023-07-10T00:00:00,Corelight
1,362,2023-04-17T00:00:00,Corelight
1,288,2022-05-18T00:00:00,Corelight
3,420,2024-03-22T00:00:00,Corelight
3,402,2023-02-03T00:00:00,Corelight
3,411,2023-07-25T00:00:00,Corelight
3,393,2022-10-24T00:00:00,Corelight
3,414,2023-11-17T00:00:00,Corelight
3,370,2022-08-14T00:00:00,Corelight
3,404,2023-05-02T00:00:00,Corelight
3,398,2022-12-19T00:00:00,Corelight
3,420,2024-04-02T00:00:00,Corelight
3,414,2023-12-01T00:00:00,Corelight
3,405,2023-03-17T00:00:00,Corelight
3,381,2022-09-17T00:00:00,Corelight
3,407,2023-06-22T00:00:00,Corelight
3,397,2022-11-07T00:00:00,Corelight
3,408,2023-05-23T00:00:00,Corelight
3,403,2023-04-17T00:00:00,Corelight
3,415,2023-12-15T00:00:00,Corelight
3,418,2024-01-29T00:00:00,Corelight
3,415,2024-01-01T00:00:00,Corelight
3,397,2022-12-05T00:00:00,Corelight
3,401,2023-02-17T00:00:00,Corelight
3,366,2022-07-30T00:00:00,Corelight
3,412,2023-08-08T00:00:00,Corelight
3,415,2023-12-29T00:00:00,Corelight
3,416,2024-01-15T00:00:00,Corelight
3,398,2023-01-06T00:00:00,Corelight
3,419,2024-02-23T00:00:00,Corelight
3,393,2022-10-14T00:00:00,Corelight
3,408,2023-06-05T00:00:00,Corelight
3,389,2022-10-01T00:00:00,Corelight
3,413,2023-10-20T00:00:00,Corelight
3,396,2022-11-21T00:00:00,Corelight
3,403,2023-04-07T00:00:00,Corelight
3,412,2023-10-03T00:00:00,Corelight
3,413,2023-08-24T00:00:00,Corelight
3,420,2024-03-08T00:00:00,Corelight
3,419,2024-02-09T00:00:00,Corelight
3,401,2023-03-03T00:00:00,Corelight
3,374,2022-08-29T00:00:00,Corelight
3,413,2023-11-03T00:00:00,Corelight
3,408,2023-07-10T00:00:00,Corelight
