metric,metric_value,timestamp,company_name
1,82,2023-07-25T00:00:00,Crossbeam
1,74,2022-04-29T00:00:00,Crossbeam
1,87,2023-12-17T00:00:00,Crossbeam
1,81,2023-06-27T00:00:00,Crossbeam
1,79,2023-01-24T00:00:00,Crossbeam
1,80,2023-05-01T00:00:00,Crossbeam
1,81,2023-06-10T00:00:00,Crossbeam
1,78,2022-10-28T00:00:00,Crossbeam
1,80,2023-02-22T00:00:00,Crossbeam
1,83,2023-08-24T00:00:00,Crossbeam
1,87,2024-02-11T00:00:00,Crossbeam
1,87,2023-12-11T00:00:00,Crossbeam
1,87,2024-03-30T00:00:00,Crossbeam
1,75,2022-06-10T00:00:00,Crossbeam
1,78,2022-10-16T00:00:00,Crossbeam
1,75,2022-05-27T00:00:00,Crossbeam
1,75,2022-05-13T00:00:00,Crossbeam
1,81,2023-05-15T00:00:00,Crossbeam
1,87,2024-03-24T00:00:00,Crossbeam
1,86,2023-11-27T00:00:00,Crossbeam
1,81,2023-05-26T00:00:00,Crossbeam
1,87,2024-02-25T00:00:00,Crossbeam
1,77,2022-09-22T00:00:00,Crossbeam
1,87,2023-12-31T00:00:00,Crossbeam
1,77,2022-10-07T00:00:00,Crossbeam
1,83,2023-09-07T00:00:00,Crossbeam
1,79,2023-02-07T00:00:00,Crossbeam
1,85,2023-10-30T00:00:00,Crossbeam
1,78,2022-11-11T00:00:00,Crossbeam
1,75,2022-06-24T00:00:00,Crossbeam
1,85,2023-10-16T00:00:00,Crossbeam
1,80,2023-03-08T00:00:00,Crossbeam
1,79,2023-01-10T00:00:00,Crossbeam
1,79,2022-12-23T00:00:00,Crossbeam
1,87,2024-03-10T00:00:00,Crossbeam
1,78,2022-12-09T00:00:00,Crossbeam
1,75,2022-07-08T00:00:00,Crossbeam
1,76,2022-07-22T00:00:00,Crossbeam
1,80,2023-04-11T00:00:00,Crossbeam
1,87,2024-01-14T00:00:00,Crossbeam
1,76,2022-08-05T00:00:00,Crossbeam
1,81,2023-07-11T00:00:00,Crossbeam
1,80,2023-04-17T00:00:00,Crossbeam
1,87,2024-01-28T00:00:00,Crossbeam
1,87,2024-04-12T00:00:00,Crossbeam
1,86,2023-11-13T00:00:00,Crossbeam
1,84,2023-10-02T00:00:00,Crossbeam
1,76,2022-08-29T00:00:00,Crossbeam
1,78,2022-11-25T00:00:00,Crossbeam
1,83,2023-08-08T00:00:00,Crossbeam
1,84,2023-09-21T00:00:00,Crossbeam
1,80,2023-03-22T00:00:00,Crossbeam
1,76,2022-08-19T00:00:00,Crossbeam
3,90,2023-08-24T00:00:00,Crossbeam
3,88,2023-06-10T00:00:00,Crossbeam
3,83,2022-09-12T00:00:00,Crossbeam
3,83,2022-08-29T00:00:00,Crossbeam
3,96,2024-03-10T00:00:00,Crossbeam
3,94,2023-12-11T00:00:00,Crossbeam
3,90,2023-09-07T00:00:00,Crossbeam
3,84,2022-10-07T00:00:00,Crossbeam
3,92,2023-10-16T00:00:00,Crossbeam
3,86,2023-01-10T00:00:00,Crossbeam
3,86,2022-12-23T00:00:00,Crossbeam
3,85,2022-12-09T00:00:00,Crossbeam
3,87,2023-04-11T00:00:00,Crossbeam
3,95,2024-01-14T00:00:00,Crossbeam
3,87,2023-04-17T00:00:00,Crossbeam
3,95,2024-01-28T00:00:00,Crossbeam
3,91,2023-10-02T00:00:00,Crossbeam
3,85,2022-11-25T00:00:00,Crossbeam
