metric,metric_value,timestamp,company_name
1,203800,2024-01-18T00:00:00,DocuSign
1,204000,2023-07-28T00:00:00,DocuSign
1,204000,2023-11-07T00:00:00,DocuSign
1,204000,2023-07-06T00:00:00,DocuSign
1,204000,2023-10-08T00:00:00,DocuSign
1,204000,2023-11-21T00:00:00,DocuSign
1,204000,2023-08-15T00:00:00,DocuSign
1,204000,2023-12-05T00:00:00,DocuSign
1,204000,2023-12-17T00:00:00,DocuSign
1,204000,2023-09-24T00:00:00,DocuSign
1,204000,2024-01-04T00:00:00,DocuSign
1,204000,2023-09-15T00:00:00,DocuSign
1,204000,2023-10-23T00:00:00,DocuSign
1,204000,2023-06-22T00:00:00,DocuSign
1,204000,2023-09-01T00:00:00,DocuSign
1,203600,2024-02-01T00:00:00,DocuSign
1,204000,2023-07-20T00:00:00,DocuSign
1,204000,2023-08-18T00:00:00,DocuSign
1,203000,2024-03-14T00:00:00,DocuSign
1,203000,2024-04-02T00:00:00,DocuSign
1,204000,2023-08-14T00:00:00,DocuSign
1,203400,2024-02-15T00:00:00,DocuSign
1,203200,2024-02-29T00:00:00,DocuSign
1,204000,2023-08-17T00:00:00,DocuSign
1,204000,2023-08-16T00:00:00,DocuSign
3,203200,2024-02-29T00:00:00,DocuSign
3,203800,2024-01-18T00:00:00,DocuSign
3,204000,2024-01-04T00:00:00,DocuSign
3,203000,2024-04-02T00:00:00,DocuSign
3,203400,2024-02-15T00:00:00,DocuSign
3,203000,2024-03-14T00:00:00,DocuSign
3,203000,2023-12-17T00:00:00,DocuSign
3,203600,2024-02-01T00:00:00,DocuSign
4,5,2023-08-16T00:00:00,DocuSign
4,5,2023-08-26T00:00:00,DocuSign
4,5,2023-10-23T00:00:00,DocuSign
4,5,2023-10-16T00:00:00,DocuSign
4,5,2023-10-08T00:00:00,DocuSign
4,5,2024-04-08T00:00:00,DocuSign
4,5,2023-08-17T00:00:00,DocuSign
4,5,2023-09-26T00:00:00,DocuSign
4,5,2023-09-25T00:00:00,DocuSign
4,5,2023-09-24T00:00:00,DocuSign
4,5,2023-09-11T00:00:00,DocuSign
4,5,2023-08-18T00:00:00,DocuSign
4,5,2023-08-25T00:00:00,DocuSign
4,5,2023-09-27T00:00:00,DocuSign
4,4,2022-12-27T00:00:00,DocuSign
4,5,2023-11-28T00:00:00,DocuSign
4,5,2023-11-04T00:00:00,DocuSign
4,5,2024-04-02T00:00:00,DocuSign
4,5,2024-03-31T00:00:00,DocuSign
4,5,2024-03-23T00:00:00,DocuSign
4,5,2024-03-15T00:00:00,DocuSign
4,5,2024-03-14T00:00:00,DocuSign
4,5,2024-03-07T00:00:00,DocuSign
4,5,2024-02-28T00:00:00,DocuSign
4,5,2024-02-18T00:00:00,DocuSign
4,5,2024-02-10T00:00:00,DocuSign
4,5,2024-01-30T00:00:00,DocuSign
4,5,2024-01-15T00:00:00,DocuSign
4,5,2024-01-05T00:00:00,DocuSign
4,5,2024-01-04T00:00:00,DocuSign
4,5,2023-12-27T00:00:00,DocuSign
4,5,2023-12-17T00:00:00,DocuSign
4,5,2023-12-16T00:00:00,DocuSign
4,5,2023-12-08T00:00:00,DocuSign
4,5,2023-11-19T00:00:00,DocuSign
4,5,2023-11-08T00:00:00,DocuSign
4,5,2023-11-07T00:00:00,DocuSign
4,5,2023-11-05T00:00:00,DocuSign
4,5,2023-10-26T00:00:00,DocuSign
4,5,2023-08-15T00:00:00,DocuSign
4,5,2024-04-16T00:00:00,DocuSign
4,4,2023-04-27T00:00:00,DocuSign
4,4,2023-05-01T00:00:00,DocuSign
4,4,2023-04-26T00:00:00,DocuSign
4,4,2023-04-25T00:00:00,DocuSign
4,4,2023-04-23T00:00:00,DocuSign
4,5,2023-07-18T00:00:00,DocuSign
4,5,2023-07-08T00:00:00,DocuSign
4,4,2023-04-15T00:00:00,DocuSign
4,4,2023-03-30T00:00:00,DocuSign
4,4,2023-03-22T00:00:00,DocuSign
4,5,2023-06-10T00:00:00,DocuSign
4,4,2023-03-09T00:00:00,DocuSign
4,5,2023-07-19T00:00:00,DocuSign
4,5,2023-06-13T00:00:00,DocuSign
4,5,2023-06-14T00:00:00,DocuSign
4,4,2023-05-27T00:00:00,DocuSign
4,4,2023-05-28T00:00:00,DocuSign
4,5,2023-08-13T00:00:00,DocuSign
4,5,2023-06-28T00:00:00,DocuSign
4,5,2023-07-06T00:00:00,DocuSign
4,5,2023-07-07T00:00:00,DocuSign
4,5,2023-08-14T00:00:00,DocuSign
4,4,2023-01-07T00:00:00,DocuSign
4,5,2023-07-28T00:00:00,DocuSign
4,4,2023-01-30T00:00:00,DocuSign
4,4,2023-02-10T00:00:00,DocuSign
4,4,2023-02-18T00:00:00,DocuSign
4,4,2023-02-26T00:00:00,DocuSign
4,4,2023-01-20T00:00:00,DocuSign
6,43576,2023-08-31T00:00:00,DocuSign
6,43400,2023-11-07T00:00:00,DocuSign
6,43835,2023-07-06T00:00:00,DocuSign
6,43511,2023-09-14T00:00:00,DocuSign
6,43641,2023-08-17T00:00:00,DocuSign
6,43900,2023-06-22T00:00:00,DocuSign
6,43400,2023-10-08T00:00:00,DocuSign
6,43706,2023-08-03T00:00:00,DocuSign
6,43446,2023-09-28T00:00:00,DocuSign
6,43400,2023-10-23T00:00:00,DocuSign
6,43770,2023-07-20T00:00:00,DocuSign
8,954,2023-10-08T00:00:00,DocuSign
8,573,2023-10-10T00:00:00,DocuSign
9,54,2023-06-22T07:46:55,DocuSign
9,54,2024-04-02T12:28:06,DocuSign
9,54,2023-12-17T00:12:09,DocuSign
9,54,2023-11-07T08:04:32,DocuSign
9,54,2023-08-18T07:57:43,DocuSign
9,54,2023-10-08T16:27:17,DocuSign
9,54,2023-08-16T19:14:47,DocuSign
9,54,2023-08-17T08:57:29,DocuSign
9,54,2024-03-14T20:56:41,DocuSign
9,54,2024-01-04T09:25:00,DocuSign
9,54,2023-10-23T05:52:51,DocuSign
9,54,2023-09-24T12:00:28,DocuSign
9,54,2023-07-28T10:26:53,DocuSign
9,54,2023-08-15T06:36:37,DocuSign
9,54,2023-08-14T11:59:01,DocuSign
10,1,2023-08-18T07:57:43,DocuSign
10,1,2023-10-08T16:27:17,DocuSign
10,1,2023-11-07T08:04:32,DocuSign
10,1,2023-09-24T12:00:28,DocuSign
10,1,2023-07-28T10:26:53,DocuSign
10,1,2023-06-22T07:46:55,DocuSign
10,1,2023-10-23T05:52:51,DocuSign
10,1,2023-08-15T06:36:37,DocuSign
10,1,2024-04-02T12:28:06,DocuSign
10,1,2023-12-17T00:12:09,DocuSign
10,1,2023-08-14T11:59:01,DocuSign
10,1,2024-03-14T20:56:41,DocuSign
10,1,2023-08-16T19:14:47,DocuSign
10,1,2023-08-17T08:57:29,DocuSign
10,1,2024-01-04T09:25:00,DocuSign
11,6,2024-04-02T12:28:06,DocuSign
11,6,2023-10-08T16:27:17,DocuSign
11,6,2023-09-24T12:00:28,DocuSign
11,6,2024-03-14T20:56:41,DocuSign
11,6,2023-08-14T11:59:01,DocuSign
11,6,2023-10-23T05:52:51,DocuSign
11,6,2023-08-15T06:36:37,DocuSign
11,6,2023-06-22T07:46:55,DocuSign
11,6,2023-08-16T19:14:47,DocuSign
11,6,2024-01-04T09:25:00,DocuSign
11,6,2023-12-17T00:12:09,DocuSign
11,6,2023-08-18T07:57:43,DocuSign
11,6,2023-11-07T08:04:32,DocuSign
11,6,2023-07-28T10:26:53,DocuSign
11,6,2023-08-17T08:57:29,DocuSign
12,2,2023-08-17T08:57:29,DocuSign
12,2,2024-04-02T12:28:06,DocuSign
12,2,2023-12-17T00:12:09,DocuSign
12,2,2023-08-15T06:36:37,DocuSign
12,2,2024-03-14T20:56:41,DocuSign
12,2,2023-11-07T08:04:32,DocuSign
12,2,2023-06-22T07:46:55,DocuSign
12,2,2023-10-23T05:52:51,DocuSign
12,2,2023-08-18T07:57:43,DocuSign
12,2,2024-01-04T09:25:00,DocuSign
12,2,2023-08-14T11:59:01,DocuSign
12,2,2023-10-08T16:27:17,DocuSign
12,2,2023-08-16T19:14:47,DocuSign
12,2,2023-07-28T10:26:53,DocuSign
12,2,2023-09-24T12:00:28,DocuSign
13,1,2024-04-02T12:28:06,DocuSign
13,1,2023-12-17T00:12:09,DocuSign
13,1,2024-03-14T20:56:41,DocuSign
13,1,2023-10-23T05:52:51,DocuSign
13,1,2024-01-04T09:25:00,DocuSign
13,1,2023-11-07T08:04:32,DocuSign
13,1,2023-10-08T16:27:17,DocuSign
13,1,2023-06-22T07:46:55,DocuSign
13,1,2023-09-24T12:00:28,DocuSign
13,1,2023-07-28T10:26:53,DocuSign
13,1,2023-08-16T19:14:47,DocuSign
13,1,2023-08-14T11:59:01,DocuSign
13,1,2023-08-15T06:36:37,DocuSign
13,1,2023-08-17T08:57:29,DocuSign
13,1,2023-08-18T07:57:43,DocuSign
14,8,2023-08-16T19:14:47,DocuSign
14,8,2023-10-23T05:52:51,DocuSign
14,8,2024-04-02T12:28:06,DocuSign
14,8,2023-08-18T07:57:43,DocuSign
14,8,2023-11-07T08:04:32,DocuSign
14,8,2024-03-14T20:56:41,DocuSign
14,8,2023-09-24T12:00:28,DocuSign
14,8,2023-06-22T07:46:55,DocuSign
14,8,2023-08-15T06:36:37,DocuSign
14,8,2023-07-28T10:26:53,DocuSign
14,8,2023-12-17T00:12:09,DocuSign
14,8,2024-01-04T09:25:00,DocuSign
14,8,2023-10-08T16:27:17,DocuSign
14,8,2023-08-17T08:57:29,DocuSign
14,8,2023-08-14T11:59:01,DocuSign
15,2,2023-08-14T11:59:01,DocuSign
15,2,2023-08-15T06:36:37,DocuSign
15,2,2023-12-17T00:12:09,DocuSign
15,2,2023-08-18T07:57:43,DocuSign
15,2,2023-08-16T19:14:47,DocuSign
15,2,2023-06-22T07:46:55,DocuSign
15,2,2024-03-14T20:56:41,DocuSign
15,2,2023-11-07T08:04:32,DocuSign
15,2,2023-09-24T12:00:28,DocuSign
15,2,2024-04-02T12:28:06,DocuSign
15,2,2023-07-28T10:26:53,DocuSign
15,2,2024-01-04T09:25:00,DocuSign
15,2,2023-08-17T08:57:29,DocuSign
15,2,2023-10-23T05:52:51,DocuSign
15,2,2023-10-08T16:27:17,DocuSign
16,1,2023-06-22T07:46:55,DocuSign
16,1,2023-08-15T06:36:37,DocuSign
16,1,2024-01-04T09:25:00,DocuSign
16,1,2024-04-02T12:28:06,DocuSign
16,1,2023-08-18T07:57:43,DocuSign
16,1,2024-03-14T20:56:41,DocuSign
16,1,2023-08-16T19:14:47,DocuSign
16,1,2023-10-23T05:52:51,DocuSign
16,1,2023-11-07T08:04:32,DocuSign
16,1,2023-08-17T08:57:29,DocuSign
16,1,2023-07-28T10:26:53,DocuSign
16,1,2023-12-17T00:12:09,DocuSign
16,1,2023-08-14T11:59:01,DocuSign
16,1,2023-09-24T12:00:28,DocuSign
