metric,metric_value,timestamp,company_name
1,62,2022-05-18T00:00:00,Domino-Data-Lab
1,104,2023-08-24T00:00:00,Domino-Data-Lab
1,135,2024-04-08T00:00:00,Domino-Data-Lab
1,63,2022-07-13T00:00:00,Domino-Data-Lab
1,88,2023-03-17T00:00:00,Domino-Data-Lab
1,74,2022-12-19T00:00:00,Domino-Data-Lab
1,94,2023-05-15T00:00:00,Domino-Data-Lab
1,109,2024-02-09T00:00:00,Domino-Data-Lab
1,78,2023-02-03T00:00:00,Domino-Data-Lab
1,107,2023-12-04T00:00:00,Domino-Data-Lab
1,128,2024-03-24T00:00:00,Domino-Data-Lab
1,107,2023-11-20T00:00:00,Domino-Data-Lab
1,91,2023-05-01T00:00:00,Domino-Data-Lab
1,108,2024-01-14T00:00:00,Domino-Data-Lab
1,105,2023-10-03T00:00:00,Domino-Data-Lab
1,77,2023-01-06T00:00:00,Domino-Data-Lab
1,64,2022-07-27T00:00:00,Domino-Data-Lab
1,85,2023-03-03T00:00:00,Domino-Data-Lab
1,64,2022-08-10T00:00:00,Domino-Data-Lab
1,65,2022-08-25T00:00:00,Domino-Data-Lab
1,65,2022-08-24T00:00:00,Domino-Data-Lab
1,102,2023-07-23T00:00:00,Domino-Data-Lab
1,105,2023-09-16T00:00:00,Domino-Data-Lab
1,109,2024-01-28T00:00:00,Domino-Data-Lab
1,108,2023-12-18T00:00:00,Domino-Data-Lab
1,67,2022-09-17T00:00:00,Domino-Data-Lab
1,100,2023-07-09T00:00:00,Domino-Data-Lab
1,70,2022-10-16T00:00:00,Domino-Data-Lab
1,122,2024-03-10T00:00:00,Domino-Data-Lab
1,63,2022-06-29T00:00:00,Domino-Data-Lab
1,70,2022-10-24T00:00:00,Domino-Data-Lab
1,95,2023-05-23T00:00:00,Domino-Data-Lab
1,72,2022-11-07T00:00:00,Domino-Data-Lab
1,105,2023-10-23T00:00:00,Domino-Data-Lab
1,108,2023-12-31T00:00:00,Domino-Data-Lab
1,102,2023-08-06T00:00:00,Domino-Data-Lab
1,70,2022-10-07T00:00:00,Domino-Data-Lab
1,82,2023-02-17T00:00:00,Domino-Data-Lab
1,106,2023-11-06T00:00:00,Domino-Data-Lab
1,100,2023-06-22T00:00:00,Domino-Data-Lab
1,73,2022-11-21T00:00:00,Domino-Data-Lab
1,97,2023-06-05T00:00:00,Domino-Data-Lab
1,60,2022-05-04T00:00:00,Domino-Data-Lab
1,88,2023-04-17T00:00:00,Domino-Data-Lab
1,135,2024-04-07T00:00:00,Domino-Data-Lab
1,88,2023-04-07T00:00:00,Domino-Data-Lab
1,115,2024-02-25T00:00:00,Domino-Data-Lab
1,73,2022-12-05T00:00:00,Domino-Data-Lab
1,78,2023-01-20T00:00:00,Domino-Data-Lab
1,62,2022-06-15T00:00:00,Domino-Data-Lab
3,117,2023-06-05T00:00:00,Domino-Data-Lab
3,132,2024-01-14T00:00:00,Domino-Data-Lab
3,91,2023-01-20T00:00:00,Domino-Data-Lab
3,90,2023-01-06T00:00:00,Domino-Data-Lab
3,127,2023-09-16T00:00:00,Domino-Data-Lab
3,147,2024-03-10T00:00:00,Domino-Data-Lab
3,82,2022-10-24T00:00:00,Domino-Data-Lab
3,85,2022-11-07T00:00:00,Domino-Data-Lab
3,82,2022-10-07T00:00:00,Domino-Data-Lab
3,120,2023-06-22T00:00:00,Domino-Data-Lab
3,85,2022-11-21T00:00:00,Domino-Data-Lab
3,140,2024-02-25T00:00:00,Domino-Data-Lab
3,85,2022-12-05T00:00:00,Domino-Data-Lab
3,125,2023-08-24T00:00:00,Domino-Data-Lab
3,120,2023-07-09T00:00:00,Domino-Data-Lab
3,79,2022-09-17T00:00:00,Domino-Data-Lab
3,87,2022-12-19T00:00:00,Domino-Data-Lab
3,133,2024-02-09T00:00:00,Domino-Data-Lab
3,153,2024-03-24T00:00:00,Domino-Data-Lab
3,133,2024-01-28T00:00:00,Domino-Data-Lab
3,77,2022-08-25T00:00:00,Domino-Data-Lab
3,132,2023-12-31T00:00:00,Domino-Data-Lab
3,91,2023-02-03T00:00:00,Domino-Data-Lab
3,103,2023-03-17T00:00:00,Domino-Data-Lab
3,122,2023-07-23T00:00:00,Domino-Data-Lab
3,128,2023-10-23T00:00:00,Domino-Data-Lab
3,129,2023-11-06T00:00:00,Domino-Data-Lab
3,105,2023-04-17T00:00:00,Domino-Data-Lab
3,105,2023-04-07T00:00:00,Domino-Data-Lab
3,130,2023-11-20T00:00:00,Domino-Data-Lab
3,131,2023-12-04T00:00:00,Domino-Data-Lab
3,109,2023-05-01T00:00:00,Domino-Data-Lab
3,127,2023-10-03T00:00:00,Domino-Data-Lab
3,101,2023-03-03T00:00:00,Domino-Data-Lab
3,132,2023-12-18T00:00:00,Domino-Data-Lab
3,160,2024-04-08T00:00:00,Domino-Data-Lab
3,82,2022-10-16T00:00:00,Domino-Data-Lab
3,114,2023-05-23T00:00:00,Domino-Data-Lab
3,112,2023-05-15T00:00:00,Domino-Data-Lab
3,97,2023-02-17T00:00:00,Domino-Data-Lab
3,160,2024-04-07T00:00:00,Domino-Data-Lab
3,123,2023-08-06T00:00:00,Domino-Data-Lab
4,35239,2023-04-27T00:00:00,Domino-Data-Lab
4,33042,2022-12-05T00:00:00,Domino-Data-Lab
4,38395,2023-11-15T00:00:00,Domino-Data-Lab
4,35797,2023-06-16T00:00:00,Domino-Data-Lab
4,42183,2024-02-28T00:00:00,Domino-Data-Lab
4,32887,2022-11-21T00:00:00,Domino-Data-Lab
4,35625,2023-05-29T00:00:00,Domino-Data-Lab
4,35189,2023-04-20T00:00:00,Domino-Data-Lab
4,37772,2023-10-04T00:00:00,Domino-Data-Lab
4,38395,2023-11-14T00:00:00,Domino-Data-Lab
4,31937,2022-10-16T00:00:00,Domino-Data-Lab
4,35015,2023-04-06T00:00:00,Domino-Data-Lab
4,34467,2023-02-21T00:00:00,Domino-Data-Lab
