metric,metric_value,timestamp,company_name
1,103,2023-12-25T00:00:00,ElementBiosciences
1,84,2023-07-15T00:00:00,ElementBiosciences
1,88,2023-10-02T00:00:00,ElementBiosciences
1,46,2022-07-09T00:00:00,ElementBiosciences
1,105,2024-01-08T00:00:00,ElementBiosciences
1,73,2022-11-08T00:00:00,ElementBiosciences
1,85,2023-08-04T00:00:00,ElementBiosciences
1,84,2023-07-13T00:00:00,ElementBiosciences
1,85,2023-08-05T00:00:00,ElementBiosciences
1,111,2024-02-12T00:00:00,ElementBiosciences
1,84,2023-07-12T00:00:00,ElementBiosciences
1,85,2023-08-06T00:00:00,ElementBiosciences
1,73,2022-11-22T00:00:00,ElementBiosciences
1,44,2022-06-25T00:00:00,ElementBiosciences
1,84,2023-07-11T00:00:00,ElementBiosciences
1,84,2023-07-10T00:00:00,ElementBiosciences
1,84,2023-07-08T00:00:00,ElementBiosciences
1,73,2022-12-06T00:00:00,ElementBiosciences
1,85,2023-08-07T00:00:00,ElementBiosciences
1,84,2023-06-22T00:00:00,ElementBiosciences
1,92,2023-10-16T00:00:00,ElementBiosciences
1,85,2023-08-28T00:00:00,ElementBiosciences
1,85,2023-08-03T00:00:00,ElementBiosciences
1,110,2024-02-05T00:00:00,ElementBiosciences
1,84,2023-07-16T00:00:00,ElementBiosciences
1,85,2023-08-02T00:00:00,ElementBiosciences
1,85,2023-09-18T00:00:00,ElementBiosciences
1,124,2024-03-11T00:00:00,ElementBiosciences
1,84,2023-07-26T00:00:00,ElementBiosciences
1,84,2023-07-25T00:00:00,ElementBiosciences
1,84,2023-07-27T00:00:00,ElementBiosciences
1,63,2022-10-01T00:00:00,ElementBiosciences
1,84,2023-07-28T00:00:00,ElementBiosciences
1,84,2023-07-29T00:00:00,ElementBiosciences
1,84,2023-07-23T00:00:00,ElementBiosciences
1,52,2022-08-25T00:00:00,ElementBiosciences
1,84,2023-07-22T00:00:00,ElementBiosciences
1,84,2023-07-21T00:00:00,ElementBiosciences
1,51,2022-08-20T00:00:00,ElementBiosciences
1,71,2022-10-14T00:00:00,ElementBiosciences
1,49,2022-08-06T00:00:00,ElementBiosciences
1,84,2023-07-19T00:00:00,ElementBiosciences
1,48,2022-07-23T00:00:00,ElementBiosciences
1,84,2023-08-01T00:00:00,ElementBiosciences
1,126,2024-03-16T00:00:00,ElementBiosciences
1,84,2023-07-17T00:00:00,ElementBiosciences
1,117,2024-02-26T00:00:00,ElementBiosciences
1,71,2022-10-25T00:00:00,ElementBiosciences
1,42,2022-06-11T00:00:00,ElementBiosciences
1,62,2022-09-17T00:00:00,ElementBiosciences
1,99,2023-11-27T00:00:00,ElementBiosciences
1,80,2023-04-17T00:00:00,ElementBiosciences
1,73,2023-01-07T00:00:00,ElementBiosciences
1,108,2024-01-22T00:00:00,ElementBiosciences
1,38,2022-05-14T00:00:00,ElementBiosciences
1,85,2023-08-13T00:00:00,ElementBiosciences
1,85,2023-08-17T00:00:00,ElementBiosciences
1,85,2023-08-14T00:00:00,ElementBiosciences
1,78,2023-03-18T00:00:00,ElementBiosciences
1,84,2023-05-03T00:00:00,ElementBiosciences
1,75,2023-02-04T00:00:00,ElementBiosciences
1,36,2022-04-30T00:00:00,ElementBiosciences
1,40,2022-05-28T00:00:00,ElementBiosciences
1,85,2023-08-16T00:00:00,ElementBiosciences
1,74,2023-01-21T00:00:00,ElementBiosciences
1,101,2023-12-11T00:00:00,ElementBiosciences
1,80,2023-04-07T00:00:00,ElementBiosciences
1,134,2024-04-10T00:00:00,ElementBiosciences
1,96,2023-11-13T00:00:00,ElementBiosciences
1,84,2023-05-23T00:00:00,ElementBiosciences
1,84,2023-06-04T00:00:00,ElementBiosciences
1,85,2023-08-12T00:00:00,ElementBiosciences
1,84,2023-06-05T00:00:00,ElementBiosciences
1,94,2023-10-30T00:00:00,ElementBiosciences
1,85,2023-08-18T00:00:00,ElementBiosciences
1,75,2023-02-18T00:00:00,ElementBiosciences
1,85,2023-08-11T00:00:00,ElementBiosciences
1,76,2023-03-04T00:00:00,ElementBiosciences
1,85,2023-08-09T00:00:00,ElementBiosciences
1,73,2022-12-20T00:00:00,ElementBiosciences
3,89,2023-04-07T00:00:00,ElementBiosciences
3,83,2023-02-18T00:00:00,ElementBiosciences
3,95,2023-07-21T00:00:00,ElementBiosciences
3,116,2023-12-11T00:00:00,ElementBiosciences
3,97,2023-09-18T00:00:00,ElementBiosciences
3,95,2023-07-25T00:00:00,ElementBiosciences
3,87,2023-03-18T00:00:00,ElementBiosciences
3,100,2023-10-02T00:00:00,ElementBiosciences
3,84,2023-03-04T00:00:00,ElementBiosciences
3,119,2023-12-25T00:00:00,ElementBiosciences
3,95,2023-07-22T00:00:00,ElementBiosciences
3,83,2023-02-04T00:00:00,ElementBiosciences
3,66,2022-09-22T00:00:00,ElementBiosciences
3,124,2024-01-22T00:00:00,ElementBiosciences
3,69,2022-10-01T00:00:00,ElementBiosciences
3,95,2023-07-23T00:00:00,ElementBiosciences
3,80,2022-10-14T00:00:00,ElementBiosciences
3,95,2023-07-19T00:00:00,ElementBiosciences
3,108,2023-10-30T00:00:00,ElementBiosciences
3,89,2023-04-17T00:00:00,ElementBiosciences
3,94,2023-06-05T00:00:00,ElementBiosciences
3,127,2024-02-05T00:00:00,ElementBiosciences
3,105,2023-10-16T00:00:00,ElementBiosciences
3,83,2022-12-20T00:00:00,ElementBiosciences
3,94,2023-06-22T00:00:00,ElementBiosciences
3,83,2022-12-06T00:00:00,ElementBiosciences
3,94,2023-07-08T00:00:00,ElementBiosciences
3,95,2023-07-26T00:00:00,ElementBiosciences
3,94,2023-06-04T00:00:00,ElementBiosciences
3,110,2023-11-13T00:00:00,ElementBiosciences
3,83,2022-11-22T00:00:00,ElementBiosciences
3,94,2023-07-11T00:00:00,ElementBiosciences
3,94,2023-07-12T00:00:00,ElementBiosciences
3,94,2023-05-23T00:00:00,ElementBiosciences
3,128,2024-02-12T00:00:00,ElementBiosciences
3,83,2023-01-07T00:00:00,ElementBiosciences
3,94,2023-07-13T00:00:00,ElementBiosciences
3,83,2022-11-08T00:00:00,ElementBiosciences
3,94,2023-05-03T00:00:00,ElementBiosciences
3,113,2023-11-27T00:00:00,ElementBiosciences
3,94,2023-07-15T00:00:00,ElementBiosciences
3,94,2023-07-16T00:00:00,ElementBiosciences
3,80,2022-10-25T00:00:00,ElementBiosciences
3,83,2023-01-21T00:00:00,ElementBiosciences
3,137,2024-02-26T00:00:00,ElementBiosciences
3,94,2023-07-17T00:00:00,ElementBiosciences
3,94,2023-07-10T00:00:00,ElementBiosciences
3,121,2024-01-08T00:00:00,ElementBiosciences
3,96,2023-08-06T00:00:00,ElementBiosciences
3,96,2023-08-17T00:00:00,ElementBiosciences
3,96,2023-08-28T00:00:00,ElementBiosciences
3,95,2023-08-01T00:00:00,ElementBiosciences
3,162,2024-04-10T00:00:00,ElementBiosciences
3,57,2022-08-25T00:00:00,ElementBiosciences
3,95,2023-07-28T00:00:00,ElementBiosciences
3,96,2023-08-16T00:00:00,ElementBiosciences
3,96,2023-08-03T00:00:00,ElementBiosciences
3,96,2023-08-11T00:00:00,ElementBiosciences
3,95,2023-07-27T00:00:00,ElementBiosciences
3,95,2023-07-29T00:00:00,ElementBiosciences
3,96,2023-08-07T00:00:00,ElementBiosciences
3,96,2023-08-14T00:00:00,ElementBiosciences
3,96,2023-08-02T00:00:00,ElementBiosciences
3,96,2023-08-04T00:00:00,ElementBiosciences
3,147,2024-03-11T00:00:00,ElementBiosciences
3,96,2023-08-13T00:00:00,ElementBiosciences
3,150,2024-03-16T00:00:00,ElementBiosciences
3,62,2022-09-08T00:00:00,ElementBiosciences
3,96,2023-08-05T00:00:00,ElementBiosciences
3,96,2023-08-12T00:00:00,ElementBiosciences
3,96,2023-08-18T00:00:00,ElementBiosciences
3,96,2023-08-09T00:00:00,ElementBiosciences
4,23731,2023-10-31T00:00:00,ElementBiosciences
4,19855,2023-06-01T00:00:00,ElementBiosciences
4,26694,2024-01-30T00:00:00,ElementBiosciences
4,23782,2023-11-12T00:00:00,ElementBiosciences
4,30141,2024-04-08T00:00:00,ElementBiosciences
4,20262,2023-06-16T00:00:00,ElementBiosciences
4,20262,2023-06-15T00:00:00,ElementBiosciences
4,14847,2022-11-22T00:00:00,ElementBiosciences
4,22582,2023-09-18T00:00:00,ElementBiosciences
4,11559,2022-06-29T00:00:00,ElementBiosciences
4,29846,2024-03-31T00:00:00,ElementBiosciences
4,22956,2023-10-04T00:00:00,ElementBiosciences
4,27362,2024-02-10T00:00:00,ElementBiosciences
4,15458,2022-12-23T00:00:00,ElementBiosciences
4,20575,2023-06-30T00:00:00,ElementBiosciences
4,21399,2023-08-07T00:00:00,ElementBiosciences
4,20262,2023-06-17T00:00:00,ElementBiosciences
4,22150,2023-09-03T00:00:00,ElementBiosciences
4,27362,2024-02-09T00:00:00,ElementBiosciences
4,15139,2022-12-07T00:00:00,ElementBiosciences
4,11274,2022-06-15T00:00:00,ElementBiosciences
4,15139,2022-12-06T00:00:00,ElementBiosciences
4,15717,2023-01-04T00:00:00,ElementBiosciences
4,13258,2022-09-17T00:00:00,ElementBiosciences
4,23782,2023-11-13T00:00:00,ElementBiosciences
4,25505,2024-01-08T00:00:00,ElementBiosciences
4,17295,2023-02-22T00:00:00,ElementBiosciences
4,21748,2023-08-20T00:00:00,ElementBiosciences
4,21748,2023-08-19T00:00:00,ElementBiosciences
4,17594,2023-03-04T00:00:00,ElementBiosciences
4,25252,2023-12-30T00:00:00,ElementBiosciences
4,17823,2023-03-12T00:00:00,ElementBiosciences
4,17076,2023-02-14T00:00:00,ElementBiosciences
4,21748,2023-08-18T00:00:00,ElementBiosciences
4,18179,2023-03-25T00:00:00,ElementBiosciences
4,26468,2024-01-24T00:00:00,ElementBiosciences
4,16786,2023-02-06T00:00:00,ElementBiosciences
4,30537,2024-04-16T00:00:00,ElementBiosciences
4,25014,2023-12-20T00:00:00,ElementBiosciences
4,18410,2023-04-02T00:00:00,ElementBiosciences
4,24774,2023-12-12T00:00:00,ElementBiosciences
4,10408,2022-05-04T00:00:00,ElementBiosciences
4,19855,2023-05-30T00:00:00,ElementBiosciences
4,26468,2024-01-29T00:00:00,ElementBiosciences
4,21399,2023-08-06T00:00:00,ElementBiosciences
4,16207,2023-01-18T00:00:00,ElementBiosciences
4,19243,2023-05-05T00:00:00,ElementBiosciences
4,24176,2023-11-23T00:00:00,ElementBiosciences
4,19855,2023-05-31T00:00:00,ElementBiosciences
4,26468,2024-01-28T00:00:00,ElementBiosciences
4,16530,2023-01-28T00:00:00,ElementBiosciences
4,24497,2023-12-03T00:00:00,ElementBiosciences
4,18797,2023-04-18T00:00:00,ElementBiosciences
4,18797,2023-04-17T00:00:00,ElementBiosciences
4,26468,2024-01-27T00:00:00,ElementBiosciences
4,16530,2023-01-29T00:00:00,ElementBiosciences
4,18797,2023-04-19T00:00:00,ElementBiosciences
4,10684,2022-05-18T00:00:00,ElementBiosciences
4,23517,2023-10-22T00:00:00,ElementBiosciences
4,28728,2024-03-07T00:00:00,ElementBiosciences
