metric,metric_value,timestamp,company_name
1,30,2022-08-25T00:00:00,Ethena
1,30,2022-05-19T00:00:00,Ethena
1,34,2023-08-09T00:00:00,Ethena
1,35,2024-01-01T00:00:00,Ethena
1,35,2024-03-16T00:00:00,Ethena
1,34,2023-06-10T00:00:00,Ethena
1,30,2022-07-14T00:00:00,Ethena
1,33,2023-03-22T00:00:00,Ethena
1,35,2023-10-24T00:00:00,Ethena
1,30,2022-06-02T00:00:00,Ethena
1,32,2023-01-10T00:00:00,Ethena
1,32,2022-10-14T00:00:00,Ethena
1,34,2023-08-23T00:00:00,Ethena
1,35,2024-03-02T00:00:00,Ethena
1,33,2023-03-08T00:00:00,Ethena
1,34,2023-06-27T00:00:00,Ethena
1,34,2023-10-03T00:00:00,Ethena
1,33,2023-02-22T00:00:00,Ethena
1,32,2023-01-24T00:00:00,Ethena
1,30,2022-06-16T00:00:00,Ethena
1,30,2022-06-30T00:00:00,Ethena
1,35,2024-01-15T00:00:00,Ethena
1,34,2023-07-11T00:00:00,Ethena
1,34,2023-09-18T00:00:00,Ethena
1,34,2023-07-26T00:00:00,Ethena
1,32,2022-09-22T00:00:00,Ethena
1,35,2024-02-17T00:00:00,Ethena
1,34,2023-09-06T00:00:00,Ethena
1,33,2023-04-05T00:00:00,Ethena
1,35,2023-11-07T00:00:00,Ethena
1,35,2024-02-03T00:00:00,Ethena
1,32,2022-10-28T00:00:00,Ethena
1,35,2023-12-05T00:00:00,Ethena
1,30,2022-08-11T00:00:00,Ethena
1,35,2023-11-21T00:00:00,Ethena
1,30,2022-08-31T00:00:00,Ethena
1,34,2023-04-19T00:00:00,Ethena
1,32,2022-12-23T00:00:00,Ethena
1,34,2023-05-03T00:00:00,Ethena
1,35,2023-12-19T00:00:00,Ethena
1,30,2022-07-28T00:00:00,Ethena
1,33,2022-11-25T00:00:00,Ethena
1,35,2024-04-07T00:00:00,Ethena
1,34,2023-05-17T00:00:00,Ethena
1,30,2022-05-05T00:00:00,Ethena
1,35,2024-01-29T00:00:00,Ethena
1,33,2022-11-11T00:00:00,Ethena
1,32,2023-02-07T00:00:00,Ethena
1,34,2023-05-26T00:00:00,Ethena
3,35,2023-08-23T00:00:00,Ethena
3,35,2023-07-26T00:00:00,Ethena
3,36,2024-01-29T00:00:00,Ethena
3,35,2023-09-06T00:00:00,Ethena
3,36,2023-11-21T00:00:00,Ethena
3,35,2023-10-03T00:00:00,Ethena
3,35,2023-09-18T00:00:00,Ethena
3,35,2023-07-11T00:00:00,Ethena
3,36,2023-11-07T00:00:00,Ethena
3,36,2024-01-15T00:00:00,Ethena
3,35,2023-04-19T00:00:00,Ethena
3,33,2022-12-23T00:00:00,Ethena
3,34,2023-04-05T00:00:00,Ethena
3,34,2022-11-25T00:00:00,Ethena
3,36,2024-02-17T00:00:00,Ethena
3,35,2023-05-03T00:00:00,Ethena
3,35,2023-05-17T00:00:00,Ethena
3,37,2024-03-16T00:00:00,Ethena
3,34,2023-03-22T00:00:00,Ethena
3,37,2024-04-07T00:00:00,Ethena
3,36,2023-10-24T00:00:00,Ethena
3,35,2023-06-10T00:00:00,Ethena
3,36,2023-12-05T00:00:00,Ethena
3,36,2024-01-01T00:00:00,Ethena
3,33,2023-01-10T00:00:00,Ethena
3,33,2023-02-07T00:00:00,Ethena
3,35,2023-06-27T00:00:00,Ethena
3,33,2023-01-24T00:00:00,Ethena
3,34,2023-02-22T00:00:00,Ethena
3,36,2023-12-19T00:00:00,Ethena
3,37,2024-03-02T00:00:00,Ethena
3,35,2023-08-09T00:00:00,Ethena
3,35,2023-05-26T00:00:00,Ethena
3,34,2023-03-08T00:00:00,Ethena
3,36,2024-02-03T00:00:00,Ethena
4,9636,2024-01-31T00:00:00,Ethena
4,6647,2023-02-06T00:00:00,Ethena
4,7727,2023-08-18T00:00:00,Ethena
4,5456,2022-08-31T00:00:00,Ethena
4,9636,2024-01-30T00:00:00,Ethena
4,7727,2023-08-19T00:00:00,Ethena
4,7095,2023-04-16T00:00:00,Ethena
4,5842,2022-09-22T00:00:00,Ethena
4,9052,2023-12-05T00:00:00,Ethena
4,8934,2023-11-26T00:00:00,Ethena
4,9279,2023-12-15T00:00:00,Ethena
4,6408,2022-12-24T00:00:00,Ethena
4,6243,2022-11-25T00:00:00,Ethena
4,6116,2022-11-11T00:00:00,Ethena
4,5979,2022-10-28T00:00:00,Ethena
4,8792,2023-11-16T00:00:00,Ethena
4,9330,2023-12-24T00:00:00,Ethena
4,8592,2023-11-03T00:00:00,Ethena
4,6435,2023-01-05T00:00:00,Ethena
4,9347,2024-01-01T00:00:00,Ethena
4,8116,2023-10-24T00:00:00,Ethena
4,5401,2022-08-28T00:00:00,Ethena
4,6559,2023-01-18T00:00:00,Ethena
4,8047,2023-10-13T00:00:00,Ethena
4,9392,2024-01-10T00:00:00,Ethena
4,6619,2023-01-29T00:00:00,Ethena
4,7920,2023-09-18T00:00:00,Ethena
4,7802,2023-09-03T00:00:00,Ethena
4,5842,2022-10-14T00:00:00,Ethena
4,6736,2023-02-22T00:00:00,Ethena
4,6354,2022-12-07T00:00:00,Ethena
4,7283,2023-06-01T00:00:00,Ethena
4,4637,2022-07-03T00:00:00,Ethena
4,6808,2023-03-06T00:00:00,Ethena
4,7058,2023-04-10T00:00:00,Ethena
4,7438,2023-07-01T00:00:00,Ethena
4,7438,2023-06-30T00:00:00,Ethena
4,10206,2024-03-31T00:00:00,Ethena
4,7283,2023-05-30T00:00:00,Ethena
4,10071,2024-03-07T00:00:00,Ethena
4,2500,2022-05-07T00:00:00,Ethena
4,7283,2023-05-31T00:00:00,Ethena
4,7390,2023-06-19T00:00:00,Ethena
4,5147,2022-08-14T00:00:00,Ethena
4,4290,2022-06-15T00:00:00,Ethena
4,7390,2023-06-18T00:00:00,Ethena
4,10118,2024-03-15T00:00:00,Ethena
4,7058,2023-04-07T00:00:00,Ethena
4,6965,2023-03-27T00:00:00,Ethena
4,7283,2023-06-02T00:00:00,Ethena
4,2735,2022-05-21T00:00:00,Ethena
4,6880,2023-03-16T00:00:00,Ethena
4,7503,2023-07-14T00:00:00,Ethena
4,9981,2024-02-28T00:00:00,Ethena
4,7058,2023-04-11T00:00:00,Ethena
4,7095,2023-04-17T00:00:00,Ethena
4,7058,2023-04-13T00:00:00,Ethena
4,4892,2022-07-31T00:00:00,Ethena
4,7095,2023-04-18T00:00:00,Ethena
4,10323,2024-04-16T00:00:00,Ethena
4,6698,2023-02-14T00:00:00,Ethena
4,7095,2023-04-19T00:00:00,Ethena
4,7676,2023-08-06T00:00:00,Ethena
4,7503,2023-07-15T00:00:00,Ethena
4,9721,2024-02-10T00:00:00,Ethena
4,10157,2024-03-23T00:00:00,Ethena
4,7198,2023-05-04T00:00:00,Ethena
4,4637,2022-07-17T00:00:00,Ethena
4,7580,2023-07-26T00:00:00,Ethena
4,6808,2023-03-05T00:00:00,Ethena
4,10252,2024-04-08T00:00:00,Ethena
4,7580,2023-07-25T00:00:00,Ethena
4,9870,2024-02-18T00:00:00,Ethena
6,466,2022-05-07T00:00:00,Ethena
6,582,2023-04-05T00:00:00,Ethena
6,587,2023-05-17T00:00:00,Ethena
6,586,2023-05-03T00:00:00,Ethena
6,582,2022-12-23T00:00:00,Ethena
6,585,2022-10-28T00:00:00,Ethena
6,589,2023-05-31T00:00:00,Ethena
6,585,2022-11-11T00:00:00,Ethena
6,584,2023-04-19T00:00:00,Ethena
6,586,2022-11-25T00:00:00,Ethena
6,575,2022-08-28T00:00:00,Ethena
6,580,2023-01-10T00:00:00,Ethena
6,579,2023-02-22T00:00:00,Ethena
6,554,2022-07-17T00:00:00,Ethena
6,589,2023-07-26T00:00:00,Ethena
6,468,2022-05-21T00:00:00,Ethena
6,584,2022-09-22T00:00:00,Ethena
6,561,2022-07-31T00:00:00,Ethena
6,589,2023-07-11T00:00:00,Ethena
6,580,2023-02-07T00:00:00,Ethena
6,552,2022-07-03T00:00:00,Ethena
6,576,2022-08-31T00:00:00,Ethena
6,589,2023-06-27T00:00:00,Ethena
6,568,2022-08-14T00:00:00,Ethena
6,579,2023-03-08T00:00:00,Ethena
