metric,metric_value,timestamp,company_name
1,714,2023-11-05T00:00:00,Fast-Radius
1,716,2024-02-25T00:00:00,Fast-Radius
1,714,2023-07-25T00:00:00,Fast-Radius
1,713,2023-10-08T00:00:00,Fast-Radius
1,701,2022-10-24T00:00:00,Fast-Radius
1,707,2023-02-03T00:00:00,Fast-Radius
1,716,2024-03-18T00:00:00,Fast-Radius
1,657,2022-06-03T00:00:00,Fast-Radius
1,702,2022-11-07T00:00:00,Fast-Radius
1,715,2023-12-31T00:00:00,Fast-Radius
1,716,2024-03-17T00:00:00,Fast-Radius
1,687,2022-08-25T00:00:00,Fast-Radius
1,682,2022-08-12T00:00:00,Fast-Radius
1,705,2023-01-20T00:00:00,Fast-Radius
1,714,2023-07-11T00:00:00,Fast-Radius
1,713,2023-09-24T00:00:00,Fast-Radius
1,712,2023-05-23T00:00:00,Fast-Radius
1,662,2022-06-17T00:00:00,Fast-Radius
1,714,2023-08-31T00:00:00,Fast-Radius
1,713,2023-06-22T00:00:00,Fast-Radius
1,705,2022-12-05T00:00:00,Fast-Radius
1,705,2022-12-19T00:00:00,Fast-Radius
1,667,2022-07-01T00:00:00,Fast-Radius
1,716,2024-04-02T00:00:00,Fast-Radius
1,652,2022-05-20T00:00:00,Fast-Radius
1,714,2023-12-03T00:00:00,Fast-Radius
1,672,2022-07-15T00:00:00,Fast-Radius
1,704,2022-11-21T00:00:00,Fast-Radius
1,705,2023-01-06T00:00:00,Fast-Radius
1,677,2022-07-29T00:00:00,Fast-Radius
1,716,2024-02-28T00:00:00,Fast-Radius
1,715,2023-12-17T00:00:00,Fast-Radius
1,711,2023-06-06T00:00:00,Fast-Radius
1,708,2023-02-17T00:00:00,Fast-Radius
1,712,2023-05-15T00:00:00,Fast-Radius
1,715,2024-01-28T00:00:00,Fast-Radius
1,714,2023-08-08T00:00:00,Fast-Radius
1,714,2023-11-19T00:00:00,Fast-Radius
1,710,2023-03-17T00:00:00,Fast-Radius
1,711,2023-05-01T00:00:00,Fast-Radius
1,716,2024-02-11T00:00:00,Fast-Radius
1,715,2024-01-14T00:00:00,Fast-Radius
1,710,2023-04-17T00:00:00,Fast-Radius
1,698,2022-10-01T00:00:00,Fast-Radius
1,695,2022-09-17T00:00:00,Fast-Radius
1,708,2023-03-03T00:00:00,Fast-Radius
1,647,2022-05-06T00:00:00,Fast-Radius
1,710,2023-04-07T00:00:00,Fast-Radius
1,713,2023-10-22T00:00:00,Fast-Radius
1,701,2022-10-14T00:00:00,Fast-Radius
3,845,2024-02-11T00:00:00,Fast-Radius
3,845,2023-08-08T00:00:00,Fast-Radius
3,861,2023-07-11T00:00:00,Fast-Radius
3,858,2023-05-23T00:00:00,Fast-Radius
3,845,2023-12-17T00:00:00,Fast-Radius
3,845,2024-02-28T00:00:00,Fast-Radius
3,857,2023-04-17T00:00:00,Fast-Radius
3,850,2023-01-06T00:00:00,Fast-Radius
3,848,2022-11-21T00:00:00,Fast-Radius
3,857,2023-04-07T00:00:00,Fast-Radius
3,857,2023-06-06T00:00:00,Fast-Radius
3,845,2023-12-03T00:00:00,Fast-Radius
3,845,2023-11-05T00:00:00,Fast-Radius
3,841,2022-10-01T00:00:00,Fast-Radius
3,849,2022-12-19T00:00:00,Fast-Radius
3,846,2024-04-02T00:00:00,Fast-Radius
3,859,2023-06-22T00:00:00,Fast-Radius
3,856,2023-03-17T00:00:00,Fast-Radius
3,854,2023-03-03T00:00:00,Fast-Radius
3,854,2023-02-17T00:00:00,Fast-Radius
3,846,2023-08-31T00:00:00,Fast-Radius
3,850,2023-01-20T00:00:00,Fast-Radius
3,851,2023-02-03T00:00:00,Fast-Radius
3,845,2024-02-25T00:00:00,Fast-Radius
3,845,2024-03-18T00:00:00,Fast-Radius
3,845,2023-09-24T00:00:00,Fast-Radius
3,849,2022-12-05T00:00:00,Fast-Radius
3,858,2023-05-15T00:00:00,Fast-Radius
3,845,2023-10-08T00:00:00,Fast-Radius
3,845,2022-10-14T00:00:00,Fast-Radius
3,845,2022-10-24T00:00:00,Fast-Radius
3,845,2023-10-22T00:00:00,Fast-Radius
3,845,2024-01-14T00:00:00,Fast-Radius
3,846,2022-11-07T00:00:00,Fast-Radius
3,845,2023-07-25T00:00:00,Fast-Radius
3,830,2022-08-25T00:00:00,Fast-Radius
3,845,2023-12-31T00:00:00,Fast-Radius
3,838,2022-09-17T00:00:00,Fast-Radius
3,857,2023-05-01T00:00:00,Fast-Radius
3,845,2024-01-28T00:00:00,Fast-Radius
3,845,2024-03-17T00:00:00,Fast-Radius
3,845,2023-11-19T00:00:00,Fast-Radius
4,8984,2023-07-26T00:00:00,Fast-Radius
4,8946,2023-07-02T00:00:00,Fast-Radius
4,8701,2023-11-27T00:00:00,Fast-Radius
4,8955,2023-07-15T00:00:00,Fast-Radius
4,8154,2022-10-01T00:00:00,Fast-Radius
4,8240,2022-10-24T00:00:00,Fast-Radius
4,8946,2023-07-03T00:00:00,Fast-Radius
4,8984,2023-07-27T00:00:00,Fast-Radius
4,8240,2022-10-14T00:00:00,Fast-Radius
4,8290,2022-11-07T00:00:00,Fast-Radius
