metric,metric_value,timestamp,company_name
1,10,2024-02-26T00:00:00,Garner-Health
1,10,2024-01-15T00:00:00,Garner-Health
1,10,2024-04-08T00:00:00,Garner-Health
1,10,2024-01-29T00:00:00,Garner-Health
1,10,2024-04-15T00:00:00,Garner-Health
1,10,2023-12-17T00:00:00,Garner-Health
1,10,2024-03-25T00:00:00,Garner-Health
1,10,2024-02-12T00:00:00,Garner-Health
1,10,2024-03-11T00:00:00,Garner-Health
1,10,2024-01-01T00:00:00,Garner-Health
3,13,2024-01-01T00:00:00,Garner-Health
3,13,2024-01-15T00:00:00,Garner-Health
3,13,2023-12-17T00:00:00,Garner-Health
3,13,2024-02-12T00:00:00,Garner-Health
3,13,2024-02-26T00:00:00,Garner-Health
3,13,2024-01-29T00:00:00,Garner-Health
3,13,2024-03-25T00:00:00,Garner-Health
3,13,2024-04-15T00:00:00,Garner-Health
3,13,2024-03-11T00:00:00,Garner-Health
3,13,2024-04-08T00:00:00,Garner-Health
4,4414,2023-07-02T00:00:00,Garner-Health
4,4414,2023-07-03T00:00:00,Garner-Health
4,4772,2023-08-08T00:00:00,Garner-Health
4,4772,2023-08-07T00:00:00,Garner-Health
4,4609,2023-08-02T00:00:00,Garner-Health
4,4609,2023-07-31T00:00:00,Garner-Health
4,4509,2023-07-14T00:00:00,Garner-Health
4,4609,2023-08-01T00:00:00,Garner-Health
4,4509,2023-07-15T00:00:00,Garner-Health
4,4609,2023-07-28T00:00:00,Garner-Health
4,3603,2023-01-29T00:00:00,Garner-Health
4,4609,2023-07-29T00:00:00,Garner-Health
4,4609,2023-07-30T00:00:00,Garner-Health
4,4370,2023-06-24T00:00:00,Garner-Health
4,3392,2022-12-08T00:00:00,Garner-Health
4,4314,2023-06-09T00:00:00,Garner-Health
4,3798,2023-03-07T00:00:00,Garner-Health
4,3886,2023-03-17T00:00:00,Garner-Health
4,3886,2023-03-18T00:00:00,Garner-Health
4,3886,2023-03-19T00:00:00,Garner-Health
4,3886,2023-03-20T00:00:00,Garner-Health
4,3948,2023-03-28T00:00:00,Garner-Health
4,4017,2023-04-07T00:00:00,Garner-Health
4,4017,2023-04-13T00:00:00,Garner-Health
4,3673,2023-02-08T00:00:00,Garner-Health
4,4056,2023-04-15T00:00:00,Garner-Health
4,4056,2023-04-16T00:00:00,Garner-Health
4,4128,2023-05-01T00:00:00,Garner-Health
4,4265,2023-05-27T00:00:00,Garner-Health
4,4896,2023-08-19T00:00:00,Garner-Health
4,4265,2023-05-28T00:00:00,Garner-Health
4,4370,2023-06-23T00:00:00,Garner-Health
4,4896,2023-08-20T00:00:00,Garner-Health
4,3719,2023-02-16T00:00:00,Garner-Health
4,6151,2023-12-24T00:00:00,Garner-Health
4,7621,2024-03-25T00:00:00,Garner-Health
4,7323,2024-03-08T00:00:00,Garner-Health
4,7164,2024-02-29T00:00:00,Garner-Health
4,3472,2022-12-27T00:00:00,Garner-Health
4,7052,2024-02-21T00:00:00,Garner-Health
4,7052,2024-02-20T00:00:00,Garner-Health
4,6950,2024-02-12T00:00:00,Garner-Health
4,6769,2024-01-31T00:00:00,Garner-Health
4,6769,2024-01-30T00:00:00,Garner-Health
4,6362,2024-01-11T00:00:00,Garner-Health
4,5071,2023-09-09T00:00:00,Garner-Health
4,3516,2023-01-07T00:00:00,Garner-Health
4,6232,2024-01-01T00:00:00,Garner-Health
4,7458,2024-03-16T00:00:00,Garner-Health
4,7853,2024-04-10T00:00:00,Garner-Health
4,5279,2023-09-26T00:00:00,Garner-Health
4,5986,2023-12-07T00:00:00,Garner-Health
4,5861,2023-11-27T00:00:00,Garner-Health
4,5805,2023-11-18T00:00:00,Garner-Health
4,5579,2023-11-08T00:00:00,Garner-Health
4,5579,2023-11-04T00:00:00,Garner-Health
4,5561,2023-10-27T00:00:00,Garner-Health
4,5279,2023-09-25T00:00:00,Garner-Health
4,6089,2023-12-15T00:00:00,Garner-Health
4,3755,2023-02-24T00:00:00,Garner-Health
4,5466,2023-10-15T00:00:00,Garner-Health
4,7729,2024-04-02T00:00:00,Garner-Health
4,3566,2023-01-20T00:00:00,Garner-Health
6,51,2023-04-16T00:00:00,Garner-Health
6,48,2023-03-24T00:00:00,Garner-Health
6,51,2023-04-30T00:00:00,Garner-Health
7,65100000,2024-03-30T17:40:27,Garner-Health
7,65100000,2023-08-29T17:39:02,Garner-Health
7,65100000,2024-01-01T00:39:45,Garner-Health
7,65100000,2023-12-17T07:14:23,Garner-Health
7,65100000,2023-10-05T12:14:48,Garner-Health
7,65100000,2023-09-21T20:07:32,Garner-Health
7,65100000,2023-03-24T07:15:14,Garner-Health
7,65100000,2023-10-23T13:39:49,Garner-Health
7,65100000,2024-04-15T06:42:24,Garner-Health
7,65100000,2022-12-14T06:25:05,Garner-Health
8,21282,2023-12-02T00:00:00,Garner-Health
8,32248,2023-10-26T00:00:00,Garner-Health
8,62673,2023-12-19T00:00:00,Garner-Health
8,31587,2024-01-23T00:00:00,Garner-Health
8,32248,2023-11-02T00:00:00,Garner-Health
8,32248,2023-10-08T00:00:00,Garner-Health
8,24939,2023-09-19T00:00:00,Garner-Health
8,36598,2024-03-21T00:00:00,Garner-Health
8,21282,2023-11-18T00:00:00,Garner-Health
8,31587,2024-01-21T00:00:00,Garner-Health
8,38642,2024-04-11T00:00:00,Garner-Health
8,24939,2023-10-09T00:00:00,Garner-Health
8,31587,2024-01-22T00:00:00,Garner-Health
8,31587,2024-01-20T00:00:00,Garner-Health
8,31587,2024-01-19T00:00:00,Garner-Health
8,62673,2024-01-02T00:00:00,Garner-Health
9,105,2022-12-08T10:36:52,Garner-Health
9,113,2023-02-08T04:01:43,Garner-Health
9,125,2023-05-28T03:06:14,Garner-Health
