metric,metric_value,timestamp,company_name
1,13,2024-01-01T00:00:00,Gather-AI
1,13,2023-11-20T00:00:00,Gather-AI
1,12,2022-10-02T00:00:00,Gather-AI
1,13,2023-11-06T00:00:00,Gather-AI
1,12,2022-09-18T00:00:00,Gather-AI
1,13,2023-05-02T00:00:00,Gather-AI
1,13,2023-10-23T00:00:00,Gather-AI
1,12,2022-08-25T00:00:00,Gather-AI
1,13,2023-05-23T00:00:00,Gather-AI
1,12,2022-08-11T00:00:00,Gather-AI
1,12,2022-08-05T00:00:00,Gather-AI
1,13,2023-10-08T00:00:00,Gather-AI
1,13,2024-03-31T00:00:00,Gather-AI
1,13,2023-06-06T00:00:00,Gather-AI
1,12,2022-07-22T00:00:00,Gather-AI
1,13,2023-06-22T00:00:00,Gather-AI
1,11,2022-07-08T00:00:00,Gather-AI
1,13,2023-09-24T00:00:00,Gather-AI
1,13,2024-03-11T00:00:00,Gather-AI
1,11,2022-06-24T00:00:00,Gather-AI
1,12,2022-10-16T00:00:00,Gather-AI
1,13,2023-04-07T00:00:00,Gather-AI
1,13,2024-02-12T00:00:00,Gather-AI
1,13,2023-01-20T00:00:00,Gather-AI
1,13,2023-01-06T00:00:00,Gather-AI
1,13,2023-02-03T00:00:00,Gather-AI
1,13,2024-02-26T00:00:00,Gather-AI
1,13,2024-01-29T00:00:00,Gather-AI
1,13,2023-02-17T00:00:00,Gather-AI
1,13,2022-12-21T00:00:00,Gather-AI
1,13,2024-01-15T00:00:00,Gather-AI
1,13,2023-03-03T00:00:00,Gather-AI
1,13,2022-12-07T00:00:00,Gather-AI
1,13,2023-03-17T00:00:00,Gather-AI
1,13,2022-11-23T00:00:00,Gather-AI
1,13,2022-11-13T00:00:00,Gather-AI
1,13,2023-12-17T00:00:00,Gather-AI
1,13,2022-10-30T00:00:00,Gather-AI
1,13,2023-12-04T00:00:00,Gather-AI
1,13,2023-04-17T00:00:00,Gather-AI
1,13,2023-07-09T00:00:00,Gather-AI
1,13,2024-03-17T00:00:00,Gather-AI
1,13,2023-08-31T00:00:00,Gather-AI
1,11,2022-05-13T00:00:00,Gather-AI
1,11,2022-05-27T00:00:00,Gather-AI
1,10,2022-04-29T00:00:00,Gather-AI
1,11,2022-06-10T00:00:00,Gather-AI
1,13,2024-04-16T00:00:00,Gather-AI
1,13,2023-07-23T00:00:00,Gather-AI
1,13,2023-08-06T00:00:00,Gather-AI
3,14,2024-02-12T00:00:00,Gather-AI
3,13,2023-10-23T00:00:00,Gather-AI
3,13,2022-08-25T00:00:00,Gather-AI
3,14,2023-12-04T00:00:00,Gather-AI
3,13,2022-12-07T00:00:00,Gather-AI
3,13,2023-03-03T00:00:00,Gather-AI
3,13,2023-03-17T00:00:00,Gather-AI
3,13,2022-08-11T00:00:00,Gather-AI
3,14,2024-01-01T00:00:00,Gather-AI
3,13,2022-11-23T00:00:00,Gather-AI
3,13,2022-11-13T00:00:00,Gather-AI
3,14,2024-01-15T00:00:00,Gather-AI
3,13,2022-09-18T00:00:00,Gather-AI
3,14,2024-03-17T00:00:00,Gather-AI
