metric,metric_value,timestamp,company_name
1,9600,2023-10-02T00:00:00,Human-Interest
1,9231,2022-10-24T00:00:00,Human-Interest
1,9227,2022-06-25T00:00:00,Human-Interest
1,9230,2022-05-14T00:00:00,Human-Interest
1,9646,2023-11-13T00:00:00,Human-Interest
1,9473,2023-05-23T00:00:00,Human-Interest
1,9500,2023-06-22T00:00:00,Human-Interest
1,9262,2022-12-05T00:00:00,Human-Interest
1,9395,2023-03-03T00:00:00,Human-Interest
1,9234,2022-09-17T00:00:00,Human-Interest
1,9226,2022-07-09T00:00:00,Human-Interest
1,9600,2023-08-25T00:00:00,Human-Interest
1,9342,2023-02-03T00:00:00,Human-Interest
1,9784,2024-02-11T00:00:00,Human-Interest
1,9868,2024-03-24T00:00:00,Human-Interest
1,9600,2023-07-25T00:00:00,Human-Interest
1,9229,2022-05-28T00:00:00,Human-Interest
1,9228,2022-06-11T00:00:00,Human-Interest
1,9840,2024-03-10T00:00:00,Human-Interest
1,9600,2023-09-22T00:00:00,Human-Interest
1,9251,2022-11-21T00:00:00,Human-Interest
1,9669,2023-11-27T00:00:00,Human-Interest
1,9600,2023-08-08T00:00:00,Human-Interest
1,9756,2024-01-28T00:00:00,Human-Interest
1,9700,2023-12-31T00:00:00,Human-Interest
1,9500,2023-07-11T00:00:00,Human-Interest
1,9235,2022-08-27T00:00:00,Human-Interest
1,9231,2022-10-14T00:00:00,Human-Interest
1,9896,2024-04-07T00:00:00,Human-Interest
1,9440,2023-04-17T00:00:00,Human-Interest
1,9246,2022-11-07T00:00:00,Human-Interest
1,9466,2023-05-04T00:00:00,Human-Interest
1,9600,2023-09-08T00:00:00,Human-Interest
1,9416,2023-03-17T00:00:00,Human-Interest
1,9623,2023-10-30T00:00:00,Human-Interest
1,9900,2024-04-09T00:00:00,Human-Interest
1,9692,2023-12-11T00:00:00,Human-Interest
1,9231,2022-04-30T00:00:00,Human-Interest
1,9728,2024-01-14T00:00:00,Human-Interest
1,9812,2024-02-25T00:00:00,Human-Interest
1,9500,2023-06-06T00:00:00,Human-Interest
1,9233,2022-10-01T00:00:00,Human-Interest
1,9315,2023-01-20T00:00:00,Human-Interest
1,9225,2022-07-23T00:00:00,Human-Interest
1,9224,2022-08-06T00:00:00,Human-Interest
1,9440,2023-04-07T00:00:00,Human-Interest
1,9224,2022-08-13T00:00:00,Human-Interest
1,9700,2023-12-17T00:00:00,Human-Interest
1,9600,2023-10-16T00:00:00,Human-Interest
1,9279,2023-01-06T00:00:00,Human-Interest
1,9358,2023-02-17T00:00:00,Human-Interest
1,9271,2022-12-19T00:00:00,Human-Interest
3,10000,2024-02-25T00:00:00,Human-Interest
3,9800,2023-07-11T00:00:00,Human-Interest
3,10000,2024-03-10T00:00:00,Human-Interest
3,9404,2022-08-27T00:00:00,Human-Interest
3,10000,2023-09-08T00:00:00,Human-Interest
3,9482,2023-01-06T00:00:00,Human-Interest
3,9566,2023-02-03T00:00:00,Human-Interest
3,9433,2022-11-07T00:00:00,Human-Interest
3,9585,2023-02-17T00:00:00,Human-Interest
3,9414,2022-10-24T00:00:00,Human-Interest
3,9900,2023-07-25T00:00:00,Human-Interest
3,9800,2023-06-22T00:00:00,Human-Interest
3,10000,2023-08-25T00:00:00,Human-Interest
3,9692,2023-04-07T00:00:00,Human-Interest
3,9394,2022-08-13T00:00:00,Human-Interest
3,10000,2024-02-11T00:00:00,Human-Interest
3,10000,2023-11-13T00:00:00,Human-Interest
3,9692,2023-04-17T00:00:00,Human-Interest
3,10000,2023-10-30T00:00:00,Human-Interest
3,10000,2023-10-16T00:00:00,Human-Interest
3,9731,2023-05-23T00:00:00,Human-Interest
3,9534,2023-01-20T00:00:00,Human-Interest
3,9460,2022-12-05T00:00:00,Human-Interest
3,9414,2022-10-14T00:00:00,Human-Interest
3,10000,2024-01-28T00:00:00,Human-Interest
3,9632,2023-03-03T00:00:00,Human-Interest
3,9472,2022-12-19T00:00:00,Human-Interest
3,10000,2024-03-24T00:00:00,Human-Interest
3,10000,2023-10-02T00:00:00,Human-Interest
3,10000,2024-04-09T00:00:00,Human-Interest
3,10000,2023-11-27T00:00:00,Human-Interest
3,9721,2023-05-04T00:00:00,Human-Interest
3,10000,2023-09-22T00:00:00,Human-Interest
3,10000,2024-04-07T00:00:00,Human-Interest
3,9900,2023-08-08T00:00:00,Human-Interest
3,10000,2023-12-17T00:00:00,Human-Interest
3,10000,2024-01-14T00:00:00,Human-Interest
3,10000,2023-12-31T00:00:00,Human-Interest
3,9664,2023-03-17T00:00:00,Human-Interest
3,9700,2023-06-06T00:00:00,Human-Interest
3,10000,2023-12-11T00:00:00,Human-Interest
3,9404,2022-10-01T00:00:00,Human-Interest
3,9403,2022-09-17T00:00:00,Human-Interest
3,9444,2022-11-21T00:00:00,Human-Interest
4,8490,2022-08-13T00:00:00,Human-Interest
4,17329,2024-02-10T00:00:00,Human-Interest
4,13931,2023-06-20T00:00:00,Human-Interest
4,11353,2023-01-27T00:00:00,Human-Interest
4,14620,2023-07-16T00:00:00,Human-Interest
4,12894,2023-05-08T00:00:00,Human-Interest
4,10963,2023-01-17T00:00:00,Human-Interest
4,9197,2022-10-01T00:00:00,Human-Interest
4,11353,2023-01-28T00:00:00,Human-Interest
4,17209,2024-01-30T00:00:00,Human-Interest
4,9019,2022-09-17T00:00:00,Human-Interest
4,17420,2024-02-18T00:00:00,Human-Interest
4,13931,2023-06-21T00:00:00,Human-Interest
4,8759,2022-08-27T00:00:00,Human-Interest
4,12651,2023-04-17T00:00:00,Human-Interest
4,13025,2023-05-15T00:00:00,Human-Interest
4,13396,2023-06-05T00:00:00,Human-Interest
4,16136,2023-10-24T00:00:00,Human-Interest
4,17209,2024-01-27T00:00:00,Human-Interest
4,17329,2024-02-09T00:00:00,Human-Interest
4,9562,2022-10-14T00:00:00,Human-Interest
4,11353,2023-01-29T00:00:00,Human-Interest
4,11530,2023-02-05T00:00:00,Human-Interest
4,15540,2023-09-17T00:00:00,Human-Interest
4,15818,2023-10-03T00:00:00,Human-Interest
4,14620,2023-07-17T00:00:00,Human-Interest
4,15818,2023-10-04T00:00:00,Human-Interest
4,9562,2022-10-24T00:00:00,Human-Interest
4,17209,2024-01-28T00:00:00,Human-Interest
4,17575,2024-03-07T00:00:00,Human-Interest
4,15540,2023-09-16T00:00:00,Human-Interest
4,10504,2023-01-04T00:00:00,Human-Interest
4,7849,2022-06-15T00:00:00,Human-Interest
4,13931,2023-06-22T00:00:00,Human-Interest
4,14828,2023-07-29T00:00:00,Human-Interest
4,14969,2023-08-06T00:00:00,Human-Interest
4,16385,2023-11-27T00:00:00,Human-Interest
4,17848,2024-03-31T00:00:00,Human-Interest
4,16571,2023-12-06T00:00:00,Human-Interest
4,11976,2023-03-03T00:00:00,Human-Interest
4,10069,2022-12-05T00:00:00,Human-Interest
4,16880,2023-12-23T00:00:00,Human-Interest
4,7493,2022-05-20T00:00:00,Human-Interest
4,10230,2022-12-23T00:00:00,Human-Interest
4,13167,2023-05-23T00:00:00,Human-Interest
4,16267,2023-11-03T00:00:00,Human-Interest
4,17928,2024-04-08T00:00:00,Human-Interest
4,13025,2023-05-21T00:00:00,Human-Interest
4,12460,2023-04-01T00:00:00,Human-Interest
4,12157,2023-03-11T00:00:00,Human-Interest
4,12894,2023-05-06T00:00:00,Human-Interest
4,14828,2023-07-30T00:00:00,Human-Interest
4,7124,2022-05-06T00:00:00,Human-Interest
4,10069,2022-12-07T00:00:00,Human-Interest
4,14828,2023-08-01T00:00:00,Human-Interest
4,14255,2023-07-02T00:00:00,Human-Interest
4,16727,2023-12-14T00:00:00,Human-Interest
4,18054,2024-04-17T00:00:00,Human-Interest
4,13167,2023-05-22T00:00:00,Human-Interest
4,12380,2023-03-24T00:00:00,Human-Interest
4,14828,2023-07-31T00:00:00,Human-Interest
4,14828,2023-08-02T00:00:00,Human-Interest
4,16939,2023-12-31T00:00:00,Human-Interest
4,11976,2023-03-02T00:00:00,Human-Interest
4,14255,2023-07-03T00:00:00,Human-Interest
4,11659,2023-02-13T00:00:00,Human-Interest
4,13396,2023-06-04T00:00:00,Human-Interest
4,8302,2022-07-29T00:00:00,Human-Interest
4,17518,2024-02-28T00:00:00,Human-Interest
4,13025,2023-05-17T00:00:00,Human-Interest
4,9775,2022-11-07T00:00:00,Human-Interest
4,10963,2023-01-16T00:00:00,Human-Interest
4,12894,2023-05-07T00:00:00,Human-Interest
4,15317,2023-08-31T00:00:00,Human-Interest
4,12651,2023-04-18T00:00:00,Human-Interest
4,11790,2023-02-21T00:00:00,Human-Interest
4,17016,2024-01-09T00:00:00,Human-Interest
4,17757,2024-03-23T00:00:00,Human-Interest
4,16245,2023-11-17T00:00:00,Human-Interest
4,8118,2022-07-14T00:00:00,Human-Interest
4,12651,2023-04-19T00:00:00,Human-Interest
4,15128,2023-08-17T00:00:00,Human-Interest
4,13025,2023-05-20T00:00:00,Human-Interest
4,12460,2023-04-02T00:00:00,Human-Interest
4,9968,2022-11-21T00:00:00,Human-Interest
4,14828,2023-07-28T00:00:00,Human-Interest
4,7977,2022-06-29T00:00:00,Human-Interest
4,15128,2023-08-18T00:00:00,Human-Interest
4,17209,2024-01-29T00:00:00,Human-Interest
4,17634,2024-03-15T00:00:00,Human-Interest
4,11976,2023-03-01T00:00:00,Human-Interest
4,13396,2023-06-03T00:00:00,Human-Interest
6,1244,2023-06-22T00:00:00,Human-Interest
6,1122,2022-11-21T00:00:00,Human-Interest
6,1112,2022-10-14T00:00:00,Human-Interest
6,1170,2023-01-20T00:00:00,Human-Interest
6,1112,2022-11-07T00:00:00,Human-Interest
6,1112,2022-10-24T00:00:00,Human-Interest
6,1254,2023-07-06T00:00:00,Human-Interest
6,1127,2022-12-19T00:00:00,Human-Interest
6,1134,2023-01-06T00:00:00,Human-Interest
6,1226,2023-05-04T00:00:00,Human-Interest
6,1126,2022-12-05T00:00:00,Human-Interest
6,1020,2022-06-15T00:00:00,Human-Interest
6,1263,2023-07-20T00:00:00,Human-Interest
6,1226,2023-04-07T00:00:00,Human-Interest
6,1302,2023-10-16T00:00:00,Human-Interest
6,1061,2022-08-13T00:00:00,Human-Interest
6,1199,2023-02-17T00:00:00,Human-Interest
6,1192,2023-02-03T00:00:00,Human-Interest
6,1042,2022-07-14T00:00:00,Human-Interest
6,1288,2023-08-25T00:00:00,Human-Interest
6,1226,2023-04-17T00:00:00,Human-Interest
6,1078,2022-08-27T00:00:00,Human-Interest
6,1283,2023-08-17T00:00:00,Human-Interest
6,1048,2022-07-29T00:00:00,Human-Interest
6,1273,2023-08-03T00:00:00,Human-Interest
6,1199,2023-03-03T00:00:00,Human-Interest
6,1236,2023-05-23T00:00:00,Human-Interest
6,1293,2023-09-08T00:00:00,Human-Interest
6,1299,2023-09-22T00:00:00,Human-Interest
6,1220,2023-03-17T00:00:00,Human-Interest
6,1094,2022-10-01T00:00:00,Human-Interest
6,1000,2022-05-06T00:00:00,Human-Interest
6,1244,2023-06-06T00:00:00,Human-Interest
6,1020,2022-05-20T00:00:00,Human-Interest
6,1302,2023-10-02T00:00:00,Human-Interest
6,1086,2022-09-17T00:00:00,Human-Interest
7,228200000,2022-05-06T13:19:06,Human-Interest
7,497700000,2024-04-09T22:45:13,Human-Interest
7,228200000,2022-04-27T09:17:00,Human-Interest
7,228200000,2022-12-14T06:10:19,Human-Interest
7,228200000,2023-02-17T08:30:24,Human-Interest
7,497700000,2023-08-25T11:58:20,Human-Interest
7,497700000,2023-12-31T08:08:41,Human-Interest
7,228200000,2022-12-14T07:58:13,Human-Interest
7,228200000,2022-05-20T06:29:57,Human-Interest
7,228200000,2022-06-29T07:42:41,Human-Interest
7,389200000,2023-07-25T14:57:16,Human-Interest
7,228200000,2022-06-15T09:21:57,Human-Interest
7,228200000,2023-03-03T06:32:16,Human-Interest
7,497700000,2023-12-17T12:41:40,Human-Interest
7,497700000,2023-08-08T14:32:05,Human-Interest
7,228200000,2022-07-14T09:18:58,Human-Interest
7,389200000,2023-06-22T08:46:54,Human-Interest
7,389200000,2023-07-11T09:52:19,Human-Interest
7,228200000,2022-08-13T05:52:42,Human-Interest
7,228200000,2022-07-29T09:07:20,Human-Interest
7,228200000,2022-10-24T21:20:34,Human-Interest
7,228200000,2022-08-27T06:12:57,Human-Interest
7,497700000,2023-10-16T21:15:16,Human-Interest
7,228200000,2022-10-14T07:15:25,Human-Interest
7,228200000,2023-02-03T08:33:04,Human-Interest
7,228200000,2022-09-17T11:45:16,Human-Interest
7,228200000,2022-10-01T09:23:47,Human-Interest
7,228200000,2023-01-20T05:45:57,Human-Interest
7,497700000,2024-02-03T20:42:43,Human-Interest
8,314845,2023-12-19T00:00:00,Human-Interest
8,375188,2024-01-23T00:00:00,Human-Interest
8,318538,2023-12-03T00:00:00,Human-Interest
8,318538,2023-11-18T00:00:00,Human-Interest
8,480924,2024-03-21T00:00:00,Human-Interest
8,492990,2024-04-11T00:00:00,Human-Interest
8,327659,2023-10-08T00:00:00,Human-Interest
8,302949,2023-10-26T00:00:00,Human-Interest
8,327659,2023-09-19T00:00:00,Human-Interest
8,375188,2024-01-20T00:00:00,Human-Interest
8,520882,2024-02-11T00:00:00,Human-Interest
8,375188,2024-01-19T00:00:00,Human-Interest
8,302949,2023-11-02T00:00:00,Human-Interest
8,375188,2024-01-21T00:00:00,Human-Interest
8,520882,2024-02-26T00:00:00,Human-Interest
8,314845,2024-01-03T00:00:00,Human-Interest
8,375188,2024-01-22T00:00:00,Human-Interest
8,520882,2024-02-27T00:00:00,Human-Interest
8,302949,2023-10-10T00:00:00,Human-Interest
8,520882,2024-03-01T00:00:00,Human-Interest
9,765,2023-10-03T03:56:19,Human-Interest
9,715,2023-03-03T02:53:43,Human-Interest
9,773,2023-11-03T05:23:48,Human-Interest
9,704,2023-02-21T03:11:00,Human-Interest
9,765,2023-07-29T23:16:54,Human-Interest
9,765,2023-08-01T03:16:56,Human-Interest
9,696,2023-01-28T13:41:43,Human-Interest
9,728,2023-03-11T02:00:19,Human-Interest
9,741,2023-03-24T06:22:34,Human-Interest
9,768,2023-07-17T03:21:20,Human-Interest
9,763,2023-09-16T02:35:09,Human-Interest
9,768,2023-07-16T03:06:11,Human-Interest
9,688,2022-12-07T16:14:51,Human-Interest
9,765,2023-10-04T02:07:50,Human-Interest
9,696,2023-01-27T23:54:42,Human-Interest
9,765,2023-07-31T21:23:30,Human-Interest
9,765,2023-07-30T22:15:58,Human-Interest
9,691,2023-01-17T04:09:33,Human-Interest
9,728,2023-04-18T03:55:52,Human-Interest
9,763,2023-09-17T02:11:03,Human-Interest
9,765,2023-08-17T03:56:33,Human-Interest
9,691,2023-01-16T04:08:20,Human-Interest
9,715,2023-03-01T03:20:13,Human-Interest
9,696,2023-01-29T04:01:46,Human-Interest
9,703,2023-02-13T01:46:22,Human-Interest
9,769,2023-11-17T03:17:30,Human-Interest
9,765,2023-07-28T23:47:02,Human-Interest
9,700,2023-02-05T02:35:50,Human-Interest
9,764,2023-08-31T02:43:08,Human-Interest
9,728,2023-04-17T08:51:35,Human-Interest
9,751,2023-04-01T04:47:48,Human-Interest
9,760,2023-08-06T01:45:42,Human-Interest
9,783,2023-05-21T14:34:16,Human-Interest
9,715,2023-03-02T02:43:14,Human-Interest
9,751,2023-04-02T04:11:34,Human-Interest
9,778,2023-07-02T03:56:50,Human-Interest
9,769,2023-11-27T02:19:37,Human-Interest
9,728,2023-04-19T05:04:13,Human-Interest
9,685,2023-01-04T06:26:38,Human-Interest
9,765,2023-08-18T02:21:52,Human-Interest
9,778,2023-07-03T02:01:21,Human-Interest
9,765,2023-08-02T12:30:12,Human-Interest
9,687,2022-12-23T04:23:56,Human-Interest
9,773,2023-10-24T07:37:15,Human-Interest
9,770,2023-12-06T02:13:46,Human-Interest
9,771,2023-12-31T03:17:00,Human-Interest
9,785,2023-06-21T01:32:37,Human-Interest
9,683,2022-11-07T07:33:36,Human-Interest
9,749,2024-03-15T05:51:00,Human-Interest
9,783,2023-05-17T07:44:18,Human-Interest
9,749,2024-03-07T01:59:13,Human-Interest
9,766,2024-01-09T01:58:13,Human-Interest
9,645,2022-06-29T07:42:41,Human-Interest
9,651,2022-07-14T09:18:58,Human-Interest
9,781,2023-06-03T01:44:20,Human-Interest
9,669,2022-10-24T21:20:34,Human-Interest
9,760,2024-01-27T06:04:46,Human-Interest
9,752,2024-02-28T05:17:49,Human-Interest
9,660,2022-07-29T09:07:20,Human-Interest
9,631,2022-06-15T09:21:57,Human-Interest
9,752,2024-02-18T02:52:52,Human-Interest
9,669,2022-10-14T07:15:25,Human-Interest
9,785,2023-06-20T03:19:39,Human-Interest
9,781,2023-06-04T03:17:14,Human-Interest
9,721,2023-05-07T09:31:23,Human-Interest
9,755,2024-02-10T06:35:36,Human-Interest
9,760,2024-01-28T01:09:54,Human-Interest
9,675,2022-10-01T09:23:47,Human-Interest
9,671,2022-08-13T05:52:42,Human-Interest
9,675,2022-08-27T06:12:57,Human-Interest
9,781,2023-06-05T01:14:15,Human-Interest
9,755,2024-02-09T10:05:03,Human-Interest
9,671,2022-09-17T11:45:16,Human-Interest
9,721,2023-05-08T11:52:12,Human-Interest
9,760,2024-01-29T02:46:43,Human-Interest
9,783,2023-05-15T22:39:01,Human-Interest
9,783,2023-05-20T23:23:06,Human-Interest
9,760,2024-01-30T03:31:18,Human-Interest
9,785,2023-06-22T03:41:00,Human-Interest
9,766,2023-12-14T01:32:00,Human-Interest
9,741,2024-04-08T04:17:03,Human-Interest
9,688,2022-12-05T05:41:52,Human-Interest
9,788,2023-05-22T18:38:10,Human-Interest
9,752,2024-03-31T09:20:22,Human-Interest
9,599,2022-05-06T13:19:06,Human-Interest
9,721,2023-05-06T18:50:47,Human-Interest
9,627,2022-05-20T06:29:57,Human-Interest
9,788,2023-05-23T11:40:30,Human-Interest
9,740,2024-04-17T04:12:16,Human-Interest
9,748,2024-03-23T01:24:15,Human-Interest
9,599,2022-04-27T09:17:00,Human-Interest
9,685,2022-11-21T05:58:45,Human-Interest
9,769,2023-12-23T01:20:02,Human-Interest
10,21,2023-06-04T03:17:14,Human-Interest
10,19,2023-02-05T02:35:50,Human-Interest
10,19,2022-05-06T13:19:06,Human-Interest
10,21,2022-07-29T09:07:20,Human-Interest
10,20,2023-09-17T02:11:03,Human-Interest
10,20,2023-08-01T03:16:56,Human-Interest
10,21,2023-05-15T22:39:01,Human-Interest
10,20,2024-02-18T02:52:52,Human-Interest
10,20,2024-02-10T06:35:36,Human-Interest
10,20,2023-07-31T21:23:30,Human-Interest
10,20,2023-03-11T02:00:19,Human-Interest
10,20,2023-12-06T02:13:46,Human-Interest
10,20,2023-07-30T22:15:58,Human-Interest
10,18,2024-04-17T04:12:16,Human-Interest
10,20,2022-04-27T09:17:00,Human-Interest
10,21,2023-06-05T01:14:15,Human-Interest
10,20,2023-01-29T04:01:46,Human-Interest
10,21,2022-08-27T06:12:57,Human-Interest
10,20,2024-02-09T10:05:03,Human-Interest
10,21,2022-09-17T11:45:16,Human-Interest
