metric,metric_value,timestamp,company_name
1,912,2023-08-31T00:00:00,Huntress
1,625,2022-07-06T00:00:00,Huntress
1,963,2023-12-03T00:00:00,Huntress
1,901,2023-08-17T00:00:00,Huntress
1,825,2023-05-01T00:00:00,Huntress
1,972,2023-12-17T00:00:00,Huntress
1,616,2022-06-22T00:00:00,Huntress
1,813,2023-04-17T00:00:00,Huntress
1,981,2023-12-31T00:00:00,Huntress
1,982,2024-01-02T00:00:00,Huntress
1,739,2022-12-06T00:00:00,Huntress
1,606,2022-06-08T00:00:00,Huntress
1,596,2022-05-25T00:00:00,Huntress
1,986,2024-01-16T00:00:00,Huntress
1,813,2023-04-07T00:00:00,Huntress
1,587,2022-05-11T00:00:00,Huntress
1,989,2024-01-30T00:00:00,Huntress
1,806,2023-03-18T00:00:00,Huntress
1,837,2023-05-15T00:00:00,Huntress
1,744,2022-12-20T00:00:00,Huntress
1,954,2023-11-19T00:00:00,Huntress
1,728,2022-11-08T00:00:00,Huntress
1,701,2022-10-03T00:00:00,Huntress
1,690,2022-09-18T00:00:00,Huntress
1,888,2023-08-03T00:00:00,Huntress
1,879,2023-07-20T00:00:00,Huntress
1,923,2023-09-24T00:00:00,Huntress
1,716,2022-10-14T00:00:00,Huntress
1,664,2022-08-29T00:00:00,Huntress
1,872,2023-07-06T00:00:00,Huntress
1,926,2023-10-08T00:00:00,Huntress
1,716,2022-10-25T00:00:00,Huntress
1,649,2022-08-14T00:00:00,Huntress
1,869,2023-06-22T00:00:00,Huntress
1,935,2023-10-22T00:00:00,Huntress
1,857,2023-06-06T00:00:00,Huntress
1,944,2023-11-05T00:00:00,Huntress
1,642,2022-07-30T00:00:00,Huntress
1,635,2022-07-20T00:00:00,Huntress
1,843,2023-05-23T00:00:00,Huntress
1,993,2024-02-13T00:00:00,Huntress
1,738,2022-11-22T00:00:00,Huntress
1,1000,2024-03-12T00:00:00,Huntress
1,577,2022-04-27T00:00:00,Huntress
1,1000,2024-04-03T00:00:00,Huntress
1,1000,2024-03-18T00:00:00,Huntress
1,769,2023-01-21T00:00:00,Huntress
1,801,2023-03-04T00:00:00,Huntress
1,1000,2024-03-14T00:00:00,Huntress
1,996,2024-02-27T00:00:00,Huntress
1,781,2023-02-04T00:00:00,Huntress
1,1000,2024-04-17T00:00:00,Huntress
1,797,2023-02-18T00:00:00,Huntress
1,758,2023-01-07T00:00:00,Huntress
3,1000,2023-06-22T00:00:00,Huntress
3,983,2023-06-06T00:00:00,Huntress
3,1033,2023-11-05T00:00:00,Huntress
3,1082,2023-12-17T00:00:00,Huntress
3,734,2022-07-30T00:00:00,Huntress
3,822,2022-11-08T00:00:00,Huntress
3,1197,2024-03-12T00:00:00,Huntress
3,968,2023-05-23T00:00:00,Huntress
3,1200,2024-03-18T00:00:00,Huntress
3,832,2022-11-22T00:00:00,Huntress
3,1049,2023-11-19T00:00:00,Huntress
3,1200,2024-03-14T00:00:00,Huntress
3,1066,2023-12-03T00:00:00,Huntress
3,961,2023-05-15T00:00:00,Huntress
3,1158,2024-02-13T00:00:00,Huntress
3,947,2023-05-01T00:00:00,Huntress
3,799,2022-10-03T00:00:00,Huntress
3,1000,2023-08-31T00:00:00,Huntress
3,787,2022-09-18T00:00:00,Huntress
3,1200,2024-04-17T00:00:00,Huntress
3,1000,2023-08-03T00:00:00,Huntress
3,1000,2023-07-20T00:00:00,Huntress
3,857,2023-01-07T00:00:00,Huntress
3,1016,2023-10-22T00:00:00,Huntress
3,1000,2023-09-24T00:00:00,Huntress
3,761,2022-08-29T00:00:00,Huntress
3,809,2022-10-14T00:00:00,Huntress
3,1000,2023-07-06T00:00:00,Huntress
3,1000,2023-10-08T00:00:00,Huntress
3,809,2022-10-25T00:00:00,Huntress
3,745,2022-08-14T00:00:00,Huntress
3,1200,2024-04-03T00:00:00,Huntress
3,871,2023-01-21T00:00:00,Huntress
3,885,2023-02-04T00:00:00,Huntress
3,1000,2023-08-17T00:00:00,Huntress
3,1139,2024-01-30T00:00:00,Huntress
3,1100,2024-01-02T00:00:00,Huntress
3,913,2023-03-04T00:00:00,Huntress
3,1178,2024-02-27T00:00:00,Huntress
3,933,2023-04-17T00:00:00,Huntress
3,933,2023-04-07T00:00:00,Huntress
3,841,2022-12-20T00:00:00,Huntress
3,922,2023-03-18T00:00:00,Huntress
3,834,2022-12-06T00:00:00,Huntress
3,907,2023-02-18T00:00:00,Huntress
3,1119,2024-01-16T00:00:00,Huntress
3,1099,2023-12-31T00:00:00,Huntress
4,32727,2023-07-14T00:00:00,Huntress
4,35662,2023-09-26T00:00:00,Huntress
4,30259,2023-04-27T00:00:00,Huntress
4,29494,2023-04-05T00:00:00,Huntress
4,29494,2023-04-06T00:00:00,Huntress
4,32193,2023-07-02T00:00:00,Huntress
4,16551,2022-05-06T00:00:00,Huntress
4,21981,2022-08-14T00:00:00,Huntress
