metric,metric_value,timestamp,company_name
1,279,2022-11-07T00:00:00,Interos
1,266,2022-07-11T00:00:00,Interos
1,311,2023-05-04T00:00:00,Interos
1,281,2022-12-05T00:00:00,Interos
1,325,2023-07-27T00:00:00,Interos
1,329,2023-08-11T00:00:00,Interos
1,315,2023-06-22T00:00:00,Interos
1,341,2023-10-23T00:00:00,Interos
1,313,2023-05-23T00:00:00,Interos
1,264,2022-06-27T00:00:00,Interos
1,296,2023-03-03T00:00:00,Interos
1,331,2023-08-31T00:00:00,Interos
1,263,2022-06-13T00:00:00,Interos
1,261,2022-05-30T00:00:00,Interos
1,283,2022-12-19T00:00:00,Interos
1,305,2023-04-07T00:00:00,Interos
1,276,2022-09-17T00:00:00,Interos
1,305,2023-04-17T00:00:00,Interos
1,304,2023-03-17T00:00:00,Interos
1,259,2022-05-16T00:00:00,Interos
1,292,2023-02-03T00:00:00,Interos
1,278,2022-10-24T00:00:00,Interos
1,271,2022-08-22T00:00:00,Interos
1,269,2022-08-08T00:00:00,Interos
1,340,2023-09-24T00:00:00,Interos
1,288,2023-01-20T00:00:00,Interos
1,277,2022-10-07T00:00:00,Interos
1,315,2023-06-05T00:00:00,Interos
1,271,2022-08-25T00:00:00,Interos
1,281,2022-11-21T00:00:00,Interos
1,258,2022-05-02T00:00:00,Interos
1,267,2022-07-25T00:00:00,Interos
1,278,2022-10-16T00:00:00,Interos
1,296,2023-02-17T00:00:00,Interos
1,340,2023-10-08T00:00:00,Interos
1,283,2023-01-06T00:00:00,Interos
1,322,2023-07-13T00:00:00,Interos
3,361,2023-10-08T00:00:00,Interos
3,324,2023-03-17T00:00:00,Interos
3,330,2023-05-04T00:00:00,Interos
3,297,2022-11-07T00:00:00,Interos
3,315,2023-02-17T00:00:00,Interos
3,334,2023-06-22T00:00:00,Interos
3,342,2023-07-13T00:00:00,Interos
3,350,2023-08-11T00:00:00,Interos
3,299,2022-12-05T00:00:00,Interos
3,289,2022-08-25T00:00:00,Interos
3,332,2023-05-23T00:00:00,Interos
3,299,2022-11-21T00:00:00,Interos
3,291,2022-09-08T00:00:00,Interos
3,361,2023-10-23T00:00:00,Interos
3,295,2022-10-06T00:00:00,Interos
3,301,2023-01-06T00:00:00,Interos
3,352,2023-08-31T00:00:00,Interos
3,311,2023-02-03T00:00:00,Interos
3,295,2022-10-07T00:00:00,Interos
3,346,2023-07-27T00:00:00,Interos
3,361,2023-09-24T00:00:00,Interos
3,293,2022-09-22T00:00:00,Interos
3,315,2023-03-03T00:00:00,Interos
3,296,2022-10-24T00:00:00,Interos
3,334,2023-06-05T00:00:00,Interos
3,296,2022-10-16T00:00:00,Interos
3,301,2022-12-19T00:00:00,Interos
3,324,2023-04-07T00:00:00,Interos
3,324,2023-04-17T00:00:00,Interos
3,306,2023-01-20T00:00:00,Interos
4,8536,2024-03-07T00:00:00,Interos
4,6734,2022-10-16T00:00:00,Interos
4,8160,2023-11-23T00:00:00,Interos
4,6436,2022-08-24T00:00:00,Interos
4,6588,2022-10-07T00:00:00,Interos
4,6440,2022-08-25T00:00:00,Interos
4,8013,2023-09-13T00:00:00,Interos
4,6325,2022-07-27T00:00:00,Interos
4,6380,2022-08-10T00:00:00,Interos
4,7626,2023-05-25T00:00:00,Interos
4,7836,2023-08-04T00:00:00,Interos
4,7456,2023-04-25T00:00:00,Interos
4,6534,2022-09-17T00:00:00,Interos
4,6734,2022-10-24T00:00:00,Interos
4,8122,2023-11-09T00:00:00,Interos
4,7666,2023-06-09T00:00:00,Interos
4,7396,2023-04-07T00:00:00,Interos
4,8563,2024-03-15T00:00:00,Interos
4,7735,2023-07-04T00:00:00,Interos
4,8495,2024-02-18T00:00:00,Interos
4,7926,2023-08-24T00:00:00,Interos
4,7199,2023-03-05T00:00:00,Interos
4,7199,2023-03-06T00:00:00,Interos
4,8513,2024-02-28T00:00:00,Interos
4,6783,2022-11-07T00:00:00,Interos
4,7780,2023-07-18T00:00:00,Interos
4,7456,2023-04-21T00:00:00,Interos
4,6269,2022-07-13T00:00:00,Interos
4,8013,2023-09-12T00:00:00,Interos
4,7166,2023-02-23T00:00:00,Interos
4,8187,2023-12-02T00:00:00,Interos
4,8332,2024-01-15T00:00:00,Interos
4,7265,2023-03-26T00:00:00,Interos
4,8685,2024-04-08T00:00:00,Interos
4,5860,2022-05-18T00:00:00,Interos
4,6976,2022-12-24T00:00:00,Interos
4,7396,2023-04-11T00:00:00,Interos
4,7780,2023-07-19T00:00:00,Interos
4,7114,2023-02-07T00:00:00,Interos
4,7881,2023-08-12T00:00:00,Interos
4,7666,2023-06-08T00:00:00,Interos
4,7626,2023-05-26T00:00:00,Interos
4,7705,2023-06-26T00:00:00,Interos
4,7007,2023-01-05T00:00:00,Interos
4,8233,2023-12-18T00:00:00,Interos
4,5642,2022-05-04T00:00:00,Interos
4,8732,2024-04-17T00:00:00,Interos
4,8189,2023-10-18T00:00:00,Interos
4,7039,2023-01-18T00:00:00,Interos
4,7836,2023-08-02T00:00:00,Interos
4,7396,2023-04-06T00:00:00,Interos
4,8085,2023-09-27T00:00:00,Interos
4,8279,2023-12-27T00:00:00,Interos
4,7087,2023-01-29T00:00:00,Interos
4,7735,2023-07-05T00:00:00,Interos
4,7396,2023-04-10T00:00:00,Interos
4,8305,2024-01-05T00:00:00,Interos
4,7881,2023-08-11T00:00:00,Interos
4,7456,2023-04-22T00:00:00,Interos
4,7705,2023-06-25T00:00:00,Interos
4,7926,2023-08-23T00:00:00,Interos
4,7240,2023-03-16T00:00:00,Interos
4,8432,2024-02-10T00:00:00,Interos
4,7396,2023-04-12T00:00:00,Interos
4,8599,2024-03-23T00:00:00,Interos
4,7433,2023-04-13T00:00:00,Interos
4,6816,2022-11-21T00:00:00,Interos
4,6213,2022-06-29T00:00:00,Interos
4,8013,2023-09-11T00:00:00,Interos
4,7456,2023-04-26T00:00:00,Interos
4,6912,2022-12-05T00:00:00,Interos
4,8647,2024-03-31T00:00:00,Interos
4,7456,2023-04-23T00:00:00,Interos
4,6126,2022-06-15T00:00:00,Interos
4,8384,2024-01-30T00:00:00,Interos
4,8214,2023-12-10T00:00:00,Interos
4,8227,2023-10-28T00:00:00,Interos
4,7137,2023-02-15T00:00:00,Interos
4,6912,2022-12-07T00:00:00,Interos
4,8085,2023-09-28T00:00:00,Interos
4,7396,2023-04-09T00:00:00,Interos
6,1006,2023-06-22T00:00:00,Interos
6,1011,2022-11-21T00:00:00,Interos
6,1009,2023-05-23T00:00:00,Interos
6,1008,2023-02-03T00:00:00,Interos
6,1018,2022-11-07T00:00:00,Interos
6,1002,2023-01-06T00:00:00,Interos
6,1005,2022-12-19T00:00:00,Interos
6,1010,2023-05-04T00:00:00,Interos
6,1008,2023-03-03T00:00:00,Interos
6,1008,2023-02-17T00:00:00,Interos
6,1007,2022-12-05T00:00:00,Interos
6,1024,2022-10-24T00:00:00,Interos
6,1024,2022-10-16T00:00:00,Interos
6,1008,2023-01-20T00:00:00,Interos
6,984,2022-05-18T00:00:00,Interos
6,965,2022-05-04T00:00:00,Interos
6,1010,2023-04-07T00:00:00,Interos
6,1006,2023-07-13T00:00:00,Interos
6,1010,2023-04-17T00:00:00,Interos
6,1005,2023-07-27T00:00:00,Interos
6,1015,2022-09-17T00:00:00,Interos
6,1014,2022-08-25T00:00:00,Interos
6,1014,2022-08-24T00:00:00,Interos
6,984,2022-06-15T00:00:00,Interos
6,1008,2022-08-10T00:00:00,Interos
6,1002,2022-07-27T00:00:00,Interos
6,996,2022-07-13T00:00:00,Interos
6,1008,2023-03-17T00:00:00,Interos
6,1002,2023-08-24T00:00:00,Interos
6,1019,2022-10-07T00:00:00,Interos
6,1003,2023-08-10T00:00:00,Interos
6,1001,2023-08-31T00:00:00,Interos
6,1009,2023-06-05T00:00:00,Interos
6,990,2022-06-29T00:00:00,Interos
7,34900000,2023-07-27T07:58:20,Interos
7,134900000,2023-08-11T07:39:05,Interos
7,134900000,2024-04-02T13:37:20,Interos
7,134900000,2023-12-31T11:46:22,Interos
7,34900000,2022-12-14T16:35:54,Interos
7,34900000,2022-11-21T08:13:43,Interos
7,34900000,2023-02-03T05:44:26,Interos
7,134900000,2024-03-16T02:27:24,Interos
7,134900000,2023-10-08T15:09:14,Interos
7,34900000,2022-05-04T13:22:17,Interos
7,34900000,2022-12-14T16:07:26,Interos
7,34900000,2022-06-15T08:57:36,Interos
7,134900000,2024-03-18T05:04:26,Interos
7,34900000,2022-06-29T08:00:42,Interos
7,34900000,2023-03-17T06:58:42,Interos
7,134900000,2024-02-03T16:54:05,Interos
7,134900000,2023-08-31T13:41:02,Interos
7,34900000,2022-08-25T08:07:39,Interos
7,34900000,2022-05-18T09:42:27,Interos
7,134900000,2023-10-23T13:39:45,Interos
7,34900000,2023-06-22T07:55:09,Interos
7,34900000,2023-03-03T05:46:18,Interos
7,34900000,2022-04-27T09:23:21,Interos
7,34900000,2023-07-13T17:15:44,Interos
7,34900000,2023-01-06T07:51:10,Interos
7,34900000,2022-12-05T06:01:15,Interos
7,34900000,2022-09-17T08:42:52,Interos
7,134900000,2023-12-18T12:33:01,Interos
7,34900000,2023-01-20T07:55:43,Interos
7,34900000,2022-10-07T21:07:05,Interos
7,34900000,2023-04-07T06:18:12,Interos
7,34900000,2022-10-16T20:40:37,Interos
7,134900000,2023-09-24T14:43:45,Interos
8,28631,2023-10-08T00:00:00,Interos
8,28257,2024-01-19T00:00:00,Interos
8,44485,2024-03-01T00:00:00,Interos
8,65685,2023-11-18T00:00:00,Interos
8,57894,2024-03-21T00:00:00,Interos
8,65685,2023-12-03T00:00:00,Interos
8,38229,2023-12-19T00:00:00,Interos
8,44485,2024-02-26T00:00:00,Interos
8,44485,2024-02-27T00:00:00,Interos
8,28631,2023-09-18T00:00:00,Interos
8,75265,2023-10-26T00:00:00,Interos
8,38229,2024-01-03T00:00:00,Interos
8,28257,2024-01-21T00:00:00,Interos
8,75265,2023-10-10T00:00:00,Interos
