metric,metric_value,timestamp,company_name
1,1400,2023-07-12T00:00:00,Intersection
1,1429,2022-04-28T00:00:00,Intersection
1,1400,2023-08-28T00:00:00,Intersection
1,1400,2023-12-17T00:00:00,Intersection
1,1400,2024-03-08T00:00:00,Intersection
1,1400,2023-12-31T00:00:00,Intersection
1,1400,2023-08-09T00:00:00,Intersection
1,1436,2022-08-26T00:00:00,Intersection
1,1447,2023-01-20T00:00:00,Intersection
1,1436,2022-08-18T00:00:00,Intersection
1,1435,2022-08-04T00:00:00,Intersection
1,1400,2023-07-26T00:00:00,Intersection
1,1434,2022-07-21T00:00:00,Intersection
1,1430,2022-05-12T00:00:00,Intersection
1,1446,2022-09-17T00:00:00,Intersection
1,1400,2023-05-03T00:00:00,Intersection
1,1446,2022-12-19T00:00:00,Intersection
1,1400,2024-01-14T00:00:00,Intersection
1,1400,2023-11-02T00:00:00,Intersection
1,1400,2024-02-23T00:00:00,Intersection
1,1400,2023-05-23T00:00:00,Intersection
1,1433,2022-06-23T00:00:00,Intersection
1,1400,2024-01-28T00:00:00,Intersection
1,1400,2023-06-05T00:00:00,Intersection
1,1400,2023-06-22T00:00:00,Intersection
1,1400,2024-02-03T00:00:00,Intersection
1,1431,2022-05-26T00:00:00,Intersection
1,1432,2022-06-09T00:00:00,Intersection
1,1447,2023-01-06T00:00:00,Intersection
1,1433,2022-07-07T00:00:00,Intersection
1,1400,2023-02-03T00:00:00,Intersection
1,1452,2022-12-05T00:00:00,Intersection
1,1400,2024-02-09T00:00:00,Intersection
1,1400,2024-03-31T00:00:00,Intersection
1,1400,2023-09-18T00:00:00,Intersection
1,1400,2023-03-17T00:00:00,Intersection
1,1400,2023-10-03T00:00:00,Intersection
1,1400,2023-02-17T00:00:00,Intersection
1,1400,2023-04-07T00:00:00,Intersection
1,1450,2022-10-14T00:00:00,Intersection
1,1448,2022-10-01T00:00:00,Intersection
1,1400,2023-11-30T00:00:00,Intersection
1,1450,2022-10-24T00:00:00,Intersection
1,1452,2022-11-07T00:00:00,Intersection
1,1452,2022-11-21T00:00:00,Intersection
1,1400,2023-11-16T00:00:00,Intersection
1,1400,2024-03-22T00:00:00,Intersection
1,1400,2023-03-03T00:00:00,Intersection
1,1400,2023-12-14T00:00:00,Intersection
1,1400,2023-10-19T00:00:00,Intersection
1,1400,2024-04-15T00:00:00,Intersection
3,1500,2023-07-12T00:00:00,Intersection
3,1500,2023-10-19T00:00:00,Intersection
3,1500,2023-06-22T00:00:00,Intersection
3,1572,2022-10-14T00:00:00,Intersection
3,1500,2024-02-03T00:00:00,Intersection
3,1572,2022-10-24T00:00:00,Intersection
3,1500,2024-01-28T00:00:00,Intersection
3,1500,2023-11-16T00:00:00,Intersection
3,1500,2023-12-14T00:00:00,Intersection
3,1500,2023-10-03T00:00:00,Intersection
3,1500,2023-08-28T00:00:00,Intersection
3,1500,2023-12-17T00:00:00,Intersection
3,1567,2023-01-06T00:00:00,Intersection
3,1573,2022-12-05T00:00:00,Intersection
3,1573,2022-11-21T00:00:00,Intersection
3,1500,2023-12-31T00:00:00,Intersection
3,1500,2024-01-14T00:00:00,Intersection
3,1500,2023-11-30T00:00:00,Intersection
3,1500,2023-08-09T00:00:00,Intersection
3,1500,2023-09-18T00:00:00,Intersection
3,1571,2022-10-01T00:00:00,Intersection
3,1574,2022-11-07T00:00:00,Intersection
3,1569,2022-09-17T00:00:00,Intersection
3,1566,2022-12-19T00:00:00,Intersection
3,1558,2022-08-26T00:00:00,Intersection
3,1500,2023-07-26T00:00:00,Intersection
3,1500,2023-11-02T00:00:00,Intersection
3,1567,2023-01-20T00:00:00,Intersection
3,1500,2024-02-23T00:00:00,Intersection
3,1500,2023-03-03T00:00:00,Intersection
3,1500,2024-03-22T00:00:00,Intersection
3,1500,2023-03-17T00:00:00,Intersection
3,1500,2024-04-15T00:00:00,Intersection
