metric,metric_value,timestamp,company_name
4,131904,2023-08-05T00:00:00,JUUL-Labs
4,134677,2024-03-31T00:00:00,JUUL-Labs
4,130888,2023-06-28T00:00:00,JUUL-Labs
4,130589,2023-06-11T00:00:00,JUUL-Labs
4,131940,2023-12-02T00:00:00,JUUL-Labs
4,127309,2022-11-11T00:00:00,JUUL-Labs
4,127490,2023-01-18T00:00:00,JUUL-Labs
4,124035,2022-07-17T00:00:00,JUUL-Labs
4,132282,2023-09-14T00:00:00,JUUL-Labs
4,119720,2022-05-01T00:00:00,JUUL-Labs
4,132464,2023-10-02T00:00:00,JUUL-Labs
4,132445,2024-01-10T00:00:00,JUUL-Labs
4,127890,2023-03-08T00:00:00,JUUL-Labs
4,131627,2023-07-22T00:00:00,JUUL-Labs
4,134499,2024-03-15T00:00:00,JUUL-Labs
4,131806,2023-11-24T00:00:00,JUUL-Labs
4,132019,2023-08-16T00:00:00,JUUL-Labs
4,127490,2023-01-19T00:00:00,JUUL-Labs
4,128185,2023-03-21T00:00:00,JUUL-Labs
4,128350,2023-04-15T00:00:00,JUUL-Labs
4,132282,2023-09-15T00:00:00,JUUL-Labs
4,132464,2023-10-01T00:00:00,JUUL-Labs
4,123326,2022-06-15T00:00:00,JUUL-Labs
4,127544,2022-12-24T00:00:00,JUUL-Labs
4,122011,2022-05-30T00:00:00,JUUL-Labs
4,132196,2023-12-19T00:00:00,JUUL-Labs
4,130589,2023-06-14T00:00:00,JUUL-Labs
4,127528,2022-12-07T00:00:00,JUUL-Labs
4,134612,2024-03-23T00:00:00,JUUL-Labs
4,130589,2023-06-13T00:00:00,JUUL-Labs
4,134737,2024-04-08T00:00:00,JUUL-Labs
4,128350,2023-04-13T00:00:00,JUUL-Labs
4,132094,2023-12-10T00:00:00,JUUL-Labs
4,127425,2022-11-25T00:00:00,JUUL-Labs
4,131627,2023-07-23T00:00:00,JUUL-Labs
4,123326,2022-07-03T00:00:00,JUUL-Labs
