metric,metric_value,timestamp,company_name
1,4700,2024-04-17T00:00:00,Konrad-Group
1,4800,2024-01-14T00:00:00,Konrad-Group
1,4855,2022-11-04T00:00:00,Konrad-Group
1,4800,2023-12-31T00:00:00,Konrad-Group
1,4854,2022-11-18T00:00:00,Konrad-Group
1,4852,2022-12-02T00:00:00,Konrad-Group
1,4800,2023-12-18T00:00:00,Konrad-Group
1,4800,2023-12-02T00:00:00,Konrad-Group
1,4800,2023-11-14T00:00:00,Konrad-Group
1,4851,2022-12-16T00:00:00,Konrad-Group
1,4800,2023-10-24T00:00:00,Konrad-Group
1,4800,2023-09-26T00:00:00,Konrad-Group
1,4800,2023-09-06T00:00:00,Konrad-Group
1,4849,2022-12-30T00:00:00,Konrad-Group
1,4800,2023-08-23T00:00:00,Konrad-Group
1,4857,2022-10-21T00:00:00,Konrad-Group
1,4800,2023-08-08T00:00:00,Konrad-Group
1,4848,2023-01-13T00:00:00,Konrad-Group
1,4829,2023-07-11T00:00:00,Konrad-Group
1,4830,2023-06-30T00:00:00,Konrad-Group
1,4832,2023-06-16T00:00:00,Konrad-Group
1,4833,2023-06-02T00:00:00,Konrad-Group
1,4835,2023-05-19T00:00:00,Konrad-Group
1,4836,2023-05-05T00:00:00,Konrad-Group
1,4838,2023-04-21T00:00:00,Konrad-Group
1,4839,2023-04-07T00:00:00,Konrad-Group
1,4840,2023-03-24T00:00:00,Konrad-Group
1,4846,2023-01-27T00:00:00,Konrad-Group
1,4842,2023-03-10T00:00:00,Konrad-Group
1,4843,2023-02-24T00:00:00,Konrad-Group
1,4845,2023-02-10T00:00:00,Konrad-Group
1,4800,2023-07-25T00:00:00,Konrad-Group
1,4800,2024-01-28T00:00:00,Konrad-Group
1,4800,2023-10-10T00:00:00,Konrad-Group
1,4700,2024-03-18T00:00:00,Konrad-Group
1,4700,2024-04-05T00:00:00,Konrad-Group
1,4873,2022-05-20T00:00:00,Konrad-Group
1,4863,2022-08-26T00:00:00,Konrad-Group
1,4700,2024-03-02T00:00:00,Konrad-Group
1,4800,2024-02-17T00:00:00,Konrad-Group
1,4866,2022-07-29T00:00:00,Konrad-Group
1,4871,2022-06-03T00:00:00,Konrad-Group
1,4867,2022-07-15T00:00:00,Konrad-Group
1,4858,2022-10-07T00:00:00,Konrad-Group
1,4861,2022-09-09T00:00:00,Konrad-Group
1,4874,2022-05-06T00:00:00,Konrad-Group
1,4800,2024-02-04T00:00:00,Konrad-Group
1,4860,2022-09-23T00:00:00,Konrad-Group
1,4869,2022-07-01T00:00:00,Konrad-Group
1,4870,2022-06-17T00:00:00,Konrad-Group
1,4864,2022-08-12T00:00:00,Konrad-Group
3,4800,2023-08-08T00:00:00,Konrad-Group
3,4800,2023-08-23T00:00:00,Konrad-Group
