metric,metric_value,timestamp,company_name
4,2974,2023-04-27T00:00:00,Last-Energy
4,15570,2024-03-31T00:00:00,Last-Energy
4,1216,2022-12-07T00:00:00,Last-Energy
4,2195,2023-03-26T00:00:00,Last-Energy
4,5360,2023-08-27T00:00:00,Last-Energy
4,6131,2023-10-20T00:00:00,Last-Energy
4,4175,2023-07-19T00:00:00,Last-Energy
4,4175,2023-07-20T00:00:00,Last-Energy
4,11873,2024-01-03T00:00:00,Last-Energy
4,15728,2024-02-27T00:00:00,Last-Energy
4,2698,2023-04-13T00:00:00,Last-Energy
4,2974,2023-04-25T00:00:00,Last-Energy
4,5360,2023-08-28T00:00:00,Last-Energy
4,1374,2022-12-24T00:00:00,Last-Energy
4,4485,2023-08-15T00:00:00,Last-Energy
4,11873,2024-01-04T00:00:00,Last-Energy
4,6279,2023-11-20T00:00:00,Last-Energy
4,1216,2022-12-03T00:00:00,Last-Energy
4,15462,2024-03-06T00:00:00,Last-Energy
4,2974,2023-04-26T00:00:00,Last-Energy
4,851,2022-10-14T00:00:00,Last-Energy
4,15519,2024-03-23T00:00:00,Last-Energy
4,5403,2023-11-10T00:00:00,Last-Energy
4,4390,2023-08-04T00:00:00,Last-Energy
4,15421,2024-03-14T00:00:00,Last-Energy
4,2475,2023-04-07T00:00:00,Last-Energy
4,1005,2022-11-01T00:00:00,Last-Energy
4,12987,2024-01-14T00:00:00,Last-Energy
4,4485,2023-08-16T00:00:00,Last-Energy
4,4390,2023-08-03T00:00:00,Last-Energy
4,7135,2023-10-29T00:00:00,Last-Energy
4,1068,2022-11-17T00:00:00,Last-Energy
4,2475,2023-04-06T00:00:00,Last-Energy
4,10393,2023-12-26T00:00:00,Last-Energy
4,6806,2023-11-30T00:00:00,Last-Energy
4,3964,2023-07-09T00:00:00,Last-Energy
4,3110,2023-05-02T00:00:00,Last-Energy
4,851,2022-09-24T00:00:00,Last-Energy
4,3686,2023-06-13T00:00:00,Last-Energy
4,1722,2023-02-15T00:00:00,Last-Energy
4,5776,2023-09-29T00:00:00,Last-Energy
4,3529,2023-05-29T00:00:00,Last-Energy
4,6920,2023-12-09T00:00:00,Last-Energy
4,3822,2023-06-28T00:00:00,Last-Energy
4,15622,2024-04-17T00:00:00,Last-Energy
4,15585,2024-04-08T00:00:00,Last-Energy
4,1576,2023-02-07T00:00:00,Last-Energy
4,1829,2023-02-23T00:00:00,Last-Energy
4,15306,2024-02-17T00:00:00,Last-Energy
4,1977,2023-03-16T00:00:00,Last-Energy
4,3822,2023-06-29T00:00:00,Last-Energy
4,1901,2023-03-06T00:00:00,Last-Energy
4,2698,2023-04-15T00:00:00,Last-Energy
4,13974,2024-01-30T00:00:00,Last-Energy
4,1415,2023-01-05T00:00:00,Last-Energy
4,3964,2023-07-08T00:00:00,Last-Energy
4,9735,2023-12-17T00:00:00,Last-Energy
4,2698,2023-04-16T00:00:00,Last-Energy
4,1518,2023-01-29T00:00:00,Last-Energy
4,5580,2023-09-14T00:00:00,Last-Energy
4,15728,2024-02-26T00:00:00,Last-Energy
4,14752,2024-02-09T00:00:00,Last-Energy
4,1470,2023-01-18T00:00:00,Last-Energy
4,6131,2023-10-19T00:00:00,Last-Energy
4,6806,2023-12-01T00:00:00,Last-Energy
4,3110,2023-05-04T00:00:00,Last-Energy
6,7727,2023-11-09T00:00:00,Last-Energy
6,71,2022-11-01T00:00:00,Last-Energy
6,809,2023-05-28T00:00:00,Last-Energy
6,755,2023-05-16T00:00:00,Last-Energy
6,102,2022-12-31T00:00:00,Last-Energy
6,1055,2023-08-03T00:00:00,Last-Energy
6,78,2022-11-17T00:00:00,Last-Energy
6,165,2023-02-15T00:00:00,Last-Energy
6,115,2023-02-01T00:00:00,Last-Energy
6,692,2023-05-02T00:00:00,Last-Energy
6,97,2022-12-17T00:00:00,Last-Energy
6,102,2023-01-14T00:00:00,Last-Energy
