metric,metric_value,timestamp,company_name
1,44237,2022-04-29T00:00:00,Later
1,47000,2024-03-18T00:00:00,Later
1,45933,2022-10-28T00:00:00,Later
1,45803,2022-10-14T00:00:00,Later
1,47000,2023-09-06T00:00:00,Later
1,47310,2023-04-18T00:00:00,Later
1,45672,2022-09-30T00:00:00,Later
1,47000,2023-12-17T00:00:00,Later
1,45542,2022-09-16T00:00:00,Later
1,45411,2022-09-02T00:00:00,Later
1,47000,2024-03-14T00:00:00,Later
1,45281,2022-08-19T00:00:00,Later
1,47000,2023-12-13T00:00:00,Later
1,47000,2023-06-27T00:00:00,Later
1,45020,2022-07-22T00:00:00,Later
1,47333,2023-05-02T00:00:00,Later
1,47000,2023-10-18T00:00:00,Later
1,47000,2023-11-29T00:00:00,Later
1,44889,2022-07-08T00:00:00,Later
1,47000,2023-09-20T00:00:00,Later
1,44759,2022-06-24T00:00:00,Later
1,45150,2022-08-05T00:00:00,Later
1,47000,2024-04-10T00:00:00,Later
1,46064,2022-11-11T00:00:00,Later
1,47000,2023-11-15T00:00:00,Later
1,47000,2023-07-25T00:00:00,Later
1,46978,2023-02-17T00:00:00,Later
1,47239,2023-03-17T00:00:00,Later
1,47000,2024-02-01T00:00:00,Later
1,47000,2023-08-08T00:00:00,Later
1,47000,2023-08-09T00:00:00,Later
1,46847,2023-02-03T00:00:00,Later
1,46717,2023-01-20T00:00:00,Later
1,47000,2024-01-18T00:00:00,Later
1,47310,2023-04-11T00:00:00,Later
1,47000,2023-11-01T00:00:00,Later
1,46586,2023-01-06T00:00:00,Later
1,47000,2023-07-11T00:00:00,Later
1,47276,2023-03-22T00:00:00,Later
1,47000,2023-08-23T00:00:00,Later
1,46456,2022-12-23T00:00:00,Later
1,46325,2022-12-09T00:00:00,Later
1,47000,2024-02-29T00:00:00,Later
1,47000,2024-01-04T00:00:00,Later
1,46194,2022-11-25T00:00:00,Later
1,47000,2024-02-15T00:00:00,Later
1,47356,2023-05-16T00:00:00,Later
1,47108,2023-03-03T00:00:00,Later
1,44498,2022-05-27T00:00:00,Later
1,47000,2023-10-04T00:00:00,Later
1,44367,2022-05-13T00:00:00,Later
1,47372,2023-05-26T00:00:00,Later
1,47409,2023-06-10T00:00:00,Later
1,44628,2022-06-10T00:00:00,Later
3,55969,2023-12-13T00:00:00,Later
3,55215,2023-09-06T00:00:00,Later
3,54759,2022-11-12T00:00:00,Later
3,55000,2023-08-08T00:00:00,Later
3,55313,2023-01-11T00:00:00,Later
3,55000,2023-06-27T00:00:00,Later
3,55562,2023-02-22T00:00:00,Later
3,56000,2024-03-14T00:00:00,Later
3,56000,2024-03-18T00:00:00,Later
3,55000,2023-07-11T00:00:00,Later
3,55406,2023-01-25T00:00:00,Later
3,55743,2023-05-02T00:00:00,Later
3,51874,2022-08-19T00:00:00,Later
3,52728,2022-09-16T00:00:00,Later
3,55646,2023-11-01T00:00:00,Later
3,56000,2024-02-15T00:00:00,Later
3,51413,2022-08-04T00:00:00,Later
3,55538,2023-10-18T00:00:00,Later
3,56000,2024-01-18T00:00:00,Later
3,56000,2024-02-01T00:00:00,Later
3,55979,2023-06-10T00:00:00,Later
3,54280,2022-10-16T00:00:00,Later
3,54280,2022-10-29T00:00:00,Later
3,55665,2023-04-11T00:00:00,Later
3,55608,2023-03-22T00:00:00,Later
3,55598,2023-03-08T00:00:00,Later
3,55820,2023-05-16T00:00:00,Later
3,55120,2022-12-10T00:00:00,Later
3,52911,2022-09-22T00:00:00,Later
3,56000,2024-01-04T00:00:00,Later
3,55184,2022-12-24T00:00:00,Later
3,56000,2024-04-10T00:00:00,Later
3,52301,2022-09-02T00:00:00,Later
3,55754,2023-11-15T00:00:00,Later
3,55506,2023-02-08T00:00:00,Later
3,55431,2023-10-04T00:00:00,Later
3,56000,2024-02-29T00:00:00,Later
3,55108,2023-08-23T00:00:00,Later
3,55876,2023-05-26T00:00:00,Later
3,55323,2023-09-20T00:00:00,Later
3,55862,2023-11-29T00:00:00,Later
3,55665,2023-04-18T00:00:00,Later
3,53508,2022-10-07T00:00:00,Later
3,56000,2023-12-17T00:00:00,Later
3,55000,2023-08-09T00:00:00,Later
3,54980,2022-11-26T00:00:00,Later
3,55000,2023-07-25T00:00:00,Later
4,30195,2022-10-16T00:00:00,Later
4,29442,2022-10-07T00:00:00,Later
4,36324,2023-03-20T00:00:00,Later
4,47409,2024-01-28T00:00:00,Later
4,46009,2023-12-20T00:00:00,Later
4,37509,2023-04-18T00:00:00,Later
4,40476,2023-06-15T00:00:00,Later
4,34268,2023-01-29T00:00:00,Later
4,43403,2023-09-13T00:00:00,Later
4,36324,2023-03-19T00:00:00,Later
4,49603,2024-03-27T00:00:00,Later
4,44258,2023-10-22T00:00:00,Later
4,34772,2023-02-08T00:00:00,Later
4,42699,2023-08-11T00:00:00,Later
4,41831,2023-07-19T00:00:00,Later
4,48845,2024-03-07T00:00:00,Later
4,37212,2023-04-08T00:00:00,Later
4,31213,2022-12-08T00:00:00,Later
4,31510,2022-12-24T00:00:00,Later
4,42973,2023-08-24T00:00:00,Later
4,37212,2023-04-09T00:00:00,Later
4,42973,2023-08-25T00:00:00,Later
4,43676,2023-10-31T00:00:00,Later
4,46574,2024-01-08T00:00:00,Later
4,37212,2023-04-07T00:00:00,Later
4,30969,2022-11-26T00:00:00,Later
4,24417,2022-05-21T00:00:00,Later
4,31742,2023-01-05T00:00:00,Later
4,36722,2023-03-28T00:00:00,Later
4,41393,2023-07-08T00:00:00,Later
4,37212,2023-04-13T00:00:00,Later
4,30654,2022-11-12T00:00:00,Later
4,37509,2023-04-17T00:00:00,Later
4,39573,2023-05-31T00:00:00,Later
4,48314,2024-02-18T00:00:00,Later
4,40971,2023-06-29T00:00:00,Later
4,44855,2023-11-24T00:00:00,Later
4,49247,2024-03-19T00:00:00,Later
4,33491,2023-01-19T00:00:00,Later
4,42973,2023-08-26T00:00:00,Later
4,30195,2022-10-29T00:00:00,Later
4,37509,2023-04-16T00:00:00,Later
4,45463,2023-12-03T00:00:00,Later
4,46290,2023-12-30T00:00:00,Later
4,33491,2023-01-18T00:00:00,Later
4,43764,2023-10-01T00:00:00,Later
4,42699,2023-08-12T00:00:00,Later
4,28946,2022-09-22T00:00:00,Later
4,41393,2023-07-09T00:00:00,Later
4,39573,2023-05-30T00:00:00,Later
4,25545,2022-06-15T00:00:00,Later
4,44271,2023-11-13T00:00:00,Later
4,44271,2023-11-12T00:00:00,Later
4,43403,2023-09-14T00:00:00,Later
4,42429,2023-08-03T00:00:00,Later
4,47409,2024-01-29T00:00:00,Later
4,49973,2024-04-12T00:00:00,Later
4,47968,2024-02-08T00:00:00,Later
4,35514,2023-02-24T00:00:00,Later
4,37509,2023-04-19T00:00:00,Later
4,36324,2023-03-18T00:00:00,Later
4,40476,2023-06-16T00:00:00,Later
4,45814,2023-12-12T00:00:00,Later
4,27223,2022-08-19T00:00:00,Later
4,26179,2022-07-03T00:00:00,Later
4,27932,2022-09-02T00:00:00,Later
4,41831,2023-07-20T00:00:00,Later
4,28642,2022-09-16T00:00:00,Later
4,27223,2022-08-04T00:00:00,Later
4,36324,2023-03-17T00:00:00,Later
4,49749,2024-04-04T00:00:00,Later
4,38145,2023-05-02T00:00:00,Later
4,26179,2022-07-17T00:00:00,Later
4,24417,2022-05-07T00:00:00,Later
4,43764,2023-09-30T00:00:00,Later
4,38145,2023-05-04T00:00:00,Later
4,40971,2023-06-28T00:00:00,Later
4,35120,2023-02-16T00:00:00,Later
4,35937,2023-03-07T00:00:00,Later
5,520222,2024-03-18T00:00:00,Later
5,467777,2023-02-25T00:00:00,Later
5,462071,2023-01-14T00:00:00,Later
5,498211,2023-10-07T00:00:00,Later
5,452560,2022-11-05T00:00:00,Later
5,509624,2023-12-30T00:00:00,Later
5,484896,2023-07-01T00:00:00,Later
5,429734,2022-05-21T00:00:00,Later
5,477288,2023-05-06T00:00:00,Later
5,505820,2023-12-02T00:00:00,Later
5,479190,2023-05-20T00:00:00,Later
5,473484,2023-04-08T00:00:00,Later
5,458266,2022-12-17T00:00:00,Later
5,519023,2024-04-10T00:00:00,Later
5,456364,2022-12-03T00:00:00,Later
5,433538,2022-06-18T00:00:00,Later
5,437343,2022-07-16T00:00:00,Later
5,427832,2022-05-07T00:00:00,Later
5,517233,2024-02-24T00:00:00,Later
5,496309,2023-09-23T00:00:00,Later
5,488701,2023-07-29T00:00:00,Later
5,454462,2022-11-19T00:00:00,Later
5,460169,2022-12-31T00:00:00,Later
5,471581,2023-03-25T00:00:00,Later
5,503918,2023-11-18T00:00:00,Later
5,469679,2023-03-11T00:00:00,Later
5,435441,2022-07-02T00:00:00,Later
5,431636,2022-06-04T00:00:00,Later
5,490603,2023-08-12T00:00:00,Later
5,450658,2022-10-22T00:00:00,Later
5,444951,2022-09-10T00:00:00,Later
5,494407,2023-09-09T00:00:00,Later
5,443049,2022-08-27T00:00:00,Later
5,513429,2024-01-27T00:00:00,Later
5,446853,2022-09-24T00:00:00,Later
5,507722,2023-12-16T00:00:00,Later
5,502016,2023-11-04T00:00:00,Later
5,500114,2023-10-21T00:00:00,Later
5,481092,2023-06-03T00:00:00,Later
5,463973,2023-01-28T00:00:00,Later
5,515331,2024-02-10T00:00:00,Later
5,441147,2022-08-13T00:00:00,Later
5,448756,2022-10-08T00:00:00,Later
5,519135,2024-03-09T00:00:00,Later
5,482994,2023-06-17T00:00:00,Later
5,439245,2022-07-30T00:00:00,Later
5,486799,2023-07-15T00:00:00,Later
5,465875,2023-02-11T00:00:00,Later
5,511526,2024-01-13T00:00:00,Later
5,492505,2023-08-26T00:00:00,Later
5,475386,2023-04-22T00:00:00,Later
6,26500,2023-01-11T00:00:00,Later
6,30900,2023-08-09T00:00:00,Later
6,32031,2023-11-15T00:00:00,Later
6,22971,2022-09-16T00:00:00,Later
6,28600,2023-04-18T00:00:00,Later
6,31223,2023-09-06T00:00:00,Later
6,31062,2023-08-23T00:00:00,Later
6,19925,2022-06-29T00:00:00,Later
6,29500,2023-06-10T00:00:00,Later
6,29313,2023-05-30T00:00:00,Later
6,26200,2022-12-24T00:00:00,Later
6,24400,2022-10-29T00:00:00,Later
6,22435,2022-09-02T00:00:00,Later
6,27300,2023-02-08T00:00:00,Later
6,32400,2023-12-17T00:00:00,Later
6,23200,2022-09-22T00:00:00,Later
6,29075,2023-05-16T00:00:00,Later
6,25600,2022-12-10T00:00:00,Later
6,32192,2023-11-29T00:00:00,Later
6,29500,2023-06-27T00:00:00,Later
6,23700,2022-10-07T00:00:00,Later
6,31385,2023-09-20T00:00:00,Later
6,31546,2023-10-04T00:00:00,Later
6,19400,2022-06-15T00:00:00,Later
6,28200,2023-03-22T00:00:00,Later
6,24800,2022-11-12T00:00:00,Later
6,27700,2023-02-22T00:00:00,Later
6,20600,2022-07-17T00:00:00,Later
6,21900,2022-08-19T00:00:00,Later
6,20450,2022-07-13T00:00:00,Later
6,31869,2023-11-01T00:00:00,Later
6,28600,2023-04-11T00:00:00,Later
6,24400,2022-10-16T00:00:00,Later
6,26900,2023-01-25T00:00:00,Later
6,30867,2023-08-08T00:00:00,Later
6,28000,2023-03-08T00:00:00,Later
6,19400,2022-05-21T00:00:00,Later
6,31708,2023-10-18T00:00:00,Later
6,28838,2023-05-02T00:00:00,Later
6,19200,2022-05-07T00:00:00,Later
6,29956,2023-07-11T00:00:00,Later
6,30412,2023-07-25T00:00:00,Later
6,25200,2022-11-26T00:00:00,Later
6,21400,2022-08-04T00:00:00,Later
6,32354,2023-12-13T00:00:00,Later
7,1300000,2024-01-04T06:44:32,Later
7,1300000,2022-12-14T08:03:47,Later
7,1300000,2023-08-09T13:02:39,Later
7,1300000,2024-04-10T03:10:40,Later
7,1300000,2022-09-22T05:43:35,Later
7,1300000,2022-07-17T08:00:37,Later
7,1300000,2022-08-04T06:33:35,Later
7,1300000,2022-10-16T07:30:19,Later
7,1300000,2024-03-18T08:55:29,Later
7,1300000,2022-05-21T05:32:36,Later
7,1300000,2022-05-07T14:50:42,Later
7,1300000,2022-08-19T05:30:54,Later
7,1300000,2023-12-17T21:22:15,Later
7,1300000,2022-07-03T07:35:39,Later
7,1300000,2022-10-07T19:38:00,Later
7,1300000,2023-06-27T07:17:32,Later
7,1300000,2022-10-29T06:29:47,Later
7,1300000,2022-06-15T07:23:44,Later
8,2517620,2023-10-26T00:00:00,Later
8,2704813,2024-03-21T00:00:00,Later
8,2808201,2023-12-19T00:00:00,Later
8,2665503,2024-01-23T00:00:00,Later
8,2683860,2023-12-03T00:00:00,Later
8,2683860,2023-11-18T00:00:00,Later
8,2665503,2024-01-22T00:00:00,Later
8,2517620,2023-11-02T00:00:00,Later
8,2729959,2023-10-09T00:00:00,Later
8,2870857,2024-03-01T00:00:00,Later
8,2728510,2024-04-11T00:00:00,Later
8,2665503,2024-01-21T00:00:00,Later
