metric,metric_value,timestamp,company_name
1,137,2024-04-10T00:00:00,Mashgin
1,134,2024-03-08T00:00:00,Mashgin
1,134,2024-03-16T00:00:00,Mashgin
1,133,2024-02-09T00:00:00,Mashgin
1,133,2024-02-23T00:00:00,Mashgin
1,134,2024-03-18T00:00:00,Mashgin
3,152,2024-03-08T00:00:00,Mashgin
3,152,2024-03-16T00:00:00,Mashgin
3,152,2024-03-18T00:00:00,Mashgin
3,157,2024-04-10T00:00:00,Mashgin
3,151,2024-02-09T00:00:00,Mashgin
3,151,2024-02-23T00:00:00,Mashgin
4,3246,2023-08-19T00:00:00,Mashgin
4,3118,2023-07-15T00:00:00,Mashgin
4,3675,2023-12-29T00:00:00,Mashgin
4,2846,2023-04-05T00:00:00,Mashgin
4,2690,2023-02-15T00:00:00,Mashgin
4,4034,2024-03-27T00:00:00,Mashgin
4,3966,2024-03-12T00:00:00,Mashgin
4,3140,2023-07-24T00:00:00,Mashgin
4,3140,2023-07-25T00:00:00,Mashgin
4,3651,2023-12-20T00:00:00,Mashgin
4,2818,2023-03-25T00:00:00,Mashgin
4,3602,2023-12-04T00:00:00,Mashgin
4,2766,2023-03-12T00:00:00,Mashgin
4,3118,2023-07-14T00:00:00,Mashgin
4,3246,2023-08-20T00:00:00,Mashgin
4,2710,2023-02-23T00:00:00,Mashgin
4,4000,2024-03-19T00:00:00,Mashgin
4,3631,2023-12-12T00:00:00,Mashgin
4,2741,2023-03-04T00:00:00,Mashgin
4,3194,2023-08-07T00:00:00,Mashgin
4,3194,2023-08-08T00:00:00,Mashgin
4,2500,2022-12-07T00:00:00,Mashgin
4,3302,2023-09-03T00:00:00,Mashgin
4,3853,2024-02-15T00:00:00,Mashgin
4,2955,2023-05-05T00:00:00,Mashgin
4,2955,2023-05-07T00:00:00,Mashgin
4,2932,2023-05-02T00:00:00,Mashgin
4,2955,2023-05-08T00:00:00,Mashgin
4,3895,2024-02-23T00:00:00,Mashgin
4,2932,2023-04-29T00:00:00,Mashgin
4,3795,2024-02-01T00:00:00,Mashgin
4,3009,2023-06-02T00:00:00,Mashgin
4,2932,2023-04-27T00:00:00,Mashgin
4,3047,2023-06-19T00:00:00,Mashgin
4,3895,2024-02-24T00:00:00,Mashgin
4,2905,2023-04-20T00:00:00,Mashgin
4,3047,2023-06-20T00:00:00,Mashgin
4,3714,2024-01-19T00:00:00,Mashgin
4,3895,2024-02-25T00:00:00,Mashgin
4,3047,2023-06-21T00:00:00,Mashgin
4,2905,2023-04-25T00:00:00,Mashgin
4,3047,2023-06-22T00:00:00,Mashgin
4,3714,2024-01-18T00:00:00,Mashgin
4,2905,2023-04-23T00:00:00,Mashgin
4,3088,2023-07-02T00:00:00,Mashgin
4,2905,2023-04-21T00:00:00,Mashgin
4,3088,2023-07-03T00:00:00,Mashgin
4,3945,2024-03-04T00:00:00,Mashgin
4,3692,2024-01-07T00:00:00,Mashgin
4,2932,2023-04-26T00:00:00,Mashgin
4,2668,2023-02-07T00:00:00,Mashgin
4,2846,2023-04-04T00:00:00,Mashgin
4,2955,2023-05-06T00:00:00,Mashgin
4,3440,2023-10-03T00:00:00,Mashgin
4,2622,2023-01-18T00:00:00,Mashgin
4,3440,2023-10-04T00:00:00,Mashgin
4,3564,2023-11-15T00:00:00,Mashgin
4,3364,2023-09-18T00:00:00,Mashgin
4,2574,2023-01-05T00:00:00,Mashgin
4,3589,2023-11-25T00:00:00,Mashgin
4,4090,2024-04-04T00:00:00,Mashgin
4,3520,2023-10-23T00:00:00,Mashgin
4,2541,2022-12-24T00:00:00,Mashgin
4,4156,2024-04-12T00:00:00,Mashgin
4,3516,2023-11-01T00:00:00,Mashgin
4,3564,2023-11-14T00:00:00,Mashgin
4,2646,2023-01-29T00:00:00,Mashgin
5,312,2024-03-18T00:00:00,Mashgin
5,308,2024-02-09T00:00:00,Mashgin
5,311,2024-03-08T00:00:00,Mashgin
5,313,2024-04-10T00:00:00,Mashgin
5,309,2024-02-23T00:00:00,Mashgin
7,22195000,2022-12-14T08:28:18,Mashgin
7,84770000,2024-03-16T08:08:11,Mashgin
