metric,metric_value,timestamp,company_name
1,2600,2023-10-06T00:00:00,Moonpay
1,1400,2022-11-02T00:00:00,Moonpay
1,1882,2023-03-15T00:00:00,Moonpay
1,1400,2022-11-18T00:00:00,Moonpay
1,1331,2022-10-11T00:00:00,Moonpay
1,1500,2022-12-03T00:00:00,Moonpay
1,2004,2023-04-26T00:00:00,Moonpay
1,3400,2024-03-14T00:00:00,Moonpay
1,812,2022-05-18T00:00:00,Moonpay
1,2200,2023-07-04T00:00:00,Moonpay
1,1600,2022-12-31T00:00:00,Moonpay
1,1021,2022-07-13T00:00:00,Moonpay
1,3400,2024-04-08T00:00:00,Moonpay
1,2580,2023-09-28T00:00:00,Moonpay
1,969,2022-06-29T00:00:00,Moonpay
1,1800,2023-02-01T00:00:00,Moonpay
1,2300,2023-07-20T00:00:00,Moonpay
1,2756,2023-12-01T00:00:00,Moonpay
1,2540,2023-09-14T00:00:00,Moonpay
1,1700,2023-01-14T00:00:00,Moonpay
1,916,2022-06-15T00:00:00,Moonpay
1,2400,2023-08-03T00:00:00,Moonpay
1,3400,2024-03-18T00:00:00,Moonpay
1,1922,2023-03-29T00:00:00,Moonpay
1,1288,2022-09-27T00:00:00,Moonpay
1,1244,2022-09-13T00:00:00,Moonpay
1,864,2022-06-01T00:00:00,Moonpay
1,2500,2023-08-31T00:00:00,Moonpay
1,2794,2023-12-15T00:00:00,Moonpay
1,2678,2023-11-03T00:00:00,Moonpay
1,2915,2024-01-14T00:00:00,Moonpay
1,1200,2022-08-30T00:00:00,Moonpay
1,1178,2022-08-24T00:00:00,Moonpay
1,3375,2024-03-10T00:00:00,Moonpay
1,1125,2022-08-10T00:00:00,Moonpay
1,2639,2023-10-20T00:00:00,Moonpay
1,2800,2023-12-31T00:00:00,Moonpay
1,2045,2023-05-10T00:00:00,Moonpay
1,2085,2023-05-24T00:00:00,Moonpay
1,3030,2024-01-28T00:00:00,Moonpay
1,1841,2023-03-01T00:00:00,Moonpay
1,1073,2022-07-27T00:00:00,Moonpay
1,3145,2024-02-11T00:00:00,Moonpay
1,2100,2023-05-29T00:00:00,Moonpay
1,1500,2022-12-17T00:00:00,Moonpay
1,760,2022-05-04T00:00:00,Moonpay
1,1375,2022-10-25T00:00:00,Moonpay
1,1800,2023-02-15T00:00:00,Moonpay
1,2200,2023-06-14T00:00:00,Moonpay
1,2400,2023-08-17T00:00:00,Moonpay
1,2800,2023-12-18T00:00:00,Moonpay
1,3260,2024-02-25T00:00:00,Moonpay
1,1963,2023-04-12T00:00:00,Moonpay
1,2717,2023-11-17T00:00:00,Moonpay
3,1763,2022-10-11T00:00:00,Moonpay
3,4000,2023-08-31T00:00:00,Moonpay
3,2926,2023-04-12T00:00:00,Moonpay
3,4333,2023-11-17T00:00:00,Moonpay
3,4080,2023-09-28T00:00:00,Moonpay
3,2845,2023-03-29T00:00:00,Moonpay
3,1675,2022-09-27T00:00:00,Moonpay
3,1588,2022-09-13T00:00:00,Moonpay
3,4040,2023-09-14T00:00:00,Moonpay
3,2763,2023-03-15T00:00:00,Moonpay
3,2600,2023-02-15T00:00:00,Moonpay
3,4960,2024-02-25T00:00:00,Moonpay
3,4100,2023-10-06T00:00:00,Moonpay
3,4845,2024-02-11T00:00:00,Moonpay
3,2682,2023-03-01T00:00:00,Moonpay
3,4178,2023-10-20T00:00:00,Moonpay
3,1500,2022-08-30T00:00:00,Moonpay
3,2500,2023-02-01T00:00:00,Moonpay
3,1850,2022-10-25T00:00:00,Moonpay
3,4256,2023-11-03T00:00:00,Moonpay
3,5100,2024-03-14T00:00:00,Moonpay
3,2000,2022-11-18T00:00:00,Moonpay
3,4489,2023-12-15T00:00:00,Moonpay
3,3008,2023-04-26T00:00:00,Moonpay
3,5075,2024-03-10T00:00:00,Moonpay
3,3300,2023-06-14T00:00:00,Moonpay
3,4500,2023-12-18T00:00:00,Moonpay
3,3400,2023-07-04T00:00:00,Moonpay
3,2300,2022-12-31T00:00:00,Moonpay
3,3200,2023-05-29T00:00:00,Moonpay
3,2200,2022-12-17T00:00:00,Moonpay
3,3600,2023-07-20T00:00:00,Moonpay
3,4730,2024-01-28T00:00:00,Moonpay
3,3171,2023-05-24T00:00:00,Moonpay
3,4411,2023-12-01T00:00:00,Moonpay
3,3089,2023-05-10T00:00:00,Moonpay
3,3800,2023-08-17T00:00:00,Moonpay
3,2000,2022-12-03T00:00:00,Moonpay
3,1900,2022-11-02T00:00:00,Moonpay
3,4615,2024-01-14T00:00:00,Moonpay
3,2400,2023-01-14T00:00:00,Moonpay
3,5200,2024-04-08T00:00:00,Moonpay
3,3700,2023-08-03T00:00:00,Moonpay
3,4500,2023-12-31T00:00:00,Moonpay
3,5100,2024-03-18T00:00:00,Moonpay
4,38398,2024-01-02T00:00:00,Moonpay
4,36713,2023-11-04T00:00:00,Moonpay
4,38247,2023-12-25T00:00:00,Moonpay
4,36713,2023-11-06T00:00:00,Moonpay
4,30092,2023-02-15T00:00:00,Moonpay
4,27998,2022-12-03T00:00:00,Moonpay
4,38056,2023-12-16T00:00:00,Moonpay
4,28829,2022-12-24T00:00:00,Moonpay
4,27998,2022-12-07T00:00:00,Moonpay
4,36713,2023-11-08T00:00:00,Moonpay
4,36713,2023-11-07T00:00:00,Moonpay
4,26578,2022-10-25T00:00:00,Moonpay
4,40183,2024-02-18T00:00:00,Moonpay
4,26942,2022-11-02T00:00:00,Moonpay
4,29738,2023-01-29T00:00:00,Moonpay
4,25942,2022-10-11T00:00:00,Moonpay
4,37190,2023-11-19T00:00:00,Moonpay
4,25306,2022-09-27T00:00:00,Moonpay
4,27472,2022-11-18T00:00:00,Moonpay
4,37423,2023-11-28T00:00:00,Moonpay
4,39741,2024-02-09T00:00:00,Moonpay
4,37724,2023-12-07T00:00:00,Moonpay
4,29082,2023-01-05T00:00:00,Moonpay
4,24669,2022-09-13T00:00:00,Moonpay
4,29921,2023-02-07T00:00:00,Moonpay
4,39262,2024-01-30T00:00:00,Moonpay
4,39831,2024-02-10T00:00:00,Moonpay
4,29406,2023-01-18T00:00:00,Moonpay
4,37190,2023-11-18T00:00:00,Moonpay
4,40631,2024-02-28T00:00:00,Moonpay
4,24033,2022-08-30T00:00:00,Moonpay
4,34782,2023-08-08T00:00:00,Moonpay
4,8436,2022-06-06T00:00:00,Moonpay
4,30300,2023-02-23T00:00:00,Moonpay
4,31834,2023-04-19T00:00:00,Moonpay
4,34421,2023-07-25T00:00:00,Moonpay
4,41479,2024-03-23T00:00:00,Moonpay
4,34421,2023-07-24T00:00:00,Moonpay
4,31834,2023-04-20T00:00:00,Moonpay
4,34241,2023-07-13T00:00:00,Moonpay
4,12750,2022-05-23T00:00:00,Moonpay
4,41731,2024-03-31T00:00:00,Moonpay
4,32403,2023-05-06T00:00:00,Moonpay
4,33837,2023-06-30T00:00:00,Moonpay
4,33553,2023-06-18T00:00:00,Moonpay
4,32403,2023-05-07T00:00:00,Moonpay
4,41975,2024-04-08T00:00:00,Moonpay
4,33553,2023-06-17T00:00:00,Moonpay
4,32403,2023-05-09T00:00:00,Moonpay
4,17065,2022-05-09T00:00:00,Moonpay
4,33141,2023-06-02T00:00:00,Moonpay
4,32681,2023-05-16T00:00:00,Moonpay
4,42201,2024-04-16T00:00:00,Moonpay
4,32854,2023-05-23T00:00:00,Moonpay
4,32681,2023-05-17T00:00:00,Moonpay
4,32681,2023-05-22T00:00:00,Moonpay
4,32681,2023-05-21T00:00:00,Moonpay
4,14679,2022-04-27T00:00:00,Moonpay
4,31834,2023-04-17T00:00:00,Moonpay
4,34782,2023-08-09T00:00:00,Moonpay
4,38741,2024-01-14T00:00:00,Moonpay
4,35282,2023-09-25T00:00:00,Moonpay
4,30896,2023-03-16T00:00:00,Moonpay
4,467,2022-07-21T00:00:00,Moonpay
4,35282,2023-09-26T00:00:00,Moonpay
4,31280,2023-03-27T00:00:00,Moonpay
4,31834,2023-04-16T00:00:00,Moonpay
4,35904,2023-10-16T00:00:00,Moonpay
4,40898,2024-03-07T00:00:00,Moonpay
4,31611,2023-04-07T00:00:00,Moonpay
4,34884,2023-09-10T00:00:00,Moonpay
4,30614,2023-03-06T00:00:00,Moonpay
4,16963,2022-08-18T00:00:00,Moonpay
4,35169,2023-08-21T00:00:00,Moonpay
4,423,2022-07-03T00:00:00,Moonpay
4,41301,2024-03-15T00:00:00,Moonpay
4,36321,2023-10-26T00:00:00,Moonpay
4,4121,2022-06-20T00:00:00,Moonpay
4,35169,2023-08-22T00:00:00,Moonpay
4,8715,2022-08-04T00:00:00,Moonpay
4,31611,2023-04-13T00:00:00,Moonpay
5,50280,2024-04-08T00:00:00,Moonpay
5,50463,2024-03-18T00:00:00,Moonpay
6,103456,2023-05-24T00:00:00,Moonpay
6,103334,2023-05-10T00:00:00,Moonpay
6,102600,2023-02-15T00:00:00,Moonpay
6,102800,2023-10-06T00:00:00,Moonpay
6,102722,2023-03-01T00:00:00,Moonpay
6,103500,2023-05-29T00:00:00,Moonpay
6,99200,2022-12-17T00:00:00,Moonpay
6,103200,2023-08-17T00:00:00,Moonpay
6,102845,2023-03-15T00:00:00,Moonpay
6,103500,2023-06-14T00:00:00,Moonpay
6,102980,2023-09-14T00:00:00,Moonpay
6,103212,2023-04-26T00:00:00,Moonpay
6,102700,2023-02-01T00:00:00,Moonpay
6,102000,2022-12-31T00:00:00,Moonpay
6,103400,2023-07-04T00:00:00,Moonpay
6,102967,2023-03-29T00:00:00,Moonpay
6,103400,2023-07-20T00:00:00,Moonpay
6,103100,2023-08-31T00:00:00,Moonpay
6,103089,2023-04-12T00:00:00,Moonpay
6,102100,2023-01-14T00:00:00,Moonpay
6,102860,2023-09-28T00:00:00,Moonpay
6,103300,2023-08-03T00:00:00,Moonpay
6,57300,2022-04-27T00:00:00,Moonpay
6,67705,2022-08-04T00:00:00,Moonpay
6,70053,2022-09-13T00:00:00,Moonpay
6,70906,2022-09-27T00:00:00,Moonpay
6,71759,2022-10-11T00:00:00,Moonpay
6,61200,2022-05-09T00:00:00,Moonpay
6,73500,2022-11-18T00:00:00,Moonpay
6,62185,2022-05-23T00:00:00,Moonpay
6,72613,2022-10-25T00:00:00,Moonpay
6,68510,2022-08-18T00:00:00,Moonpay
6,73100,2022-11-02T00:00:00,Moonpay
6,66900,2022-07-21T00:00:00,Moonpay
6,65000,2022-07-03T00:00:00,Moonpay
6,64156,2022-06-20T00:00:00,Moonpay
6,87600,2022-12-03T00:00:00,Moonpay
6,69200,2022-08-30T00:00:00,Moonpay
6,63170,2022-06-06T00:00:00,Moonpay
7,649199932,2024-04-08T01:51:35,Moonpay
7,642000000,2022-11-02T07:58:30,Moonpay
7,647700000,2023-08-03T07:52:41,Moonpay
7,642000000,2022-04-27T09:01:29,Moonpay
7,647700000,2023-07-04T05:21:14,Moonpay
7,649199932,2023-12-18T00:46:28,Moonpay
7,642000000,2022-12-03T06:48:38,Moonpay
7,642000000,2022-12-17T07:19:04,Moonpay
7,642000000,2022-06-15T07:52:14,Moonpay
7,647700000,2023-08-31T14:16:15,Moonpay
7,649199932,2024-03-14T19:40:52,Moonpay
7,649199932,2024-03-18T08:53:59,Moonpay
7,647700000,2023-06-14T08:52:35,Moonpay
7,642000000,2023-02-01T08:42:49,Moonpay
7,647700000,2023-07-20T07:37:45,Moonpay
7,642000000,2022-07-03T13:34:51,Moonpay
7,649199932,2023-12-31T21:58:58,Moonpay
7,647700000,2023-02-15T07:45:45,Moonpay
7,642000000,2022-07-21T06:14:44,Moonpay
7,642000000,2022-05-30T10:13:24,Moonpay
7,642000000,2022-05-09T17:54:41,Moonpay
7,647700000,2023-08-17T07:33:21,Moonpay
7,642000000,2022-08-30T07:27:34,Moonpay
7,642000000,2022-11-18T06:54:12,Moonpay
8,3268593,2023-09-19T00:00:00,Moonpay
8,4903147,2024-02-27T00:00:00,Moonpay
8,3140362,2023-10-26T00:00:00,Moonpay
8,4903147,2024-02-26T00:00:00,Moonpay
8,5474977,2024-04-11T00:00:00,Moonpay
8,3424860,2024-01-04T00:00:00,Moonpay
8,4903147,2024-03-01T00:00:00,Moonpay
8,3268593,2023-09-18T00:00:00,Moonpay
8,4368059,2024-01-22T00:00:00,Moonpay
8,4368059,2024-01-21T00:00:00,Moonpay
8,3140362,2023-11-03T00:00:00,Moonpay
8,3424860,2023-12-19T00:00:00,Moonpay
8,4368059,2024-01-19T00:00:00,Moonpay
8,3293860,2023-12-03T00:00:00,Moonpay
8,4368059,2024-01-23T00:00:00,Moonpay
8,4903147,2024-02-11T00:00:00,Moonpay
8,4368059,2024-01-20T00:00:00,Moonpay
8,3140362,2023-10-08T00:00:00,Moonpay
8,4671876,2024-03-21T00:00:00,Moonpay
8,3424860,2024-01-03T00:00:00,Moonpay
8,3268593,2023-10-09T00:00:00,Moonpay
9,297,2023-09-26T02:36:38,Moonpay
9,245,2022-05-30T10:13:24,Moonpay
9,301,2023-06-18T02:25:35,Moonpay
9,289,2023-03-16T03:01:27,Moonpay
9,286,2024-03-31T08:28:58,Moonpay
9,275,2023-04-17T08:21:32,Moonpay
9,279,2024-02-10T03:08:41,Moonpay
9,275,2023-04-19T08:25:50,Moonpay
9,296,2023-07-24T04:54:17,Moonpay
9,291,2023-02-23T03:55:20,Moonpay
9,289,2023-10-26T04:36:40,Moonpay
9,297,2023-10-16T01:22:10,Moonpay
9,283,2022-08-30T07:27:34,Moonpay
9,301,2023-07-13T05:45:59,Moonpay
9,285,2023-11-04T02:55:16,Moonpay
9,294,2023-02-15T02:04:20,Moonpay
9,285,2023-11-08T03:16:31,Moonpay
9,290,2023-03-06T04:45:53,Moonpay
9,289,2024-03-23T05:46:04,Moonpay
9,275,2023-04-20T03:07:40,Moonpay
9,285,2023-11-06T02:59:35,Moonpay
9,276,2022-07-21T06:14:44,Moonpay
9,296,2023-07-25T03:46:26,Moonpay
9,305,2023-06-30T05:32:38,Moonpay
9,269,2023-05-06T19:49:40,Moonpay
9,285,2023-11-07T04:06:33,Moonpay
9,294,2023-02-07T04:31:40,Moonpay
9,282,2024-02-18T01:34:50,Moonpay
9,296,2023-01-29T06:42:58,Moonpay
9,278,2024-01-14T03:12:35,Moonpay
9,287,2024-03-07T01:36:03,Moonpay
9,288,2022-11-02T07:58:30,Moonpay
9,213,2022-04-27T09:01:29,Moonpay
9,272,2023-11-18T05:24:56,Moonpay
9,294,2022-12-24T01:52:39,Moonpay
9,288,2024-03-15T09:31:00,Moonpay
9,275,2023-12-16T03:07:41,Moonpay
9,291,2023-05-16T23:56:13,Moonpay
9,292,2022-11-18T06:54:12,Moonpay
9,282,2023-04-07T20:51:44,Moonpay
9,292,2023-05-23T03:26:42,Moonpay
9,269,2023-05-09T11:40:39,Moonpay
9,302,2023-09-10T01:42:34,Moonpay
9,273,2023-12-25T02:33:52,Moonpay
9,282,2023-04-13T09:10:30,Moonpay
9,291,2023-05-22T19:15:41,Moonpay
9,293,2023-08-21T02:12:25,Moonpay
9,291,2023-05-17T15:37:12,Moonpay
9,295,2022-12-07T17:04:43,Moonpay
9,291,2023-05-21T10:10:13,Moonpay
9,293,2023-08-22T03:00:21,Moonpay
9,273,2024-01-02T02:55:57,Moonpay
9,295,2022-12-03T06:48:38,Moonpay
9,286,2024-04-16T09:50:04,Moonpay
9,245,2022-07-03T13:34:51,Moonpay
9,295,2023-01-18T05:11:11,Moonpay
9,236,2022-05-09T17:54:41,Moonpay
9,297,2023-09-25T04:13:41,Moonpay
9,295,2023-08-08T02:50:42,Moonpay
9,288,2023-03-27T08:15:01,Moonpay
9,275,2023-04-16T07:35:55,Moonpay
9,245,2022-06-15T07:52:14,Moonpay
