metric,metric_value,timestamp,company_name
4,7200,2024-01-06T00:00:00,National-Research-Group
4,6440,2023-07-01T00:00:00,National-Research-Group
4,5219,2022-08-17T00:00:00,National-Research-Group
4,5827,2022-12-24T00:00:00,National-Research-Group
4,6152,2023-03-24T00:00:00,National-Research-Group
4,8380,2024-02-21T00:00:00,National-Research-Group
4,6631,2023-08-20T00:00:00,National-Research-Group
4,6893,2023-11-30T00:00:00,National-Research-Group
4,6440,2023-06-30T00:00:00,National-Research-Group
4,5122,2022-08-03T00:00:00,National-Research-Group
4,6893,2023-12-01T00:00:00,National-Research-Group
4,5859,2023-01-05T00:00:00,National-Research-Group
4,6856,2023-11-20T00:00:00,National-Research-Group
4,6631,2023-08-21T00:00:00,National-Research-Group
4,6104,2023-03-11T00:00:00,National-Research-Group
4,5939,2023-01-18T00:00:00,National-Research-Group
4,4867,2022-07-18T00:00:00,National-Research-Group
4,9234,2024-03-08T00:00:00,National-Research-Group
4,6392,2023-06-17T00:00:00,National-Research-Group
4,6264,2023-05-04T00:00:00,National-Research-Group
4,6812,2023-11-10T00:00:00,National-Research-Group
4,8872,2024-02-29T00:00:00,National-Research-Group
4,8380,2024-02-20T00:00:00,National-Research-Group
4,6197,2023-04-19T00:00:00,National-Research-Group
4,5764,2022-12-07T00:00:00,National-Research-Group
4,7313,2024-01-16T00:00:00,National-Research-Group
4,5559,2022-10-16T00:00:00,National-Research-Group
4,5559,2022-10-28T00:00:00,National-Research-Group
4,6507,2023-07-22T00:00:00,National-Research-Group
4,6507,2023-07-23T00:00:00,National-Research-Group
4,6163,2023-04-02T00:00:00,National-Research-Group
4,5469,2022-10-07T00:00:00,National-Research-Group
4,7106,2023-12-29T00:00:00,National-Research-Group
4,5649,2022-11-11T00:00:00,National-Research-Group
4,7691,2024-01-30T00:00:00,National-Research-Group
4,6197,2023-04-18T00:00:00,National-Research-Group
4,6575,2023-08-07T00:00:00,National-Research-Group
4,6470,2023-07-12T00:00:00,National-Research-Group
4,5411,2022-09-22T00:00:00,National-Research-Group
4,7037,2023-12-19T00:00:00,National-Research-Group
4,5706,2022-11-25T00:00:00,National-Research-Group
4,8080,2024-02-12T00:00:00,National-Research-Group
4,6163,2023-04-01T00:00:00,National-Research-Group
4,6575,2023-08-08T00:00:00,National-Research-Group
4,5309,2022-08-31T00:00:00,National-Research-Group
4,6943,2023-12-09T00:00:00,National-Research-Group
4,5978,2023-01-28T00:00:00,National-Research-Group
4,9470,2024-03-16T00:00:00,National-Research-Group
4,6264,2023-05-02T00:00:00,National-Research-Group
4,6197,2023-04-17T00:00:00,National-Research-Group
4,6011,2023-02-05T00:00:00,National-Research-Group
4,6757,2023-09-26T00:00:00,National-Research-Group
4,6757,2023-09-28T00:00:00,National-Research-Group
4,6078,2023-03-02T00:00:00,National-Research-Group
4,6339,2023-06-01T00:00:00,National-Research-Group
4,6057,2023-02-21T00:00:00,National-Research-Group
4,4560,2022-05-07T00:00:00,National-Research-Group
4,6832,2023-10-19T00:00:00,National-Research-Group
4,6832,2023-10-20T00:00:00,National-Research-Group
4,4769,2022-06-15T00:00:00,National-Research-Group
4,6392,2023-06-16T00:00:00,National-Research-Group
4,10067,2024-04-09T00:00:00,National-Research-Group
4,9689,2024-03-24T00:00:00,National-Research-Group
4,6339,2023-05-30T00:00:00,National-Research-Group
4,9926,2024-04-01T00:00:00,National-Research-Group
4,6706,2023-09-11T00:00:00,National-Research-Group
4,6706,2023-09-10T00:00:00,National-Research-Group
4,6078,2023-03-03T00:00:00,National-Research-Group
4,6875,2023-10-29T00:00:00,National-Research-Group
4,6757,2023-09-27T00:00:00,National-Research-Group
4,6392,2023-06-15T00:00:00,National-Research-Group
4,10157,2024-04-17T00:00:00,National-Research-Group
4,4867,2022-07-03T00:00:00,National-Research-Group
4,6339,2023-05-31T00:00:00,National-Research-Group
4,4648,2022-05-21T00:00:00,National-Research-Group
4,5978,2023-01-29T00:00:00,National-Research-Group
4,6078,2023-03-01T00:00:00,National-Research-Group
4,6032,2023-02-13T00:00:00,National-Research-Group
8,93374,2024-01-23T00:00:00,National-Research-Group
8,114034,2024-02-19T00:00:00,National-Research-Group
8,120010,2023-12-02T00:00:00,National-Research-Group
8,61929,2023-09-19T00:00:00,National-Research-Group
8,93374,2024-01-20T00:00:00,National-Research-Group
8,93374,2024-01-21T00:00:00,National-Research-Group
8,134552,2023-10-10T00:00:00,National-Research-Group
8,93374,2024-01-19T00:00:00,National-Research-Group
8,120010,2023-11-20T00:00:00,National-Research-Group
8,61929,2023-09-18T00:00:00,National-Research-Group
8,124137,2024-01-02T00:00:00,National-Research-Group
8,124137,2023-12-18T00:00:00,National-Research-Group
8,134552,2023-10-26T00:00:00,National-Research-Group
8,93374,2024-02-03T00:00:00,National-Research-Group
8,134552,2023-11-03T00:00:00,National-Research-Group
8,93374,2024-01-22T00:00:00,National-Research-Group
8,61929,2023-10-08T00:00:00,National-Research-Group
9,277,2023-02-13T04:25:34,National-Research-Group
9,241,2023-09-27T04:31:27,National-Research-Group
9,234,2023-12-19T08:12:58,National-Research-Group
9,280,2022-10-28T05:59:50,National-Research-Group
9,260,2023-07-23T03:55:47,National-Research-Group
9,233,2023-12-29T03:09:10,National-Research-Group
9,275,2023-02-21T02:20:02,National-Research-Group
9,269,2023-04-02T01:55:24,National-Research-Group
9,241,2023-09-26T04:31:01,National-Research-Group
9,281,2022-11-11T05:33:57,National-Research-Group
9,268,2023-04-01T01:29:07,National-Research-Group
9,241,2023-10-29T01:45:55,National-Research-Group
9,241,2023-09-28T02:50:49,National-Research-Group
9,275,2023-03-03T02:10:42,National-Research-Group
9,280,2023-01-18T05:38:43,National-Research-Group
9,251,2023-08-21T04:06:56,National-Research-Group
9,243,2023-09-10T04:09:17,National-Research-Group
9,276,2023-01-28T12:59:29,National-Research-Group
9,242,2023-11-10T01:11:38,National-Research-Group
9,283,2023-01-05T02:02:41,National-Research-Group
9,239,2023-10-20T03:45:20,National-Research-Group
9,280,2022-10-16T07:28:18,National-Research-Group
9,271,2023-03-11T02:27:36,National-Research-Group
9,239,2023-10-19T05:08:19,National-Research-Group
9,288,2022-12-24T02:10:38,National-Research-Group
9,239,2023-11-20T02:01:25,National-Research-Group
9,276,2023-01-29T01:07:29,National-Research-Group
9,251,2023-08-20T03:24:06,National-Research-Group
9,275,2023-03-02T02:04:12,National-Research-Group
9,237,2023-11-30T02:58:48,National-Research-Group
9,253,2023-08-08T05:53:33,National-Research-Group
9,277,2023-02-05T02:00:24,National-Research-Group
9,268,2023-03-24T04:13:13,National-Research-Group
9,275,2023-03-01T02:45:38,National-Research-Group
9,237,2023-12-01T03:20:21,National-Research-Group
9,237,2023-12-09T05:00:23,National-Research-Group
9,282,2022-11-25T08:02:49,National-Research-Group
9,243,2023-09-11T04:50:51,National-Research-Group
9,253,2023-08-07T08:25:16,National-Research-Group
