metric,metric_value,timestamp,company_name
1,24,2023-10-14T00:00:00,OXIO
1,23,2023-01-18T00:00:00,OXIO
1,24,2023-06-23T00:00:00,OXIO
1,22,2022-11-09T00:00:00,OXIO
1,22,2022-10-07T00:00:00,OXIO
1,17,2022-05-19T00:00:00,OXIO
1,24,2023-12-17T00:00:00,OXIO
1,24,2023-12-09T00:00:00,OXIO
1,20,2022-07-30T00:00:00,OXIO
1,24,2023-06-07T00:00:00,OXIO
1,19,2022-07-14T00:00:00,OXIO
1,23,2023-02-01T00:00:00,OXIO
1,24,2023-05-24T00:00:00,OXIO
1,24,2024-03-02T00:00:00,OXIO
1,21,2022-09-19T00:00:00,OXIO
1,24,2023-03-15T00:00:00,OXIO
1,24,2023-07-26T00:00:00,OXIO
1,23,2023-02-15T00:00:00,OXIO
1,24,2023-05-15T00:00:00,OXIO
1,24,2023-11-25T00:00:00,OXIO
1,18,2022-06-02T00:00:00,OXIO
1,24,2023-11-11T00:00:00,OXIO
1,24,2023-03-01T00:00:00,OXIO
1,24,2023-09-21T00:00:00,OXIO
1,24,2023-09-29T00:00:00,OXIO
1,24,2023-09-07T00:00:00,OXIO
1,20,2022-07-28T00:00:00,OXIO
1,18,2022-06-16T00:00:00,OXIO
1,24,2024-04-09T00:00:00,OXIO
1,24,2023-04-09T00:00:00,OXIO
1,24,2024-02-17T00:00:00,OXIO
1,24,2024-02-03T00:00:00,OXIO
1,22,2022-11-23T00:00:00,OXIO
1,22,2022-10-26T00:00:00,OXIO
1,24,2023-08-09T00:00:00,OXIO
1,24,2024-03-15T00:00:00,OXIO
1,23,2022-12-07T00:00:00,OXIO
1,24,2023-07-11T00:00:00,OXIO
1,24,2023-04-17T00:00:00,OXIO
1,24,2023-12-31T00:00:00,OXIO
1,24,2024-01-28T00:00:00,OXIO
1,21,2022-08-27T00:00:00,OXIO
1,17,2022-05-05T00:00:00,OXIO
1,23,2022-12-21T00:00:00,OXIO
1,24,2023-10-28T00:00:00,OXIO
1,22,2022-10-16T00:00:00,OXIO
1,23,2023-01-04T00:00:00,OXIO
1,24,2023-05-01T00:00:00,OXIO
1,24,2024-01-14T00:00:00,OXIO
1,19,2022-06-30T00:00:00,OXIO
1,24,2023-08-24T00:00:00,OXIO
1,24,2023-03-29T00:00:00,OXIO
3,28,2023-03-15T00:00:00,OXIO
