metric,metric_value,timestamp,company_name
1,13,2022-04-30T00:00:00,Opaque-Systems
1,27,2023-11-18T00:00:00,Opaque-Systems
1,17,2022-10-07T00:00:00,Opaque-Systems
1,16,2022-09-29T00:00:00,Opaque-Systems
1,23,2023-04-17T00:00:00,Opaque-Systems
1,15,2022-09-15T00:00:00,Opaque-Systems
1,26,2023-11-04T00:00:00,Opaque-Systems
1,29,2024-03-23T00:00:00,Opaque-Systems
1,13,2022-09-01T00:00:00,Opaque-Systems
1,23,2023-05-01T00:00:00,Opaque-Systems
1,26,2023-10-21T00:00:00,Opaque-Systems
1,13,2022-08-18T00:00:00,Opaque-Systems
1,25,2023-10-07T00:00:00,Opaque-Systems
1,23,2023-05-15T00:00:00,Opaque-Systems
1,23,2023-05-26T00:00:00,Opaque-Systems
1,25,2023-10-04T00:00:00,Opaque-Systems
1,23,2023-04-12T00:00:00,Opaque-Systems
1,17,2022-10-16T00:00:00,Opaque-Systems
1,27,2023-12-02T00:00:00,Opaque-Systems
1,17,2022-10-29T00:00:00,Opaque-Systems
1,28,2024-01-30T00:00:00,Opaque-Systems
1,22,2022-12-24T00:00:00,Opaque-Systems
1,21,2022-12-10T00:00:00,Opaque-Systems
1,22,2023-01-25T00:00:00,Opaque-Systems
1,28,2024-02-13T00:00:00,Opaque-Systems
1,28,2024-01-16T00:00:00,Opaque-Systems
1,22,2023-02-08T00:00:00,Opaque-Systems
1,13,2022-08-03T00:00:00,Opaque-Systems
1,28,2024-01-02T00:00:00,Opaque-Systems
1,22,2023-02-22T00:00:00,Opaque-Systems
1,28,2024-02-20T00:00:00,Opaque-Systems
1,28,2023-12-17T00:00:00,Opaque-Systems
1,22,2023-03-08T00:00:00,Opaque-Systems
1,28,2023-12-16T00:00:00,Opaque-Systems
1,22,2023-03-22T00:00:00,Opaque-Systems
1,28,2024-03-06T00:00:00,Opaque-Systems
1,21,2022-11-26T00:00:00,Opaque-Systems
1,13,2022-07-23T00:00:00,Opaque-Systems
1,22,2023-01-11T00:00:00,Opaque-Systems
1,24,2023-07-12T00:00:00,Opaque-Systems
1,25,2023-08-09T00:00:00,Opaque-Systems
1,13,2022-06-25T00:00:00,Opaque-Systems
1,24,2023-06-28T00:00:00,Opaque-Systems
1,25,2023-09-06T00:00:00,Opaque-Systems
1,13,2022-05-14T00:00:00,Opaque-Systems
1,29,2024-04-02T00:00:00,Opaque-Systems
1,25,2023-09-20T00:00:00,Opaque-Systems
1,13,2022-06-11T00:00:00,Opaque-Systems
1,13,2022-05-28T00:00:00,Opaque-Systems
1,25,2023-08-23T00:00:00,Opaque-Systems
1,25,2023-07-26T00:00:00,Opaque-Systems
1,23,2023-06-10T00:00:00,Opaque-Systems
1,13,2022-07-09T00:00:00,Opaque-Systems
3,32,2023-12-17T00:00:00,Opaque-Systems
3,25,2023-03-08T00:00:00,Opaque-Systems
3,29,2023-07-12T00:00:00,Opaque-Systems
3,30,2023-08-09T00:00:00,Opaque-Systems
3,17,2022-10-07T00:00:00,Opaque-Systems
3,25,2023-02-08T00:00:00,Opaque-Systems
3,31,2023-11-18T00:00:00,Opaque-Systems
3,20,2022-11-04T00:00:00,Opaque-Systems
3,32,2024-01-02T00:00:00,Opaque-Systems
3,25,2023-03-22T00:00:00,Opaque-Systems
3,30,2023-09-06T00:00:00,Opaque-Systems
3,32,2024-02-20T00:00:00,Opaque-Systems
3,25,2023-02-22T00:00:00,Opaque-Systems
3,24,2023-01-11T00:00:00,Opaque-Systems
3,32,2024-03-06T00:00:00,Opaque-Systems
3,19,2022-10-21T00:00:00,Opaque-Systems
3,22,2022-11-18T00:00:00,Opaque-Systems
3,30,2023-08-23T00:00:00,Opaque-Systems
3,23,2022-11-26T00:00:00,Opaque-Systems
3,26,2023-04-12T00:00:00,Opaque-Systems
3,32,2023-12-16T00:00:00,Opaque-Systems
3,32,2023-12-02T00:00:00,Opaque-Systems
3,23,2022-12-10T00:00:00,Opaque-Systems
3,30,2023-10-04T00:00:00,Opaque-Systems
3,28,2023-06-10T00:00:00,Opaque-Systems
3,15,2022-08-03T00:00:00,Opaque-Systems
3,28,2023-05-26T00:00:00,Opaque-Systems
3,27,2023-05-15T00:00:00,Opaque-Systems
3,30,2023-10-07T00:00:00,Opaque-Systems
