metric,metric_value,timestamp,company_name
3,7,2024-03-27T00:00:00,Orum
3,7,2024-04-09T00:00:00,Orum
4,14957,2023-08-02T00:00:00,Orum
4,10419,2022-10-25T00:00:00,Orum
4,16392,2023-12-03T00:00:00,Orum
4,14064,2023-06-07T00:00:00,Orum
4,13700,2023-05-07T00:00:00,Orum
4,16294,2023-11-24T00:00:00,Orum
4,12774,2023-03-06T00:00:00,Orum
4,17599,2024-02-29T00:00:00,Orum
4,7726,2022-06-30T00:00:00,Orum
4,17475,2024-02-21T00:00:00,Orum
4,10665,2022-11-08T00:00:00,Orum
4,16139,2023-11-13T00:00:00,Orum
4,14064,2023-06-08T00:00:00,Orum
4,17726,2024-03-08T00:00:00,Orum
4,16139,2023-11-12T00:00:00,Orum
4,13342,2023-04-09T00:00:00,Orum
4,14266,2023-06-22T00:00:00,Orum
4,13700,2023-05-05T00:00:00,Orum
4,11018,2022-11-22T00:00:00,Orum
4,12558,2023-02-22T00:00:00,Orum
4,17188,2024-01-30T00:00:00,Orum
4,13700,2023-05-06T00:00:00,Orum
4,14064,2023-06-06T00:00:00,Orum
4,13342,2023-04-08T00:00:00,Orum
4,13700,2023-05-09T00:00:00,Orum
4,9731,2022-09-18T00:00:00,Orum
4,13815,2023-05-20T00:00:00,Orum
4,16917,2024-01-16T00:00:00,Orum
4,9403,2022-08-25T00:00:00,Orum
4,13815,2023-05-21T00:00:00,Orum
4,8871,2022-08-11T00:00:00,Orum
4,8299,2022-07-28T00:00:00,Orum
4,16787,2024-01-06T00:00:00,Orum
4,13815,2023-05-16T00:00:00,Orum
4,17364,2024-02-12T00:00:00,Orum
4,16437,2023-10-31T00:00:00,Orum
4,10053,2022-10-03T00:00:00,Orum
4,16675,2023-12-28T00:00:00,Orum
4,13700,2023-05-10T00:00:00,Orum
4,17453,2024-02-20T00:00:00,Orum
4,13872,2023-05-23T00:00:00,Orum
4,16578,2023-12-19T00:00:00,Orum
4,10419,2022-10-14T00:00:00,Orum
4,14064,2023-06-05T00:00:00,Orum
4,16467,2023-12-11T00:00:00,Orum
4,7726,2022-07-14T00:00:00,Orum
4,12935,2023-03-16T00:00:00,Orum
4,13106,2023-03-26T00:00:00,Orum
4,14266,2023-06-23T00:00:00,Orum
4,7726,2022-06-15T00:00:00,Orum
4,14704,2023-07-15T00:00:00,Orum
4,15276,2023-08-28T00:00:00,Orum
4,11616,2023-01-04T00:00:00,Orum
4,15276,2023-08-27T00:00:00,Orum
4,14844,2023-07-26T00:00:00,Orum
4,12189,2023-01-29T00:00:00,Orum
4,15139,2023-08-15T00:00:00,Orum
4,14844,2023-07-27T00:00:00,Orum
4,18268,2024-04-09T00:00:00,Orum
4,13436,2023-04-16T00:00:00,Orum
4,13342,2023-04-13T00:00:00,Orum
4,4609,2022-04-27T00:00:00,Orum
4,11817,2023-01-16T00:00:00,Orum
4,15139,2023-08-14T00:00:00,Orum
4,14844,2023-07-31T00:00:00,Orum
4,14957,2023-08-04T00:00:00,Orum
4,12189,2023-01-28T00:00:00,Orum
4,14844,2023-08-01T00:00:00,Orum
4,18390,2024-04-17T00:00:00,Orum
4,13436,2023-04-15T00:00:00,Orum
4,11817,2023-01-17T00:00:00,Orum
4,14957,2023-08-03T00:00:00,Orum
4,16359,2023-10-22T00:00:00,Orum
4,4609,2022-05-04T00:00:00,Orum
4,13342,2023-04-07T00:00:00,Orum
4,12317,2023-02-06T00:00:00,Orum
4,15988,2023-10-02T00:00:00,Orum
4,15988,2023-10-01T00:00:00,Orum
4,11228,2022-12-07T00:00:00,Orum
4,6035,2022-05-18T00:00:00,Orum
4,18138,2024-04-01T00:00:00,Orum
4,14359,2023-07-03T00:00:00,Orum
4,17999,2024-03-24T00:00:00,Orum
4,12439,2023-02-14T00:00:00,Orum
4,15988,2023-09-30T00:00:00,Orum
4,14359,2023-07-02T00:00:00,Orum
4,13342,2023-04-10T00:00:00,Orum
4,14704,2023-07-14T00:00:00,Orum
4,11228,2022-12-06T00:00:00,Orum
4,11441,2022-12-23T00:00:00,Orum
4,15483,2023-09-14T00:00:00,Orum
4,13581,2023-04-27T00:00:00,Orum
4,17862,2024-03-16T00:00:00,Orum
4,13581,2023-05-02T00:00:00,Orum
6,95,2022-11-22T00:00:00,Orum
6,104,2023-01-21T00:00:00,Orum
6,82,2022-09-18T00:00:00,Orum
6,97,2022-12-06T00:00:00,Orum
6,103,2023-03-18T00:00:00,Orum
6,104,2023-01-07T00:00:00,Orum
6,103,2023-03-04T00:00:00,Orum
6,93,2022-11-08T00:00:00,Orum
6,103,2023-05-23T00:00:00,Orum
6,101,2022-12-20T00:00:00,Orum
6,106,2023-02-04T00:00:00,Orum
6,85,2022-10-25T00:00:00,Orum
6,85,2022-10-03T00:00:00,Orum
6,103,2023-02-18T00:00:00,Orum
6,85,2022-10-14T00:00:00,Orum
6,103,2023-04-17T00:00:00,Orum
6,60,2022-04-27T00:00:00,Orum
6,60,2022-05-04T00:00:00,Orum
6,71,2022-08-25T00:00:00,Orum
6,63,2022-05-18T00:00:00,Orum
6,68,2022-07-28T00:00:00,Orum
6,103,2023-05-03T00:00:00,Orum
6,67,2022-07-14T00:00:00,Orum
6,103,2023-04-07T00:00:00,Orum
6,63,2022-06-15T00:00:00,Orum
6,70,2022-08-11T00:00:00,Orum
7,29000000,2022-07-14T07:59:57,Orum
7,29000000,2023-07-22T09:12:00,Orum
7,51000000,2023-12-17T02:14:32,Orum
7,29000000,2022-06-30T06:17:28,Orum
7,51000000,2023-10-13T23:20:45,Orum
7,29000000,2023-04-17T18:59:47,Orum
7,29000000,2022-10-14T07:18:10,Orum
7,51000000,2024-03-27T23:44:37,Orum
7,51000000,2023-08-23T16:33:46,Orum
7,29000000,2022-12-14T06:21:28,Orum
