metric,metric_value,timestamp,company_name
1,16087,2022-08-03T00:00:00,Papa
1,18000,2023-10-08T00:00:00,Papa
1,16984,2022-12-30T00:00:00,Papa
1,18000,2023-12-07T00:00:00,Papa
1,16193,2022-08-19T00:00:00,Papa
1,18000,2024-01-04T00:00:00,Papa
1,18000,2023-08-13T00:00:00,Papa
1,18000,2024-02-17T00:00:00,Papa
1,18000,2023-09-24T00:00:00,Papa
1,16391,2022-09-23T00:00:00,Papa
1,17786,2023-03-30T00:00:00,Papa
1,18000,2024-02-03T00:00:00,Papa
1,17697,2023-02-28T00:00:00,Papa
1,18000,2023-06-28T00:00:00,Papa
1,18000,2024-04-01T00:00:00,Papa
1,18000,2023-06-10T00:00:00,Papa
1,16356,2022-09-16T00:00:00,Papa
1,18000,2023-11-09T00:00:00,Papa
1,16884,2022-12-16T00:00:00,Papa
1,18000,2023-09-10T00:00:00,Papa
1,18011,2023-05-02T00:00:00,Papa
1,16275,2022-09-02T00:00:00,Papa
1,18000,2024-02-01T00:00:00,Papa
1,18000,2023-12-21T00:00:00,Papa
1,18000,2023-08-27T00:00:00,Papa
1,16635,2022-10-29T00:00:00,Papa
1,17923,2023-04-13T00:00:00,Papa
1,17923,2023-04-18T00:00:00,Papa
1,17753,2023-03-16T00:00:00,Papa
1,18000,2024-03-18T00:00:00,Papa
1,18000,2023-07-15T00:00:00,Papa
1,17127,2023-01-13T00:00:00,Papa
1,18000,2024-03-02T00:00:00,Papa
1,17551,2023-02-14T00:00:00,Papa
1,16485,2022-10-07T00:00:00,Papa
1,18000,2023-07-29T00:00:00,Papa
1,18099,2023-05-16T00:00:00,Papa
1,18000,2024-03-16T00:00:00,Papa
1,18000,2023-10-26T00:00:00,Papa
1,18000,2024-03-17T00:00:00,Papa
1,18000,2023-11-23T00:00:00,Papa
1,16719,2022-11-12T00:00:00,Papa
1,16820,2022-12-02T00:00:00,Papa
1,16635,2022-10-16T00:00:00,Papa
1,18000,2024-01-18T00:00:00,Papa
1,18162,2023-05-26T00:00:00,Papa
1,18000,2024-04-14T00:00:00,Papa
1,16193,2022-08-18T00:00:00,Papa
1,17419,2023-01-31T00:00:00,Papa
3,17732,2022-08-18T00:00:00,Papa
3,20000,2024-02-01T00:00:00,Papa
3,19653,2023-05-02T00:00:00,Papa
3,20000,2024-03-17T00:00:00,Papa
3,20000,2023-08-27T00:00:00,Papa
3,20000,2024-02-03T00:00:00,Papa
3,18386,2022-12-02T00:00:00,Papa
3,20000,2024-03-18T00:00:00,Papa
3,19000,2023-06-10T00:00:00,Papa
3,20000,2024-03-16T00:00:00,Papa
3,19408,2023-03-30T00:00:00,Papa
3,19753,2023-05-16T00:00:00,Papa
3,20000,2023-09-10T00:00:00,Papa
3,20000,2023-12-07T00:00:00,Papa
3,17732,2022-08-19T00:00:00,Papa
3,17605,2022-08-03T00:00:00,Papa
3,19378,2023-03-16T00:00:00,Papa
3,20000,2023-11-23T00:00:00,Papa
3,20000,2023-09-24T00:00:00,Papa
3,19824,2023-05-26T00:00:00,Papa
3,18284,2022-11-12T00:00:00,Papa
3,20000,2023-10-26T00:00:00,Papa
3,17817,2022-09-02T00:00:00,Papa
3,18558,2022-12-30T00:00:00,Papa
3,20000,2023-11-09T00:00:00,Papa
3,20000,2023-10-08T00:00:00,Papa
3,20000,2024-01-04T00:00:00,Papa
3,19553,2023-04-13T00:00:00,Papa
3,19165,2023-02-14T00:00:00,Papa
3,18196,2022-10-16T00:00:00,Papa
3,20000,2024-04-14T00:00:00,Papa
3,18040,2022-10-07T00:00:00,Papa
3,18705,2023-01-13T00:00:00,Papa
