metric,metric_value,timestamp,company_name
1,617,2023-03-01T00:00:00,Postscript
1,713,2024-01-14T00:00:00,Postscript
1,608,2023-02-15T00:00:00,Postscript
1,638,2023-04-17T00:00:00,Postscript
1,525,2022-09-28T00:00:00,Postscript
1,647,2023-05-02T00:00:00,Postscript
1,491,2022-08-03T00:00:00,Postscript
1,449,2022-05-25T00:00:00,Postscript
1,687,2023-08-06T00:00:00,Postscript
1,558,2022-11-23T00:00:00,Postscript
1,441,2022-05-11T00:00:00,Postscript
1,713,2024-01-28T00:00:00,Postscript
1,710,2023-11-11T00:00:00,Postscript
1,653,2023-06-06T00:00:00,Postscript
1,638,2023-04-07T00:00:00,Postscript
1,499,2022-08-17T00:00:00,Postscript
1,458,2022-06-08T00:00:00,Postscript
1,694,2023-09-03T00:00:00,Postscript
1,575,2022-12-21T00:00:00,Postscript
1,474,2022-07-06T00:00:00,Postscript
1,700,2023-10-13T00:00:00,Postscript
1,566,2022-12-07T00:00:00,Postscript
1,712,2024-02-07T00:00:00,Postscript
1,714,2023-12-31T00:00:00,Postscript
1,709,2023-10-28T00:00:00,Postscript
1,600,2023-02-01T00:00:00,Postscript
1,690,2023-08-20T00:00:00,Postscript
1,713,2024-03-18T00:00:00,Postscript
1,466,2022-06-22T00:00:00,Postscript
1,483,2022-07-20T00:00:00,Postscript
1,669,2023-07-08T00:00:00,Postscript
1,700,2023-09-29T00:00:00,Postscript
1,591,2023-01-18T00:00:00,Postscript
1,713,2023-12-23T00:00:00,Postscript
1,683,2023-07-23T00:00:00,Postscript
1,697,2023-09-17T00:00:00,Postscript
1,533,2022-10-12T00:00:00,Postscript
1,666,2023-06-22T00:00:00,Postscript
1,649,2023-05-23T00:00:00,Postscript
1,516,2022-09-14T00:00:00,Postscript
1,711,2023-11-25T00:00:00,Postscript
1,625,2023-03-15T00:00:00,Postscript
1,508,2022-08-31T00:00:00,Postscript
1,717,2024-04-09T00:00:00,Postscript
1,433,2022-04-27T00:00:00,Postscript
1,550,2022-11-09T00:00:00,Postscript
1,712,2024-02-21T00:00:00,Postscript
1,583,2023-01-04T00:00:00,Postscript
1,712,2023-12-09T00:00:00,Postscript
1,541,2022-10-26T00:00:00,Postscript
1,633,2023-03-29T00:00:00,Postscript
1,713,2024-03-06T00:00:00,Postscript
3,719,2023-05-23T00:00:00,Postscript
3,776,2023-09-17T00:00:00,Postscript
3,769,2023-08-20T00:00:00,Postscript
3,791,2024-03-06T00:00:00,Postscript
3,623,2022-12-05T00:00:00,Postscript
3,619,2022-11-07T00:00:00,Postscript
3,666,2023-02-13T00:00:00,Postscript
3,779,2023-09-29T00:00:00,Postscript
3,793,2024-04-09T00:00:00,Postscript
3,743,2023-07-08T00:00:00,Postscript
3,737,2023-06-22T00:00:00,Postscript
3,772,2023-09-03T00:00:00,Postscript
3,791,2023-11-25T00:00:00,Postscript
3,789,2023-10-28T00:00:00,Postscript
3,792,2024-02-07T00:00:00,Postscript
3,608,2022-09-17T00:00:00,Postscript
3,655,2023-01-30T00:00:00,Postscript
3,794,2023-12-31T00:00:00,Postscript
3,791,2024-03-18T00:00:00,Postscript
3,779,2023-10-13T00:00:00,Postscript
3,792,2024-02-21T00:00:00,Postscript
3,623,2022-12-19T00:00:00,Postscript
3,634,2023-01-02T00:00:00,Postscript
3,793,2023-12-23T00:00:00,Postscript
3,597,2022-08-25T00:00:00,Postscript
3,623,2022-11-21T00:00:00,Postscript
3,705,2023-04-17T00:00:00,Postscript
3,679,2023-03-03T00:00:00,Postscript
3,717,2023-05-02T00:00:00,Postscript
3,644,2023-01-16T00:00:00,Postscript
3,722,2023-06-06T00:00:00,Postscript
3,705,2023-04-07T00:00:00,Postscript
3,765,2023-08-06T00:00:00,Postscript
3,677,2023-02-27T00:00:00,Postscript
3,792,2023-12-09T00:00:00,Postscript
3,615,2022-10-14T00:00:00,Postscript
3,761,2023-07-23T00:00:00,Postscript
3,793,2024-01-28T00:00:00,Postscript
3,691,2023-03-17T00:00:00,Postscript
3,793,2024-01-14T00:00:00,Postscript
3,615,2022-10-24T00:00:00,Postscript
3,612,2022-10-01T00:00:00,Postscript
3,790,2023-11-11T00:00:00,Postscript
4,7799,2022-12-07T00:00:00,Postscript
4,9986,2023-08-28T00:00:00,Postscript
4,11149,2024-01-10T00:00:00,Postscript
4,11876,2024-03-23T00:00:00,Postscript
4,9340,2023-06-26T00:00:00,Postscript
4,11737,2024-03-14T00:00:00,Postscript
4,8066,2023-01-27T00:00:00,Postscript
4,7915,2023-01-04T00:00:00,Postscript
4,7861,2022-12-23T00:00:00,Postscript
4,9115,2023-05-26T00:00:00,Postscript
4,9986,2023-08-27T00:00:00,Postscript
4,9115,2023-05-24T00:00:00,Postscript
4,7985,2023-01-17T00:00:00,Postscript
4,7379,2022-10-01T00:00:00,Postscript
4,9449,2023-07-04T00:00:00,Postscript
4,10290,2023-09-30T00:00:00,Postscript
4,9191,2023-06-09T00:00:00,Postscript
4,11364,2024-01-30T00:00:00,Postscript
4,7030,2022-07-28T00:00:00,Postscript
4,9115,2023-05-25T00:00:00,Postscript
4,7985,2023-01-16T00:00:00,Postscript
4,7203,2022-08-25T00:00:00,Postscript
4,11364,2024-01-31T00:00:00,Postscript
4,7300,2022-09-17T00:00:00,Postscript
4,11682,2024-03-06T00:00:00,Postscript
4,8928,2023-04-26T00:00:00,Postscript
4,8882,2023-04-21T00:00:00,Postscript
4,10507,2023-10-20T00:00:00,Postscript
4,9887,2023-08-14T00:00:00,Postscript
4,8066,2023-01-28T00:00:00,Postscript
4,6457,2022-05-18T00:00:00,Postscript
4,9191,2023-06-08T00:00:00,Postscript
4,9191,2023-06-06T00:00:00,Postscript
4,8475,2023-03-04T00:00:00,Postscript
4,8739,2023-04-07T00:00:00,Postscript
4,10731,2023-12-14T00:00:00,Postscript
4,6319,2022-05-04T00:00:00,Postscript
4,7721,2022-11-21T00:00:00,Postscript
4,8568,2023-03-12T00:00:00,Postscript
4,10480,2023-11-11T00:00:00,Postscript
4,12026,2024-04-08T00:00:00,Postscript
4,9765,2023-07-28T00:00:00,Postscript
4,12108,2024-04-16T00:00:00,Postscript
4,6241,2022-04-27T00:00:00,Postscript
4,7639,2022-11-07T00:00:00,Postscript
4,8677,2023-03-25T00:00:00,Postscript
4,9191,2023-06-07T00:00:00,Postscript
4,10625,2023-12-03T00:00:00,Postscript
4,11615,2024-02-26T00:00:00,Postscript
4,10554,2023-11-23T00:00:00,Postscript
4,9765,2023-08-03T00:00:00,Postscript
4,9819,2023-08-04T00:00:00,Postscript
4,8739,2023-04-04T00:00:00,Postscript
4,8739,2023-04-05T00:00:00,Postscript
4,8739,2023-04-06T00:00:00,Postscript
4,10089,2023-09-14T00:00:00,Postscript
4,9653,2023-07-17T00:00:00,Postscript
4,8287,2023-02-22T00:00:00,Postscript
4,6961,2022-07-13T00:00:00,Postscript
4,7550,2022-10-14T00:00:00,Postscript
4,8882,2023-04-25T00:00:00,Postscript
4,8066,2023-01-29T00:00:00,Postscript
4,8882,2023-04-22T00:00:00,Postscript
4,10812,2024-01-01T00:00:00,Postscript
4,9449,2023-07-05T00:00:00,Postscript
4,9887,2023-08-15T00:00:00,Postscript
4,8150,2023-02-06T00:00:00,Postscript
4,10290,2023-09-29T00:00:00,Postscript
4,6883,2022-06-29T00:00:00,Postscript
4,11542,2024-02-15T00:00:00,Postscript
4,11952,2024-03-31T00:00:00,Postscript
4,10567,2023-10-30T00:00:00,Postscript
4,9340,2023-06-25T00:00:00,Postscript
4,8223,2023-02-14T00:00:00,Postscript
4,7550,2022-10-24T00:00:00,Postscript
4,10784,2023-12-23T00:00:00,Postscript
4,8882,2023-04-20T00:00:00,Postscript
4,7799,2022-12-05T00:00:00,Postscript
4,9653,2023-07-16T00:00:00,Postscript
4,11615,2024-02-27T00:00:00,Postscript
4,6666,2022-06-15T00:00:00,Postscript
5,1703,2022-10-05T00:00:00,Postscript
5,1876,2022-12-28T00:00:00,Postscript
5,1732,2022-10-19T00:00:00,Postscript
5,1818,2022-11-30T00:00:00,Postscript
5,1674,2022-09-21T00:00:00,Postscript
5,2424,2023-09-20T00:00:00,Postscript
5,2712,2024-02-07T00:00:00,Postscript
5,2193,2023-05-31T00:00:00,Postscript
5,1761,2022-11-02T00:00:00,Postscript
5,1847,2022-12-14T00:00:00,Postscript
5,2395,2023-09-06T00:00:00,Postscript
5,2222,2023-06-14T00:00:00,Postscript
5,2711,2024-03-06T00:00:00,Postscript
5,1790,2022-11-16T00:00:00,Postscript
5,1559,2022-07-27T00:00:00,Postscript
5,1645,2022-09-07T00:00:00,Postscript
5,2711,2024-02-21T00:00:00,Postscript
5,2280,2023-07-12T00:00:00,Postscript
5,1934,2023-01-25T00:00:00,Postscript
5,2710,2024-03-18T00:00:00,Postscript
5,2597,2023-12-13T00:00:00,Postscript
5,2481,2023-10-18T00:00:00,Postscript
5,2654,2024-01-10T00:00:00,Postscript
5,1415,2022-05-18T00:00:00,Postscript
5,1530,2022-07-13T00:00:00,Postscript
5,2337,2023-08-09T00:00:00,Postscript
5,2510,2023-11-01T00:00:00,Postscript
5,2626,2023-12-27T00:00:00,Postscript
5,1501,2022-06-29T00:00:00,Postscript
5,1991,2023-02-22T00:00:00,Postscript
5,1444,2022-06-01T00:00:00,Postscript
5,1963,2023-02-08T00:00:00,Postscript
5,1472,2022-06-15T00:00:00,Postscript
5,2706,2024-04-09T00:00:00,Postscript
5,2020,2023-03-08T00:00:00,Postscript
5,1386,2022-05-04T00:00:00,Postscript
5,1617,2022-08-24T00:00:00,Postscript
5,2164,2023-05-17T00:00:00,Postscript
5,2078,2023-04-05T00:00:00,Postscript
5,2568,2023-11-29T00:00:00,Postscript
5,1905,2023-01-11T00:00:00,Postscript
5,2539,2023-11-15T00:00:00,Postscript
5,2135,2023-05-03T00:00:00,Postscript
5,2049,2023-03-22T00:00:00,Postscript
5,2308,2023-07-26T00:00:00,Postscript
5,1588,2022-08-10T00:00:00,Postscript
5,2683,2024-01-24T00:00:00,Postscript
5,2107,2023-04-19T00:00:00,Postscript
5,2251,2023-06-28T00:00:00,Postscript
5,2366,2023-08-23T00:00:00,Postscript
5,2453,2023-10-04T00:00:00,Postscript
5,1363,2022-04-27T00:00:00,Postscript
6,2357,2022-05-18T00:00:00,Postscript
6,2357,2022-06-15T00:00:00,Postscript
6,2628,2022-11-21T00:00:00,Postscript
6,2816,2023-03-31T00:00:00,Postscript
6,2772,2023-02-17T00:00:00,Postscript
6,2575,2022-10-24T00:00:00,Postscript
6,2847,2023-04-14T00:00:00,Postscript
6,2,2022-05-04T00:00:00,Postscript
6,2612,2022-11-07T00:00:00,Postscript
6,2784,2023-03-03T00:00:00,Postscript
6,3054,2023-08-06T00:00:00,Postscript
6,2235,2022-04-27T00:00:00,Postscript
6,2784,2023-03-17T00:00:00,Postscript
6,3114,2023-10-28T00:00:00,Postscript
6,3001,2023-07-08T00:00:00,Postscript
6,3001,2023-06-22T00:00:00,Postscript
6,2911,2023-05-12T00:00:00,Postscript
6,2707,2023-01-06T00:00:00,Postscript
6,2501,2022-08-25T00:00:00,Postscript
6,2537,2022-10-01T00:00:00,Postscript
6,2879,2023-04-28T00:00:00,Postscript
6,3062,2023-08-20T00:00:00,Postscript
6,2741,2023-01-20T00:00:00,Postscript
6,2676,2022-12-19T00:00:00,Postscript
6,2487,2022-07-28T00:00:00,Postscript
6,2654,2022-12-05T00:00:00,Postscript
6,3086,2023-09-29T00:00:00,Postscript
6,2974,2023-06-09T00:00:00,Postscript
6,2942,2023-05-26T00:00:00,Postscript
6,3079,2023-09-17T00:00:00,Postscript
6,3098,2023-10-13T00:00:00,Postscript
6,3071,2023-09-03T00:00:00,Postscript
6,2477,2022-07-13T00:00:00,Postscript
6,2575,2022-10-14T00:00:00,Postscript
6,2524,2022-09-17T00:00:00,Postscript
6,2757,2023-02-03T00:00:00,Postscript
7,1700000,2022-12-05T07:04:57,Postscript
7,106200000,2023-10-28T23:04:55,Postscript
7,106200000,2023-09-29T10:43:28,Postscript
7,1700000,2023-03-03T06:59:07,Postscript
7,1700000,2023-04-07T05:59:07,Postscript
7,1700000,2023-03-17T06:27:17,Postscript
7,1700000,2022-12-19T07:08:52,Postscript
7,106200000,2023-10-13T16:50:06,Postscript
7,1700000,2022-12-14T08:29:58,Postscript
7,106200000,2024-02-07T22:05:25,Postscript
7,106200000,2023-12-31T07:02:19,Postscript
7,1700000,2022-11-21T09:06:06,Postscript
7,1700000,2022-05-04T12:59:57,Postscript
7,1700000,2022-09-17T08:54:34,Postscript
7,1700000,2022-10-14T07:08:30,Postscript
7,1700000,2022-06-29T08:06:47,Postscript
7,1700000,2022-07-28T08:24:27,Postscript
7,1700000,2023-07-08T06:48:59,Postscript
7,106200000,2024-04-09T13:19:58,Postscript
7,1700000,2022-10-24T20:26:18,Postscript
7,1700000,2022-05-18T09:04:34,Postscript
7,41200000,2023-08-06T08:44:10,Postscript
7,1700000,2022-04-27T09:33:24,Postscript
7,1700000,2023-06-22T05:28:45,Postscript
7,1700000,2022-10-01T08:40:37,Postscript
7,1700000,2022-08-25T05:23:13,Postscript
7,1700000,2022-06-15T07:09:58,Postscript
7,1700000,2022-11-07T06:17:05,Postscript
7,106200000,2024-03-18T08:11:46,Postscript
7,1700000,2023-07-23T10:59:07,Postscript
7,1700000,2022-04-26T19:37:15,Postscript
7,1700000,2022-07-13T06:13:45,Postscript
8,277238,2024-02-11T00:00:00,Postscript
8,271804,2024-03-21T00:00:00,Postscript
8,352483,2024-01-23T00:00:00,Postscript
8,352483,2024-01-22T00:00:00,Postscript
8,352483,2024-01-21T00:00:00,Postscript
8,277238,2024-02-27T00:00:00,Postscript
8,352483,2024-01-20T00:00:00,Postscript
8,237220,2024-04-11T00:00:00,Postscript
8,352483,2024-01-19T00:00:00,Postscript
8,198875,2023-10-10T00:00:00,Postscript
8,344782,2024-01-03T00:00:00,Postscript
8,277238,2024-03-01T00:00:00,Postscript
8,311894,2023-10-08T00:00:00,Postscript
8,352483,2024-02-02T00:00:00,Postscript
8,198875,2023-11-02T00:00:00,Postscript
8,311894,2023-09-19T00:00:00,Postscript
8,344782,2023-12-19T00:00:00,Postscript
8,311894,2023-09-18T00:00:00,Postscript
8,232389,2023-11-18T00:00:00,Postscript
8,232389,2023-12-03T00:00:00,Postscript
8,198875,2023-10-26T00:00:00,Postscript
9,267,2024-01-30T21:38:55,Postscript
9,207,2023-04-20T06:29:33,Postscript
9,260,2023-10-30T03:58:36,Postscript
9,263,2023-11-23T02:40:36,Postscript
9,255,2023-09-30T02:07:28,Postscript
9,251,2023-08-03T14:54:37,Postscript
9,242,2023-06-25T15:38:36,Postscript
9,207,2023-02-14T03:31:22,Postscript
9,253,2023-08-14T01:29:05,Postscript
9,271,2024-03-31T09:52:16,Postscript
9,233,2022-05-18T09:04:34,Postscript
9,229,2023-05-24T08:47:17,Postscript
9,195,2022-09-17T08:54:34,Postscript
9,273,2024-03-06T05:05:18,Postscript
9,263,2023-12-23T04:18:49,Postscript
9,206,2023-02-06T02:19:18,Postscript
9,199,2022-08-25T05:23:13,Postscript
9,205,2023-01-28T15:00:07,Postscript
9,207,2023-04-25T19:43:20,Postscript
