metric,metric_value,timestamp,company_name
1,196,2023-08-11T00:00:00,SEAKR-Engineering
1,198,2023-10-06T00:00:00,SEAKR-Engineering
1,197,2024-02-03T00:00:00,SEAKR-Engineering
1,196,2022-12-23T00:00:00,SEAKR-Engineering
1,196,2023-04-17T00:00:00,SEAKR-Engineering
1,197,2023-12-31T00:00:00,SEAKR-Engineering
1,196,2023-07-28T00:00:00,SEAKR-Engineering
1,195,2022-08-16T00:00:00,SEAKR-Engineering
1,194,2022-05-27T00:00:00,SEAKR-Engineering
1,194,2022-06-10T00:00:00,SEAKR-Engineering
1,199,2023-11-03T00:00:00,SEAKR-Engineering
1,196,2023-05-15T00:00:00,SEAKR-Engineering
1,196,2023-03-08T00:00:00,SEAKR-Engineering
1,196,2023-02-07T00:00:00,SEAKR-Engineering
1,196,2024-03-02T00:00:00,SEAKR-Engineering
1,197,2024-01-14T00:00:00,SEAKR-Engineering
1,196,2022-12-09T00:00:00,SEAKR-Engineering
1,194,2022-08-02T00:00:00,SEAKR-Engineering
1,197,2022-10-28T00:00:00,SEAKR-Engineering
1,196,2022-11-11T00:00:00,SEAKR-Engineering
1,194,2022-07-22T00:00:00,SEAKR-Engineering
1,194,2022-06-24T00:00:00,SEAKR-Engineering
1,196,2023-05-26T00:00:00,SEAKR-Engineering
1,196,2023-08-28T00:00:00,SEAKR-Engineering
1,197,2024-01-28T00:00:00,SEAKR-Engineering
1,196,2023-07-14T00:00:00,SEAKR-Engineering
1,194,2022-07-08T00:00:00,SEAKR-Engineering
1,199,2023-10-20T00:00:00,SEAKR-Engineering
1,196,2023-01-10T00:00:00,SEAKR-Engineering
1,197,2023-09-22T00:00:00,SEAKR-Engineering
1,196,2023-06-26T00:00:00,SEAKR-Engineering
1,197,2022-08-30T00:00:00,SEAKR-Engineering
1,197,2022-10-07T00:00:00,SEAKR-Engineering
1,198,2023-12-01T00:00:00,SEAKR-Engineering
1,196,2023-02-22T00:00:00,SEAKR-Engineering
1,196,2023-03-22T00:00:00,SEAKR-Engineering
1,196,2023-06-09T00:00:00,SEAKR-Engineering
1,196,2023-04-11T00:00:00,SEAKR-Engineering
1,194,2022-04-29T00:00:00,SEAKR-Engineering
1,197,2023-12-15T00:00:00,SEAKR-Engineering
1,194,2022-05-13T00:00:00,SEAKR-Engineering
1,197,2022-10-16T00:00:00,SEAKR-Engineering
1,196,2022-11-25T00:00:00,SEAKR-Engineering
1,197,2022-09-22T00:00:00,SEAKR-Engineering
1,196,2023-05-01T00:00:00,SEAKR-Engineering
1,196,2023-01-24T00:00:00,SEAKR-Engineering
1,198,2023-11-17T00:00:00,SEAKR-Engineering
1,196,2024-04-02T00:00:00,SEAKR-Engineering
1,197,2023-12-17T00:00:00,SEAKR-Engineering
3,202,2023-01-24T00:00:00,SEAKR-Engineering
3,196,2023-08-11T00:00:00,SEAKR-Engineering
3,203,2022-10-07T00:00:00,SEAKR-Engineering
3,202,2023-01-10T00:00:00,SEAKR-Engineering
3,197,2023-05-26T00:00:00,SEAKR-Engineering
3,203,2022-08-30T00:00:00,SEAKR-Engineering
3,197,2023-04-17T00:00:00,SEAKR-Engineering
3,197,2023-08-28T00:00:00,SEAKR-Engineering
3,196,2023-12-01T00:00:00,SEAKR-Engineering
3,196,2023-11-17T00:00:00,SEAKR-Engineering
3,203,2022-10-28T00:00:00,SEAKR-Engineering
