metric,metric_value,timestamp,company_name
1,17075,2022-08-07T00:00:00,Sezzle
1,16722,2022-05-01T00:00:00,Sezzle
1,17337,2022-10-07T00:00:00,Sezzle
1,18000,2023-07-08T00:00:00,Sezzle
1,17000,2023-02-03T00:00:00,Sezzle
1,17892,2023-01-06T00:00:00,Sezzle
1,17263,2022-09-17T00:00:00,Sezzle
1,18000,2023-07-23T00:00:00,Sezzle
1,18000,2024-01-29T00:00:00,Sezzle
1,18000,2024-03-11T00:00:00,Sezzle
1,18000,2023-10-03T00:00:00,Sezzle
1,17000,2023-04-07T00:00:00,Sezzle
1,16773,2022-05-15T00:00:00,Sezzle
1,17136,2022-08-25T00:00:00,Sezzle
1,18000,2023-10-23T00:00:00,Sezzle
1,18000,2024-04-02T00:00:00,Sezzle
1,18000,2023-09-19T00:00:00,Sezzle
1,18000,2023-06-22T00:00:00,Sezzle
1,18000,2023-08-26T00:00:00,Sezzle
1,17025,2022-07-24T00:00:00,Sezzle
1,18000,2023-12-18T00:00:00,Sezzle
1,17947,2023-01-20T00:00:00,Sezzle
1,18000,2024-01-01T00:00:00,Sezzle
1,16974,2022-07-10T00:00:00,Sezzle
1,16823,2022-05-29T00:00:00,Sezzle
1,16873,2022-06-12T00:00:00,Sezzle
1,17000,2023-03-17T00:00:00,Sezzle
1,16924,2022-06-26T00:00:00,Sezzle
1,18000,2024-03-25T00:00:00,Sezzle
1,17125,2022-08-21T00:00:00,Sezzle
1,18000,2023-12-04T00:00:00,Sezzle
1,18000,2023-06-06T00:00:00,Sezzle
1,17701,2022-11-21T00:00:00,Sezzle
1,17839,2022-12-19T00:00:00,Sezzle
1,17000,2023-02-17T00:00:00,Sezzle
1,18000,2023-08-06T00:00:00,Sezzle
1,18000,2023-11-06T00:00:00,Sezzle
1,17520,2022-10-24T00:00:00,Sezzle
1,17610,2022-11-07T00:00:00,Sezzle
1,18000,2023-11-20T00:00:00,Sezzle
1,18000,2024-02-26T00:00:00,Sezzle
1,17000,2023-04-17T00:00:00,Sezzle
1,17000,2023-03-03T00:00:00,Sezzle
1,18000,2024-02-12T00:00:00,Sezzle
1,17772,2022-12-05T00:00:00,Sezzle
1,17520,2022-10-16T00:00:00,Sezzle
1,18000,2023-05-02T00:00:00,Sezzle
1,18000,2024-01-15T00:00:00,Sezzle
1,18000,2023-05-23T00:00:00,Sezzle
3,19000,2023-12-18T00:00:00,Sezzle
3,19000,2023-12-04T00:00:00,Sezzle
3,19469,2023-01-20T00:00:00,Sezzle
3,19000,2024-02-12T00:00:00,Sezzle
3,19000,2023-03-17T00:00:00,Sezzle
3,19000,2023-11-06T00:00:00,Sezzle
3,19000,2023-04-17T00:00:00,Sezzle
3,19000,2024-03-25T00:00:00,Sezzle
3,19300,2022-12-05T00:00:00,Sezzle
3,19231,2022-11-21T00:00:00,Sezzle
3,19000,2023-06-22T00:00:00,Sezzle
3,19114,2022-11-07T00:00:00,Sezzle
3,19000,2023-04-07T00:00:00,Sezzle
3,18984,2022-10-16T00:00:00,Sezzle
3,19000,2023-10-23T00:00:00,Sezzle
3,19000,2023-06-06T00:00:00,Sezzle
3,18709,2022-10-07T00:00:00,Sezzle
3,19000,2024-02-26T00:00:00,Sezzle
3,19415,2023-01-06T00:00:00,Sezzle
