metric,metric_value,timestamp,company_name
4,3266,2024-01-19T00:00:00,Stairwell
4,1472,2022-08-17T00:00:00,Stairwell
4,2418,2023-06-30T00:00:00,Stairwell
4,3226,2024-01-07T00:00:00,Stairwell
4,3266,2024-01-17T00:00:00,Stairwell
4,2380,2023-06-16T00:00:00,Stairwell
4,3266,2024-01-18T00:00:00,Stairwell
4,1431,2022-08-03T00:00:00,Stairwell
4,1778,2022-10-16T00:00:00,Stairwell
4,1955,2022-12-24T00:00:00,Stairwell
4,2380,2023-06-15T00:00:00,Stairwell
4,1906,2022-12-07T00:00:00,Stairwell
4,2380,2023-06-14T00:00:00,Stairwell
4,1984,2023-01-05T00:00:00,Stairwell
4,1378,2022-07-17T00:00:00,Stairwell
4,2351,2023-05-31T00:00:00,Stairwell
4,2351,2023-05-30T00:00:00,Stairwell
4,3303,2024-01-30T00:00:00,Stairwell
4,2307,2023-05-05T00:00:00,Stairwell
4,2018,2023-01-18T00:00:00,Stairwell
4,1293,2022-07-03T00:00:00,Stairwell
4,3350,2024-02-12T00:00:00,Stairwell
4,2307,2023-05-04T00:00:00,Stairwell
4,2380,2023-06-13T00:00:00,Stairwell
4,3366,2024-02-21T00:00:00,Stairwell
4,2418,2023-07-01T00:00:00,Stairwell
4,2454,2023-07-13T00:00:00,Stairwell
4,2156,2023-03-06T00:00:00,Stairwell
4,2699,2023-10-22T00:00:00,Stairwell
4,2628,2023-09-14T00:00:00,Stairwell
4,1652,2022-10-07T00:00:00,Stairwell
4,3007,2023-10-31T00:00:00,Stairwell
4,1778,2022-10-29T00:00:00,Stairwell
4,2585,2023-08-28T00:00:00,Stairwell
4,3094,2023-11-12T00:00:00,Stairwell
4,2585,2023-08-27T00:00:00,Stairwell
4,1567,2022-09-22T00:00:00,Stairwell
4,3218,2023-12-30T00:00:00,Stairwell
4,3094,2023-11-13T00:00:00,Stairwell
4,3128,2023-11-24T00:00:00,Stairwell
4,2502,2023-08-03T00:00:00,Stairwell
4,1472,2022-09-01T00:00:00,Stairwell
4,3150,2023-12-03T00:00:00,Stairwell
4,2468,2023-07-23T00:00:00,Stairwell
4,3180,2023-12-11T00:00:00,Stairwell
4,1872,2022-11-26T00:00:00,Stairwell
4,2468,2023-07-22T00:00:00,Stairwell
4,1472,2022-08-31T00:00:00,Stairwell
4,3202,2023-12-20T00:00:00,Stairwell
4,1824,2022-11-12T00:00:00,Stairwell
4,2271,2023-04-27T00:00:00,Stairwell
4,2662,2023-10-01T00:00:00,Stairwell
4,2271,2023-04-25T00:00:00,Stairwell
4,3417,2024-03-08T00:00:00,Stairwell
4,2250,2023-04-14T00:00:00,Stairwell
4,1202,2022-05-07T00:00:00,Stairwell
4,2081,2023-02-07T00:00:00,Stairwell
4,1202,2022-05-21T00:00:00,Stairwell
4,2179,2023-03-17T00:00:00,Stairwell
4,2231,2023-04-07T00:00:00,Stairwell
4,2250,2023-04-15T00:00:00,Stairwell
4,2179,2023-03-18T00:00:00,Stairwell
4,3468,2024-04-09T00:00:00,Stairwell
4,3434,2024-03-16T00:00:00,Stairwell
4,2108,2023-02-15T00:00:00,Stairwell
4,2207,2023-03-28T00:00:00,Stairwell
4,3455,2024-04-01T00:00:00,Stairwell
4,2179,2023-03-20T00:00:00,Stairwell
4,3443,2024-03-24T00:00:00,Stairwell
4,2179,2023-03-19T00:00:00,Stairwell
4,1153,2022-04-27T00:00:00,Stairwell
4,2231,2023-04-13T00:00:00,Stairwell
4,3404,2024-02-29T00:00:00,Stairwell
4,2127,2023-02-23T00:00:00,Stairwell
4,1293,2022-06-15T00:00:00,Stairwell
4,3490,2024-04-17T00:00:00,Stairwell
4,2050,2023-01-29T00:00:00,Stairwell
4,2271,2023-04-26T00:00:00,Stairwell
6,896,2023-08-22T00:00:00,Stairwell
6,633,2022-08-31T00:00:00,Stairwell
6,710,2022-10-16T00:00:00,Stairwell
6,935,2023-10-03T00:00:00,Stairwell
6,1034,2024-03-29T00:00:00,Stairwell
6,715,2022-11-26T00:00:00,Stairwell
6,710,2022-10-29T00:00:00,Stairwell
6,745,2023-02-08T00:00:00,Stairwell
6,944,2023-10-13T00:00:00,Stairwell
6,974,2023-12-08T00:00:00,Stairwell
6,653,2022-09-22T00:00:00,Stairwell
6,869,2023-07-25T00:00:00,Stairwell
6,761,2023-02-22T00:00:00,Stairwell
6,922,2023-09-19T00:00:00,Stairwell
6,633,2022-09-01T00:00:00,Stairwell
6,959,2023-11-10T00:00:00,Stairwell
6,882,2023-08-08T00:00:00,Stairwell
6,966,2023-11-24T00:00:00,Stairwell
6,1044,2024-04-17T00:00:00,Stairwell
6,671,2022-10-07T00:00:00,Stairwell
6,951,2023-10-27T00:00:00,Stairwell
6,909,2023-09-05T00:00:00,Stairwell
6,718,2022-11-12T00:00:00,Stairwell
6,520,2022-04-27T00:00:00,Stairwell
