metric,metric_value,timestamp,company_name
1,23000,2023-05-14T00:00:00,Stryker
1,18020,2022-07-18T00:00:00,Stryker
1,22000,2023-03-29T00:00:00,Stryker
1,23000,2023-04-02T00:00:00,Stryker
1,23000,2023-04-09T00:00:00,Stryker
1,23000,2023-04-12T00:00:00,Stryker
1,23000,2023-04-16T00:00:00,Stryker
1,23000,2023-04-17T00:00:00,Stryker
1,23000,2023-04-23T00:00:00,Stryker
1,16716,2022-07-04T00:00:00,Stryker
1,23000,2023-04-30T00:00:00,Stryker
1,23000,2023-05-21T00:00:00,Stryker
1,23000,2023-05-23T00:00:00,Stryker
1,23000,2023-05-28T00:00:00,Stryker
1,15413,2022-06-20T00:00:00,Stryker
1,23000,2023-06-06T00:00:00,Stryker
1,23000,2023-06-22T00:00:00,Stryker
1,23000,2023-07-13T00:00:00,Stryker
1,14110,2022-06-06T00:00:00,Stryker
1,12806,2022-05-23T00:00:00,Stryker
1,23000,2023-07-28T00:00:00,Stryker
1,23000,2023-08-12T00:00:00,Stryker
1,23000,2023-08-26T00:00:00,Stryker
1,23000,2023-09-18T00:00:00,Stryker
1,22000,2023-03-26T00:00:00,Stryker
1,24000,2023-10-03T00:00:00,Stryker
1,22000,2023-03-19T00:00:00,Stryker
1,22000,2023-03-12T00:00:00,Stryker
1,22412,2022-10-25T00:00:00,Stryker
1,22343,2022-10-07T00:00:00,Stryker
1,22469,2022-11-08T00:00:00,Stryker
1,22509,2022-11-22T00:00:00,Stryker
1,22553,2022-12-06T00:00:00,Stryker
1,22553,2023-01-01T00:00:00,Stryker
1,22736,2023-01-08T00:00:00,Stryker
1,22736,2023-01-15T00:00:00,Stryker
1,22110,2022-09-17T00:00:00,Stryker
1,22736,2023-01-18T00:00:00,Stryker
1,22000,2023-01-22T00:00:00,Stryker
1,22000,2023-01-29T00:00:00,Stryker
1,22000,2023-02-01T00:00:00,Stryker
1,22000,2023-02-05T00:00:00,Stryker
1,22000,2023-02-12T00:00:00,Stryker
1,22000,2023-02-15T00:00:00,Stryker
1,22000,2023-02-19T00:00:00,Stryker
1,21744,2022-08-27T00:00:00,Stryker
1,20627,2022-08-15T00:00:00,Stryker
1,19323,2022-08-01T00:00:00,Stryker
1,22000,2023-02-26T00:00:00,Stryker
1,22000,2023-03-01T00:00:00,Stryker
1,22000,2023-03-05T00:00:00,Stryker
1,22000,2023-03-15T00:00:00,Stryker
1,24000,2023-10-17T00:00:00,Stryker
