metric,metric_value,timestamp,company_name
1,68,2023-11-08T00:00:00,TheBrowserCompany
1,60,2023-10-25T00:00:00,TheBrowserCompany
1,60,2023-09-21T00:00:00,TheBrowserCompany
1,122,2024-02-11T00:00:00,TheBrowserCompany
1,105,2024-01-14T00:00:00,TheBrowserCompany
1,60,2023-10-04T00:00:00,TheBrowserCompany
1,147,2024-04-09T00:00:00,TheBrowserCompany
1,96,2023-12-31T00:00:00,TheBrowserCompany
1,142,2024-03-26T00:00:00,TheBrowserCompany
1,113,2024-01-28T00:00:00,TheBrowserCompany
1,130,2024-02-25T00:00:00,TheBrowserCompany
1,136,2024-03-12T00:00:00,TheBrowserCompany
1,90,2023-12-20T00:00:00,TheBrowserCompany
1,83,2023-12-06T00:00:00,TheBrowserCompany
1,75,2023-11-22T00:00:00,TheBrowserCompany
1,131,2024-02-27T00:00:00,TheBrowserCompany
1,60,2023-10-07T00:00:00,TheBrowserCompany
3,178,2024-03-12T00:00:00,TheBrowserCompany
3,70,2023-10-25T00:00:00,TheBrowserCompany
3,187,2024-03-26T00:00:00,TheBrowserCompany
3,126,2024-01-14T00:00:00,TheBrowserCompany
3,96,2023-12-06T00:00:00,TheBrowserCompany
3,69,2023-09-21T00:00:00,TheBrowserCompany
3,105,2023-12-20T00:00:00,TheBrowserCompany
3,169,2024-02-27T00:00:00,TheBrowserCompany
3,195,2024-04-09T00:00:00,TheBrowserCompany
3,140,2024-01-28T00:00:00,TheBrowserCompany
3,79,2023-11-08T00:00:00,TheBrowserCompany
3,168,2024-02-25T00:00:00,TheBrowserCompany
3,112,2023-12-31T00:00:00,TheBrowserCompany
3,70,2023-10-07T00:00:00,TheBrowserCompany
3,88,2023-11-22T00:00:00,TheBrowserCompany
3,154,2024-02-11T00:00:00,TheBrowserCompany
3,70,2023-10-04T00:00:00,TheBrowserCompany
4,3565,2022-12-06T00:00:00,TheBrowserCompany
4,6881,2023-04-26T00:00:00,TheBrowserCompany
4,3565,2022-12-07T00:00:00,TheBrowserCompany
4,10970,2023-09-24T00:00:00,TheBrowserCompany
4,6881,2023-04-27T00:00:00,TheBrowserCompany
4,8286,2023-06-22T00:00:00,TheBrowserCompany
4,16770,2024-02-12T00:00:00,TheBrowserCompany
4,6881,2023-04-29T00:00:00,TheBrowserCompany
4,3429,2022-11-22T00:00:00,TheBrowserCompany
4,17397,2024-02-20T00:00:00,TheBrowserCompany
4,3087,2022-11-08T00:00:00,TheBrowserCompany
4,6986,2023-05-03T00:00:00,TheBrowserCompany
4,10588,2023-09-08T00:00:00,TheBrowserCompany
4,17397,2024-02-21T00:00:00,TheBrowserCompany
4,2531,2022-10-25T00:00:00,TheBrowserCompany
4,6986,2023-05-05T00:00:00,TheBrowserCompany
4,9987,2023-08-21T00:00:00,TheBrowserCompany
4,6986,2023-05-06T00:00:00,TheBrowserCompany
4,2531,2022-10-14T00:00:00,TheBrowserCompany
4,18129,2024-02-29T00:00:00,TheBrowserCompany
4,10970,2023-09-23T00:00:00,TheBrowserCompany
4,6881,2023-04-30T00:00:00,TheBrowserCompany
4,6769,2023-04-22T00:00:00,TheBrowserCompany
4,6769,2023-04-25T00:00:00,TheBrowserCompany
4,12841,2023-12-14T00:00:00,TheBrowserCompany
4,12602,2023-12-05T00:00:00,TheBrowserCompany
4,5073,2023-03-04T00:00:00,TheBrowserCompany
4,4621,2023-02-14T00:00:00,TheBrowserCompany
4,12394,2023-11-26T00:00:00,TheBrowserCompany
4,5362,2023-03-12T00:00:00,TheBrowserCompany
4,4429,2023-02-06T00:00:00,TheBrowserCompany
4,13170,2023-12-23T00:00:00,TheBrowserCompany
4,5970,2023-03-25T00:00:00,TheBrowserCompany
4,12171,2023-11-16T00:00:00,TheBrowserCompany
4,4365,2023-01-29T00:00:00,TheBrowserCompany
4,6403,2023-04-04T00:00:00,TheBrowserCompany
4,13352,2023-12-31T00:00:00,TheBrowserCompany
4,4365,2023-01-28T00:00:00,TheBrowserCompany
4,12048,2023-11-03T00:00:00,TheBrowserCompany
4,6403,2023-04-05T00:00:00,TheBrowserCompany
4,13525,2024-01-10T00:00:00,TheBrowserCompany
4,4365,2023-01-27T00:00:00,TheBrowserCompany
4,6769,2023-04-20T00:00:00,TheBrowserCompany
4,13525,2024-01-11T00:00:00,TheBrowserCompany
4,4125,2023-01-17T00:00:00,TheBrowserCompany
4,11817,2023-10-25T00:00:00,TheBrowserCompany
4,6769,2023-04-21T00:00:00,TheBrowserCompany
4,11566,2023-10-14T00:00:00,TheBrowserCompany
4,4125,2023-01-16T00:00:00,TheBrowserCompany
4,9987,2023-08-20T00:00:00,TheBrowserCompany
4,3906,2023-01-04T00:00:00,TheBrowserCompany
4,14650,2024-01-30T00:00:00,TheBrowserCompany
4,3748,2022-12-23T00:00:00,TheBrowserCompany
4,14650,2024-01-31T00:00:00,TheBrowserCompany
4,6986,2023-05-08T00:00:00,TheBrowserCompany
4,4766,2023-02-22T00:00:00,TheBrowserCompany
4,7287,2023-05-22T00:00:00,TheBrowserCompany
4,9601,2023-08-06T00:00:00,TheBrowserCompany
4,18977,2024-03-16T00:00:00,TheBrowserCompany
4,7287,2023-05-17T00:00:00,TheBrowserCompany
4,1749,2022-04-27T00:00:00,TheBrowserCompany
