metric,metric_value,timestamp,company_name
1,7100000,2023-10-20T00:00:00,Udemy
1,7066667,2023-09-21T00:00:00,Udemy
1,7000000,2023-06-28T00:00:00,Udemy
1,6553261,2023-02-02T00:00:00,Udemy
1,7100000,2023-10-05T00:00:00,Udemy
1,6429673,2023-01-19T00:00:00,Udemy
1,7100000,2023-11-03T00:00:00,Udemy
1,7100000,2023-11-17T00:00:00,Udemy
1,6306084,2023-01-05T00:00:00,Udemy
1,6182496,2022-12-22T00:00:00,Udemy
1,6058908,2022-12-08T00:00:00,Udemy
1,7100000,2023-12-01T00:00:00,Udemy
1,7100000,2023-12-15T00:00:00,Udemy
1,7100000,2023-12-18T00:00:00,Udemy
1,5935320,2022-11-24T00:00:00,Udemy
1,5811731,2022-11-10T00:00:00,Udemy
1,6990516,2023-04-28T00:00:00,Udemy
1,7100000,2024-01-02T00:00:00,Udemy
1,7146667,2024-02-13T00:00:00,Udemy
1,4699437,2022-07-07T00:00:00,Udemy
1,4823025,2022-07-21T00:00:00,Udemy
1,4946614,2022-08-04T00:00:00,Udemy
1,5070202,2022-08-18T00:00:00,Udemy
1,7017565,2023-06-07T00:00:00,Udemy
1,7033333,2023-09-07T00:00:00,Udemy
1,5193790,2022-09-01T00:00:00,Udemy
1,5440967,2022-09-29T00:00:00,Udemy
1,7131111,2024-01-30T00:00:00,Udemy
1,7115556,2024-01-16T00:00:00,Udemy
1,5564555,2022-10-13T00:00:00,Udemy
1,7026771,2023-06-10T00:00:00,Udemy
1,5688143,2022-10-27T00:00:00,Udemy
1,5317378,2022-09-15T00:00:00,Udemy
1,7162222,2024-02-27T00:00:00,Udemy
1,6676849,2023-02-16T00:00:00,Udemy
1,7000000,2023-08-24T00:00:00,Udemy
1,7000000,2023-07-14T00:00:00,Udemy
1,6976992,2023-04-14T00:00:00,Udemy
1,7000000,2023-07-15T00:00:00,Udemy
1,7000000,2023-07-16T00:00:00,Udemy
1,7000000,2023-07-18T00:00:00,Udemy
1,7000000,2023-07-20T00:00:00,Udemy
1,7000000,2023-07-23T00:00:00,Udemy
1,7000000,2023-07-26T00:00:00,Udemy
1,7000000,2023-07-27T00:00:00,Udemy
1,7000000,2023-07-28T00:00:00,Udemy
1,7000000,2023-07-29T00:00:00,Udemy
1,7000000,2023-07-12T00:00:00,Udemy
1,7000000,2023-07-11T00:00:00,Udemy
1,7000000,2023-08-02T00:00:00,Udemy
1,7000000,2023-08-03T00:00:00,Udemy
1,7000000,2023-08-04T00:00:00,Udemy
1,7000000,2023-08-06T00:00:00,Udemy
1,7000000,2023-08-17T00:00:00,Udemy
1,7000000,2023-08-16T00:00:00,Udemy
1,7000000,2023-08-15T00:00:00,Udemy
1,7000000,2023-08-14T00:00:00,Udemy
1,7000000,2023-08-13T00:00:00,Udemy
1,7000000,2023-08-12T00:00:00,Udemy
1,6800437,2023-03-02T00:00:00,Udemy
1,7000000,2023-07-07T00:00:00,Udemy
1,7000000,2023-07-09T00:00:00,Udemy
