metric,metric_value,timestamp,company_name
1,7500000,2023-12-16T00:00:00,Vevo
1,7644674,2023-05-15T00:00:00,Vevo
1,7500000,2023-12-31T00:00:00,Vevo
1,7643354,2023-05-28T00:00:00,Vevo
1,7600000,2023-07-29T00:00:00,Vevo
1,7500000,2023-12-18T00:00:00,Vevo
1,7600000,2023-08-12T00:00:00,Vevo
1,7600000,2023-09-24T00:00:00,Vevo
1,7693653,2022-05-21T00:00:00,Vevo
1,7650685,2023-02-15T00:00:00,Vevo
1,7651744,2022-11-17T00:00:00,Vevo
1,7687064,2022-06-18T00:00:00,Vevo
1,7500000,2023-12-02T00:00:00,Vevo
1,7652728,2022-12-17T00:00:00,Vevo
1,7500000,2023-11-18T00:00:00,Vevo
1,7652727,2022-12-03T00:00:00,Vevo
1,7600000,2023-07-01T00:00:00,Vevo
1,7500000,2023-11-04T00:00:00,Vevo
1,7650025,2023-02-01T00:00:00,Vevo
1,7683770,2022-07-02T00:00:00,Vevo
1,7500000,2023-10-21T00:00:00,Vevo
1,7676233,2022-08-30T00:00:00,Vevo
1,7690359,2022-06-04T00:00:00,Vevo
1,7600000,2023-06-12T00:00:00,Vevo
1,7600000,2023-07-15T00:00:00,Vevo
1,7680475,2022-07-16T00:00:00,Vevo
1,7600000,2023-09-10T00:00:00,Vevo
1,7649677,2023-03-21T00:00:00,Vevo
1,7677180,2022-07-30T00:00:00,Vevo
1,7500000,2024-04-09T00:00:00,Vevo
1,7664992,2022-09-27T00:00:00,Vevo
1,7670613,2022-09-13T00:00:00,Vevo
1,7649462,2023-03-01T00:00:00,Vevo
1,7400000,2024-03-18T00:00:00,Vevo
1,7600000,2023-08-27T00:00:00,Vevo
1,7400000,2024-03-17T00:00:00,Vevo
1,7647753,2023-04-14T00:00:00,Vevo
1,7500000,2024-01-29T00:00:00,Vevo
1,7600000,2023-10-06T00:00:00,Vevo
1,7674827,2022-08-10T00:00:00,Vevo
1,7400000,2024-02-29T00:00:00,Vevo
1,7647753,2023-04-17T00:00:00,Vevo
1,7651823,2022-12-31T00:00:00,Vevo
1,7696948,2022-05-07T00:00:00,Vevo
1,7650008,2023-01-14T00:00:00,Vevo
1,7409677,2024-02-26T00:00:00,Vevo
1,7653752,2022-10-25T00:00:00,Vevo
