metric,metric_value,timestamp,company_name
1,22,2022-04-27T00:00:00,Vouch-Insurance
1,27,2023-04-07T00:00:00,Vouch-Insurance
1,25,2022-11-23T00:00:00,Vouch-Insurance
1,28,2023-07-09T00:00:00,Vouch-Insurance
1,23,2022-07-06T00:00:00,Vouch-Insurance
1,31,2023-11-21T00:00:00,Vouch-Insurance
1,27,2023-03-29T00:00:00,Vouch-Insurance
1,32,2023-12-05T00:00:00,Vouch-Insurance
1,30,2023-10-24T00:00:00,Vouch-Insurance
1,32,2023-12-18T00:00:00,Vouch-Insurance
1,27,2023-03-15T00:00:00,Vouch-Insurance
1,32,2024-01-04T00:00:00,Vouch-Insurance
1,25,2022-12-07T00:00:00,Vouch-Insurance
1,32,2024-01-18T00:00:00,Vouch-Insurance
1,26,2023-03-01T00:00:00,Vouch-Insurance
1,23,2022-06-08T00:00:00,Vouch-Insurance
1,22,2022-05-25T00:00:00,Vouch-Insurance
1,23,2022-06-22T00:00:00,Vouch-Insurance
1,26,2023-02-15T00:00:00,Vouch-Insurance
1,23,2022-07-20T00:00:00,Vouch-Insurance
1,24,2022-08-17T00:00:00,Vouch-Insurance
1,29,2023-07-24T00:00:00,Vouch-Insurance
1,27,2023-06-22T00:00:00,Vouch-Insurance
1,24,2022-10-12T00:00:00,Vouch-Insurance
1,29,2023-08-07T00:00:00,Vouch-Insurance
1,25,2022-10-26T00:00:00,Vouch-Insurance
1,24,2022-09-28T00:00:00,Vouch-Insurance
1,27,2023-06-06T00:00:00,Vouch-Insurance
1,23,2022-08-03T00:00:00,Vouch-Insurance
1,29,2023-09-03T00:00:00,Vouch-Insurance
1,27,2023-05-02T00:00:00,Vouch-Insurance
1,24,2022-09-14T00:00:00,Vouch-Insurance
1,24,2022-08-31T00:00:00,Vouch-Insurance
1,30,2023-09-26T00:00:00,Vouch-Insurance
1,25,2022-11-09T00:00:00,Vouch-Insurance
1,30,2023-10-10T00:00:00,Vouch-Insurance
1,27,2023-04-17T00:00:00,Vouch-Insurance
1,27,2023-05-23T00:00:00,Vouch-Insurance
1,32,2024-02-01T00:00:00,Vouch-Insurance
1,31,2023-11-07T00:00:00,Vouch-Insurance
1,25,2022-12-21T00:00:00,Vouch-Insurance
1,34,2024-04-09T00:00:00,Vouch-Insurance
1,26,2023-02-01T00:00:00,Vouch-Insurance
1,33,2024-02-29T00:00:00,Vouch-Insurance
1,26,2023-01-04T00:00:00,Vouch-Insurance
1,33,2024-02-15T00:00:00,Vouch-Insurance
1,22,2022-05-11T00:00:00,Vouch-Insurance
1,26,2023-01-18T00:00:00,Vouch-Insurance
1,33,2024-03-14T00:00:00,Vouch-Insurance
1,33,2024-03-16T00:00:00,Vouch-Insurance
3,36,2024-04-09T00:00:00,Vouch-Insurance
3,27,2022-12-19T00:00:00,Vouch-Insurance
3,26,2022-11-07T00:00:00,Vouch-Insurance
3,33,2023-11-21T00:00:00,Vouch-Insurance
