metric,metric_value,timestamp,company_name
1,57000,2023-07-19T00:00:00,Weee!
1,57308,2023-05-23T00:00:00,Weee!
1,57394,2023-06-05T00:00:00,Weee!
1,57533,2023-06-22T00:00:00,Weee!
1,57000,2023-08-03T00:00:00,Weee!
1,57000,2023-08-17T00:00:00,Weee!
1,57000,2023-08-31T00:00:00,Weee!
1,57246,2023-05-02T00:00:00,Weee!
1,57000,2023-09-14T00:00:00,Weee!
1,57000,2023-10-03T00:00:00,Weee!
1,57189,2023-10-17T00:00:00,Weee!
1,57378,2023-10-31T00:00:00,Weee!
1,57568,2023-11-14T00:00:00,Weee!
1,57757,2023-11-28T00:00:00,Weee!
1,57946,2023-12-12T00:00:00,Weee!
1,57000,2023-09-28T00:00:00,Weee!
1,58000,2023-12-17T00:00:00,Weee!
1,57147,2023-04-17T00:00:00,Weee!
1,57147,2023-04-07T00:00:00,Weee!
1,56222,2022-10-07T00:00:00,Weee!
1,56311,2022-10-24T00:00:00,Weee!
1,56371,2022-11-07T00:00:00,Weee!
1,56455,2022-11-21T00:00:00,Weee!
1,56530,2022-12-05T00:00:00,Weee!
1,56127,2022-09-17T00:00:00,Weee!
1,55982,2022-08-11T00:00:00,Weee!
1,56538,2022-12-19T00:00:00,Weee!
1,56675,2023-01-20T00:00:00,Weee!
1,56827,2023-02-03T00:00:00,Weee!
1,56045,2022-08-25T00:00:00,Weee!
1,56928,2023-02-17T00:00:00,Weee!
1,57010,2023-03-03T00:00:00,Weee!
1,57083,2023-03-17T00:00:00,Weee!
1,56670,2023-01-06T00:00:00,Weee!
1,58200,2023-12-31T00:00:00,Weee!
1,56311,2022-10-16T00:00:00,Weee!
1,58600,2024-01-28T00:00:00,Weee!
1,59000,2024-02-26T00:00:00,Weee!
1,59000,2024-03-18T00:00:00,Weee!
1,58400,2024-01-14T00:00:00,Weee!
1,59000,2024-03-16T00:00:00,Weee!
1,59000,2024-02-25T00:00:00,Weee!
1,59000,2024-04-09T00:00:00,Weee!
1,58800,2024-02-11T00:00:00,Weee!
3,61000,2023-09-14T00:00:00,Weee!
3,60375,2023-01-06T00:00:00,Weee!
3,59279,2022-08-11T00:00:00,Weee!
3,61000,2023-10-03T00:00:00,Weee!
3,60377,2023-01-20T00:00:00,Weee!
3,61000,2023-09-28T00:00:00,Weee!
3,60543,2023-02-03T00:00:00,Weee!
3,61007,2023-05-02T00:00:00,Weee!
3,64000,2024-03-18T00:00:00,Weee!
3,63600,2024-02-11T00:00:00,Weee!
3,61000,2023-08-31T00:00:00,Weee!
3,64000,2024-03-16T00:00:00,Weee!
3,59359,2022-08-25T00:00:00,Weee!
3,61000,2023-08-17T00:00:00,Weee!
3,60658,2023-02-17T00:00:00,Weee!
3,61000,2023-07-19T00:00:00,Weee!
3,60902,2023-04-07T00:00:00,Weee!
3,59610,2022-10-07T00:00:00,Weee!
3,60746,2023-03-03T00:00:00,Weee!
3,61189,2023-10-17T00:00:00,Weee!
3,61000,2023-08-03T00:00:00,Weee!
3,60187,2022-12-19T00:00:00,Weee!
3,59463,2022-09-17T00:00:00,Weee!
3,64000,2024-04-09T00:00:00,Weee!
3,64000,2024-02-26T00:00:00,Weee!
3,62400,2023-12-31T00:00:00,Weee!
3,62800,2024-01-14T00:00:00,Weee!
3,61069,2023-05-23T00:00:00,Weee!
3,59773,2022-10-16T00:00:00,Weee!
3,59773,2022-10-24T00:00:00,Weee!
3,62000,2023-12-17T00:00:00,Weee!
3,61946,2023-12-12T00:00:00,Weee!
3,64000,2024-02-25T00:00:00,Weee!
3,59981,2022-11-21T00:00:00,Weee!
3,63200,2024-01-28T00:00:00,Weee!
3,59859,2022-11-07T00:00:00,Weee!
3,60832,2023-03-17T00:00:00,Weee!
3,61179,2023-06-05T00:00:00,Weee!
3,60159,2022-12-05T00:00:00,Weee!
3,61378,2023-10-31T00:00:00,Weee!
3,61363,2023-06-22T00:00:00,Weee!
3,61757,2023-11-28T00:00:00,Weee!
3,61568,2023-11-14T00:00:00,Weee!
3,60902,2023-04-17T00:00:00,Weee!
4,15579,2023-03-29T00:00:00,Weee!
4,15654,2023-04-16T00:00:00,Weee!
4,15654,2023-04-15T00:00:00,Weee!
4,14178,2022-08-11T00:00:00,Weee!
4,15743,2023-04-27T00:00:00,Weee!
4,15743,2023-04-30T00:00:00,Weee!
4,15654,2023-04-13T00:00:00,Weee!
4,15743,2023-04-29T00:00:00,Weee!
4,18184,2024-02-28T00:00:00,Weee!
4,18287,2024-03-07T00:00:00,Weee!
4,13481,2022-05-20T00:00:00,Weee!
4,15455,2023-03-08T00:00:00,Weee!
4,14518,2022-10-07T00:00:00,Weee!
4,14631,2022-10-16T00:00:00,Weee!
4,14631,2022-10-24T00:00:00,Weee!
4,14711,2022-11-07T00:00:00,Weee!
4,18655,2024-04-08T00:00:00,Weee!
4,14764,2022-11-21T00:00:00,Weee!
4,14822,2022-12-05T00:00:00,Weee!
4,14822,2022-12-07T00:00:00,Weee!
4,14393,2022-09-17T00:00:00,Weee!
4,18590,2024-03-31T00:00:00,Weee!
4,18508,2024-03-23T00:00:00,Weee!
4,14921,2022-12-25T00:00:00,Weee!
4,14981,2023-01-06T00:00:00,Weee!
4,15085,2023-01-18T00:00:00,Weee!
4,15085,2023-01-19T00:00:00,Weee!
4,15177,2023-01-29T00:00:00,Weee!
4,15278,2023-02-09T00:00:00,Weee!
