metric,metric_value,timestamp,company_name
1,826,2023-08-31T00:00:00,Wildtype
1,832,2023-11-23T00:00:00,Wildtype
1,817,2023-06-02T00:00:00,Wildtype
1,593,2022-05-30T00:00:00,Wildtype
1,837,2024-02-01T00:00:00,Wildtype
1,814,2023-05-14T00:00:00,Wildtype
1,825,2023-08-17T00:00:00,Wildtype
1,838,2024-02-15T00:00:00,Wildtype
1,801,2023-01-01T00:00:00,Wildtype
1,789,2022-12-04T00:00:00,Wildtype
1,692,2022-08-22T00:00:00,Wildtype
1,675,2022-08-08T00:00:00,Wildtype
1,839,2024-02-29T00:00:00,Wildtype
1,822,2023-07-06T00:00:00,Wildtype
1,830,2023-10-26T00:00:00,Wildtype
1,659,2022-07-25T00:00:00,Wildtype
1,831,2023-11-09T00:00:00,Wildtype
1,840,2024-03-18T00:00:00,Wildtype
1,609,2022-06-13T00:00:00,Wildtype
1,836,2024-01-18T00:00:00,Wildtype
1,793,2022-12-18T00:00:00,Wildtype
1,801,2023-01-15T00:00:00,Wildtype
1,811,2023-04-16T00:00:00,Wildtype
1,812,2023-04-30T00:00:00,Wildtype
1,827,2023-09-14T00:00:00,Wildtype
1,840,2024-03-16T00:00:00,Wildtype
1,626,2022-06-27T00:00:00,Wildtype
1,835,2024-01-04T00:00:00,Wildtype
1,776,2022-11-03T00:00:00,Wildtype
1,833,2023-12-07T00:00:00,Wildtype
1,757,2022-10-17T00:00:00,Wildtype
1,823,2023-07-20T00:00:00,Wildtype
1,774,2022-10-31T00:00:00,Wildtype
1,741,2022-10-03T00:00:00,Wildtype
1,816,2023-05-28T00:00:00,Wildtype
1,805,2023-02-16T00:00:00,Wildtype
1,840,2024-03-14T00:00:00,Wildtype
1,828,2023-09-28T00:00:00,Wildtype
1,841,2024-04-10T00:00:00,Wildtype
1,724,2022-09-19T00:00:00,Wildtype
1,593,2022-05-09T00:00:00,Wildtype
1,779,2022-11-19T00:00:00,Wildtype
1,824,2023-08-03T00:00:00,Wildtype
1,820,2023-06-16T00:00:00,Wildtype
1,708,2022-09-05T00:00:00,Wildtype
1,829,2023-10-12T00:00:00,Wildtype
1,805,2023-02-02T00:00:00,Wildtype
1,834,2023-12-21T00:00:00,Wildtype
1,642,2022-07-11T00:00:00,Wildtype
1,807,2023-03-24T00:00:00,Wildtype
1,804,2023-03-07T00:00:00,Wildtype
3,897,2022-12-18T00:00:00,Wildtype
3,941,2023-08-31T00:00:00,Wildtype
3,946,2023-10-12T00:00:00,Wildtype
3,943,2023-09-14T00:00:00,Wildtype
3,960,2024-02-15T00:00:00,Wildtype
3,963,2024-03-18T00:00:00,Wildtype
3,923,2023-04-30T00:00:00,Wildtype
3,961,2024-02-29T00:00:00,Wildtype
3,894,2022-12-04T00:00:00,Wildtype
3,955,2024-01-04T00:00:00,Wildtype
3,930,2023-06-02T00:00:00,Wildtype
3,963,2024-03-16T00:00:00,Wildtype
3,954,2023-12-21T00:00:00,Wildtype
3,944,2023-09-28T00:00:00,Wildtype
3,879,2022-11-19T00:00:00,Wildtype
3,963,2024-03-14T00:00:00,Wildtype
