metric,metric_value,timestamp,company_name
1,552,2023-11-19T00:00:00,Wiz
1,488,2023-01-10T00:00:00,Wiz
1,355,2022-06-01T00:00:00,Wiz
1,515,2023-05-01T00:00:00,Wiz
1,565,2024-03-02T00:00:00,Wiz
1,559,2024-01-14T00:00:00,Wiz
1,546,2023-10-08T00:00:00,Wiz
1,450,2022-09-02T00:00:00,Wiz
1,479,2022-12-24T00:00:00,Wiz
1,546,2023-09-24T00:00:00,Wiz
1,350,2022-05-18T00:00:00,Wiz
1,455,2022-09-16T00:00:00,Wiz
1,519,2023-05-15T00:00:00,Wiz
1,457,2022-09-22T00:00:00,Wiz
1,539,2023-09-02T00:00:00,Wiz
1,479,2022-12-10T00:00:00,Wiz
1,361,2022-06-15T00:00:00,Wiz
1,561,2024-01-28T00:00:00,Wiz
1,548,2023-10-22T00:00:00,Wiz
1,445,2022-08-19T00:00:00,Wiz
1,502,2023-03-08T00:00:00,Wiz
1,508,2023-03-22T00:00:00,Wiz
1,378,2022-07-27T00:00:00,Wiz
1,372,2022-07-13T00:00:00,Wiz
1,381,2022-08-04T00:00:00,Wiz
1,555,2023-12-17T00:00:00,Wiz
1,567,2024-03-16T00:00:00,Wiz
1,567,2024-03-18T00:00:00,Wiz
1,495,2023-02-22T00:00:00,Wiz
1,557,2023-12-31T00:00:00,Wiz
1,367,2022-06-29T00:00:00,Wiz
1,511,2023-04-11T00:00:00,Wiz
1,492,2023-02-07T00:00:00,Wiz
1,550,2023-11-05T00:00:00,Wiz
1,511,2023-04-17T00:00:00,Wiz
1,493,2023-01-24T00:00:00,Wiz
1,562,2024-02-03T00:00:00,Wiz
1,553,2023-12-03T00:00:00,Wiz
1,476,2022-11-12T00:00:00,Wiz
1,571,2024-04-09T00:00:00,Wiz
1,465,2022-10-07T00:00:00,Wiz
1,529,2023-07-11T00:00:00,Wiz
1,529,2023-06-27T00:00:00,Wiz
1,522,2023-05-26T00:00:00,Wiz
1,532,2023-08-08T00:00:00,Wiz
1,473,2022-10-16T00:00:00,Wiz
1,477,2022-11-26T00:00:00,Wiz
1,526,2023-06-10T00:00:00,Wiz
1,532,2023-07-25T00:00:00,Wiz
1,473,2022-10-29T00:00:00,Wiz
1,344,2022-05-04T00:00:00,Wiz
1,564,2024-02-17T00:00:00,Wiz
3,591,2023-05-01T00:00:00,Wiz
3,608,2023-06-27T00:00:00,Wiz
3,502,2022-10-07T00:00:00,Wiz
3,673,2024-03-18T00:00:00,Wiz
3,521,2022-10-29T00:00:00,Wiz
3,610,2023-07-11T00:00:00,Wiz
3,673,2024-03-16T00:00:00,Wiz
3,659,2023-12-31T00:00:00,Wiz
3,650,2023-11-19T00:00:00,Wiz
3,586,2023-04-11T00:00:00,Wiz
3,550,2023-01-24T00:00:00,Wiz
3,486,2022-08-19T00:00:00,Wiz
3,544,2023-01-10T00:00:00,Wiz
3,656,2023-12-17T00:00:00,Wiz
3,586,2023-04-17T00:00:00,Wiz
3,616,2023-07-25T00:00:00,Wiz
3,646,2023-11-05T00:00:00,Wiz
3,550,2023-02-07T00:00:00,Wiz
3,643,2023-10-22T00:00:00,Wiz
3,526,2022-11-12T00:00:00,Wiz
3,681,2024-04-09T00:00:00,Wiz
3,670,2024-03-02T00:00:00,Wiz
3,663,2024-01-28T00:00:00,Wiz
3,530,2022-12-10T00:00:00,Wiz
3,600,2023-05-26T00:00:00,Wiz
3,630,2023-09-02T00:00:00,Wiz
3,568,2023-03-08T00:00:00,Wiz
3,502,2022-09-22T00:00:00,Wiz
3,499,2022-09-16T00:00:00,Wiz
3,578,2023-03-22T00:00:00,Wiz
3,667,2024-02-17T00:00:00,Wiz
3,521,2022-10-16T00:00:00,Wiz
3,527,2022-11-26T00:00:00,Wiz
3,596,2023-05-15T00:00:00,Wiz
3,558,2023-02-22T00:00:00,Wiz
3,620,2023-08-08T00:00:00,Wiz
3,532,2022-12-24T00:00:00,Wiz
3,640,2023-09-24T00:00:00,Wiz
3,605,2023-06-10T00:00:00,Wiz
3,661,2024-01-14T00:00:00,Wiz
3,640,2023-10-08T00:00:00,Wiz
3,664,2024-02-03T00:00:00,Wiz
3,493,2022-09-02T00:00:00,Wiz
3,653,2023-12-03T00:00:00,Wiz
3,415,2022-08-04T00:00:00,Wiz
4,45453,2023-03-13T00:00:00,Wiz
4,21479,2022-08-04T00:00:00,Wiz
4,112303,2023-12-16T00:00:00,Wiz
4,30521,2022-10-16T00:00:00,Wiz
4,43439,2023-03-04T00:00:00,Wiz
4,138400,2024-03-15T00:00:00,Wiz
4,40097,2023-02-23T00:00:00,Wiz
4,33521,2022-12-07T00:00:00,Wiz
4,39294,2023-02-15T00:00:00,Wiz
4,121619,2024-01-30T00:00:00,Wiz
4,27899,2022-09-22T00:00:00,Wiz
4,32702,2022-11-26T00:00:00,Wiz
4,26766,2022-09-16T00:00:00,Wiz
4,34906,2022-12-24T00:00:00,Wiz
4,131966,2024-02-28T00:00:00,Wiz
4,124969,2024-02-09T00:00:00,Wiz
4,24123,2022-09-02T00:00:00,Wiz
4,117616,2024-01-14T00:00:00,Wiz
4,113953,2023-12-26T00:00:00,Wiz
4,135348,2024-03-07T00:00:00,Wiz
4,29024,2022-10-07T00:00:00,Wiz
4,36695,2023-01-18T00:00:00,Wiz
4,115386,2024-01-04T00:00:00,Wiz
4,21479,2022-08-19T00:00:00,Wiz
4,124969,2024-02-10T00:00:00,Wiz
4,37625,2023-01-29T00:00:00,Wiz
4,38432,2023-02-07T00:00:00,Wiz
4,30521,2022-10-29T00:00:00,Wiz
4,115386,2024-01-03T00:00:00,Wiz
4,31709,2022-11-12T00:00:00,Wiz
4,35668,2023-01-05T00:00:00,Wiz
4,67710,2023-07-03T00:00:00,Wiz
4,45453,2023-03-14T00:00:00,Wiz
4,81833,2023-08-23T00:00:00,Wiz
4,59082,2023-05-22T00:00:00,Wiz
4,59082,2023-05-21T00:00:00,Wiz
4,150479,2024-04-08T00:00:00,Wiz
4,87267,2023-09-10T00:00:00,Wiz
4,57383,2023-05-18T00:00:00,Wiz
4,91413,2023-09-24T00:00:00,Wiz
4,17863,2022-05-21T00:00:00,Wiz
4,57383,2023-05-12T00:00:00,Wiz
4,55898,2023-05-10T00:00:00,Wiz
4,91413,2023-09-25T00:00:00,Wiz
4,110313,2023-12-07T00:00:00,Wiz
4,55898,2023-05-09T00:00:00,Wiz
4,55898,2023-05-07T00:00:00,Wiz
4,98894,2023-10-15T00:00:00,Wiz
