metric,metric_value,timestamp,company_name
4,5972,2022-12-08T00:00:00,cLabs
4,6089,2023-05-28T00:00:00,cLabs
4,6064,2024-02-18T00:00:00,cLabs
4,6002,2023-02-10T00:00:00,cLabs
4,6177,2023-08-27T00:00:00,cLabs
4,6042,2023-12-20T00:00:00,cLabs
4,6071,2024-02-28T00:00:00,cLabs
4,6042,2024-01-17T00:00:00,cLabs
4,6217,2023-10-31T00:00:00,cLabs
4,6045,2023-04-13T00:00:00,cLabs
4,5994,2023-01-30T00:00:00,cLabs
4,6167,2023-08-14T00:00:00,cLabs
4,6089,2023-05-27T00:00:00,cLabs
4,6071,2024-03-07T00:00:00,cLabs
4,6034,2023-12-10T00:00:00,cLabs
4,6167,2023-08-13T00:00:00,cLabs
4,6177,2023-08-28T00:00:00,cLabs
4,5991,2023-01-20T00:00:00,cLabs
4,6100,2023-06-14T00:00:00,cLabs
4,6052,2024-02-10T00:00:00,cLabs
4,6200,2023-10-01T00:00:00,cLabs
4,6037,2023-03-21T00:00:00,cLabs
4,6042,2024-01-18T00:00:00,cLabs
4,6200,2023-09-30T00:00:00,cLabs
4,6031,2023-03-08T00:00:00,cLabs
4,6042,2024-01-19T00:00:00,cLabs
4,6100,2023-06-13T00:00:00,cLabs
4,6041,2024-01-06T00:00:00,cLabs
4,6020,2023-02-26T00:00:00,cLabs
4,6039,2023-11-13T00:00:00,cLabs
4,6046,2024-01-30T00:00:00,cLabs
4,6183,2023-09-14T00:00:00,cLabs
4,6211,2023-10-22T00:00:00,cLabs
4,6038,2023-03-29T00:00:00,cLabs
4,6008,2023-02-18T00:00:00,cLabs
4,6043,2023-12-29T00:00:00,cLabs
4,6099,2024-03-15T00:00:00,cLabs
4,6100,2023-06-15T00:00:00,cLabs
4,6100,2023-06-10T00:00:00,cLabs
4,6118,2024-04-08T00:00:00,cLabs
4,6030,2023-11-23T00:00:00,cLabs
4,6119,2023-06-28T00:00:00,cLabs
4,6143,2023-07-20T00:00:00,cLabs
4,6045,2023-04-16T00:00:00,cLabs
4,6115,2024-03-31T00:00:00,cLabs
4,6119,2023-06-29T00:00:00,cLabs
