metric,metric_value,timestamp,company_name
1,5200,2023-03-01T00:00:00,sensata-tech
1,5070,2022-08-15T00:00:00,sensata-tech
1,5300,2023-10-15T00:00:00,sensata-tech
1,5055,2022-08-01T00:00:00,sensata-tech
1,5300,2023-12-31T00:00:00,sensata-tech
1,5200,2023-07-21T00:00:00,sensata-tech
1,5300,2024-03-15T00:00:00,sensata-tech
1,5200,2023-07-23T00:00:00,sensata-tech
1,5300,2023-10-30T00:00:00,sensata-tech
1,5041,2022-07-18T00:00:00,sensata-tech
1,5026,2022-07-04T00:00:00,sensata-tech
1,5300,2023-08-26T00:00:00,sensata-tech
1,5100,2023-02-01T00:00:00,sensata-tech
1,5084,2022-08-29T00:00:00,sensata-tech
1,5300,2023-12-18T00:00:00,sensata-tech
1,5200,2023-04-07T00:00:00,sensata-tech
1,5012,2022-06-20T00:00:00,sensata-tech
1,5200,2023-07-25T00:00:00,sensata-tech
1,5200,2023-07-26T00:00:00,sensata-tech
1,5300,2023-11-13T00:00:00,sensata-tech
1,5200,2023-07-27T00:00:00,sensata-tech
1,5200,2023-07-28T00:00:00,sensata-tech
1,5300,2023-12-11T00:00:00,sensata-tech
1,4997,2022-06-06T00:00:00,sensata-tech
1,5200,2023-07-29T00:00:00,sensata-tech
1,5200,2023-08-01T00:00:00,sensata-tech
1,5200,2023-08-02T00:00:00,sensata-tech
1,5300,2024-03-18T00:00:00,sensata-tech
1,5200,2023-02-15T00:00:00,sensata-tech
1,5084,2022-08-30T00:00:00,sensata-tech
1,5200,2023-07-19T00:00:00,sensata-tech
1,5300,2024-02-03T00:00:00,sensata-tech
1,5200,2023-06-06T00:00:00,sensata-tech
1,5300,2023-09-09T00:00:00,sensata-tech
1,5100,2022-11-18T00:00:00,sensata-tech
1,5100,2022-11-11T00:00:00,sensata-tech
1,5200,2023-06-28T00:00:00,sensata-tech
1,5300,2023-09-23T00:00:00,sensata-tech
1,5300,2024-02-17T00:00:00,sensata-tech
1,5300,2023-10-01T00:00:00,sensata-tech
1,5300,2024-01-28T00:00:00,sensata-tech
1,5100,2022-10-28T00:00:00,sensata-tech
1,5100,2022-12-17T00:00:00,sensata-tech
1,5200,2023-04-21T00:00:00,sensata-tech
1,5300,2024-01-14T00:00:00,sensata-tech
1,5200,2023-07-12T00:00:00,sensata-tech
1,5200,2023-07-13T00:00:00,sensata-tech
1,5100,2022-12-31T00:00:00,sensata-tech
1,5100,2022-10-14T00:00:00,sensata-tech
1,5200,2023-05-19T00:00:00,sensata-tech
1,5200,2023-07-15T00:00:00,sensata-tech
1,5100,2023-01-14T00:00:00,sensata-tech
1,5200,2023-07-16T00:00:00,sensata-tech
1,5100,2022-09-24T00:00:00,sensata-tech
1,5200,2023-07-17T00:00:00,sensata-tech
1,5200,2023-05-05T00:00:00,sensata-tech
1,5200,2023-07-18T00:00:00,sensata-tech
1,5200,2023-05-23T00:00:00,sensata-tech
1,5200,2023-08-03T00:00:00,sensata-tech
1,5100,2022-12-03T00:00:00,sensata-tech
1,5200,2023-03-16T00:00:00,sensata-tech
1,5300,2023-11-27T00:00:00,sensata-tech
1,5200,2023-08-10T00:00:00,sensata-tech
1,5200,2023-08-13T00:00:00,sensata-tech
1,5200,2023-08-14T00:00:00,sensata-tech
