Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
AB TECHNOLOGIES INC,IT PRODUCT MANAGER,115100,115100,115100,2
AB TECHNOLOGIES INC,SOFTWARE ENGINEER,102900,102900,102900,3
AB TECHNOLOGIES INC,SOFTWARE ENGINEER,102900,102900,102900,1
AB TECHNOLOGIES INC,SITE RELIABILITY ENGINEER,101200,101200,101200,1
AB TECHNOLOGIES INC,APPLICATIONS DEVELOPER II,101200,101200,101200,1
AB TECHNOLOGIES INC,SR DEVOPS ENGINEER,101200,101200,101200,1
AB TECHNOLOGIES INC,JAVA FULL STACK DEVELOPER,101200,101200,101200,2
AB TECHNOLOGIES INC,ABAP DEVELOPER ADVANCE LEVEL,98400,98400,98400,1
AB TECHNOLOGIES INC,DEVOPS ENGINEER,96900,96900,96900,1
AB TECHNOLOGIES INC,QA UAT TESTER,82500,82500,82500,1
AB TECHNOLOGIES INC,BUSINESS ANALYST,81100,81100,81100,1
