Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
AEVA INC,PRINCIPAL DATA PLATFORM ENGINEER,255000,255000,255000,1
AEVA INC,AUTOMOTIVE EMBEDDED SOFTWARE ARCHITECT,240000,240000,240000,1
AEVA INC,SENIOR EMBEDDED SOFTWARE TEST ENGINEER,181330,181330,181330,1
AEVA INC,SENIOR SOC FIRMWARE ENGINEER,175000,175000,175000,1
AEVA INC,SENIOR SI ENGINEER,170000,170000,170000,1
AEVA INC,SENIOR SOFTWARE ENGINEER SILICON DEVELOPMENT,170000,170000,170000,1
AEVA INC,EMBEDDED SOFTWARE ENGINEER III,165000,165000,165000,1
AEVA INC,SENIOR ASIC DESIGN ENGINEER,163322,163322,163322,1
AEVA INC,SENIOR MECHANICAL ENGINEER,150938,150938,150938,1
AEVA INC,DESIGN VERIFICATION ENGINEER,149682,149682,149682,1
AEVA INC,ENGINEERING PROJECT MANAGER SOFTWARE,141045,141045,141045,1
AEVA INC,EMBEDDED SOFTWARE ENGINEER,95430,95430,95430,1
