Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
AIRBNB INC,ENGINEERING MANAGER,200000,240000,226666.66666666666,3
AIRBNB INC,STAFF SOFTWARE ENGINEER,200000,200000,200000.0,4
AIRBNB INC,DATA ENGINEER,200000,200000,200000.0,1
AIRBNB INC,SENIOR SOFTWARE ENGINEER,185000,230000,187647.0588235294,17
AIRBNB INC,TECHNICAL PROGRAM MANAGER,185000,185000,185000.0,1
AIRBNB INC,SENIOR DATA ENGINEER,185000,185000,185000.0,2
AIRBNB INC,STAFF DATA SCIENTIST,185000,185000,185000.0,1
AIRBNB INC,STAFF SYSTEMS ENGINEER,175000,175000,175000.0,3
AIRBNB INC,SYSTEMS ARCHITECT,175000,175000,175000.0,1
AIRBNB INC,SENIOR MANAGER,175000,175000,175000.0,1
AIRBNB INC,PRODUCT MANAGER,165000,185000,175000.0,2
AIRBNB INC,SENIOR DATA SCIENTIST,165000,165000,165000.0,1
AIRBNB INC,SOFTWARE ENGINEER,150000,185000,161666.66666666666,3
AIRBNB INC,SENIOR SYSTEMS ENGINEER,155000,155000,155000.0,1
AIRBNB INC,PROGRAM MANAGER,125000,125000,125000.0,1
