Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ARM INC,DIRECTOR,208395,208395,208395.0,1
ARM INC,DIRECTOR OF PRODUCT ENGINEERING,202842,202842,202842.0,1
ARM INC,PRINCIPAL ENGINEER,159702,159702,159702.0,2
ARM INC,STAFF PERFORMANCE ENGINEER,151216,151216,151216.0,1
ARM INC,STAFF RTL DESIGN ENGINEER,151216,151216,151216.0,1
ARM INC,STAFF ENGINEER,151216,151216,151216.0,1
ARM INC,SENIOR RTL DESIGN ENGINEER,151216,151216,151216.0,1
ARM INC,SENIOR LICENSING MANAGER,148595,148595,148595.0,1
ARM INC,SENIOR DESIGN ENGINEER,136760,153504,147922.66666666666,3
ARM INC,STAFF SILICON VALIDATION ENGINEER,145725,145725,145725.0,1
ARM INC,STAFF SOFTWARE ENGINEER,139464,139464,139464.0,1
ARM INC,SENIOR ENGINEER,130354,151216,137308.0,3
ARM INC,SENIOR DFT ENGINEER,130354,130354,130354.0,1
