Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ARUP US INC,ASSOCIATE,118560,148900,136940.0,4
ARUP US INC,SENIOR ENGINEER,99700,149020,125606.66666666667,3
ARUP US INC,SENIOR DESIGNER,123885,123885,123885.0,1
ARUP US INC,SENIOR CONSULTANT,122720,122720,122720.0,1
ARUP US INC,SENIOR ANALYST,100600,100600,100600.0,1
ARUP US INC,SENIOR MECHANICAL ENGINEER,97000,97000,97000.0,1
ARUP US INC,ENGINEER,94200,94200,94200.0,1
ARUP US INC,BIM DESIGNER,92019,92019,92019.0,1
ARUP US INC,GRADUATE ANALYST,83138,83138,83138.0,1
ARUP US INC,GRADUATE ENGINEER,76000,79414,77707.0,2
