Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ATOS SYNTEL INC,SENIOR BIG DATA DEVELOPER,154090,154090,154090.0,2
ATOS SYNTEL INC,TECHNICAL CONSULTANT,153518,153518,153518.0,1
ATOS SYNTEL INC,SAP CONSULTANT,145000,145000,145000.0,1
ATOS SYNTEL INC,SENIOR FULL STACK DEVELOPER,145000,145000,145000.0,1
ATOS SYNTEL INC,BI ARCHITECT,145000,145000,145000.0,1
ATOS SYNTEL INC,SALESFORCE DEVELOPER & CONSULTANT,140000,140000,140000.0,1
ATOS SYNTEL INC,CLOUD CONSULTANT ARCHITECT,140000,140000,140000.0,1
ATOS SYNTEL INC,SENIOR SOLUTIONS ARCHITECT,138299,138299,138299.0,1
ATOS SYNTEL INC,ENGAGEMENT MANAGER,109890,162800,135593.33333333334,3
ATOS SYNTEL INC,SENIOR DOT NET DEVELOPER,126500,135000,130750.0,2
ATOS SYNTEL INC,ADM DEVELOPER,130267,130267,130267.0,1
ATOS SYNTEL INC,TECH LEAD,130000,130000,130000.0,1
ATOS SYNTEL INC,QUALITY ASSURANCE LEAD,128900,128900,128900.0,1
ATOS SYNTEL INC,FULL STACK DEVELOPER,110700,150029,125474.5,8
ATOS SYNTEL INC,DATA MODELER MANAGER,123365,123365,123365.0,1
ATOS SYNTEL INC,MICROSOFT DEVELOPER,123300,123300,123300.0,1
ATOS SYNTEL INC,SOFTWARE DEVELOPER,116219,126622,123264.8,5
ATOS SYNTEL INC,SR FUNCTIONAL TECHNICAL DATA LEAD,121200,121200,121200.0,1
ATOS SYNTEL INC,MIDDLEWARE ADMINISTRATOR,120070,120070,120070.0,1
ATOS SYNTEL INC,SENIOR SOFTWARE DEVELOPER,118000,118000,118000.0,1
ATOS SYNTEL INC,DATA ARCHITECT,116010,116010,116010.0,1
ATOS SYNTEL INC,FULL STACK SENIOR CONSULTANT,115000,115000,115000.0,1
ATOS SYNTEL INC,DBA ADMINISTRATOR,115000,115000,115000.0,1
ATOS SYNTEL INC,SALESFORCE DEVELOPER,114485,114485,114485.0,1
ATOS SYNTEL INC,PROJECT MANAGER,90775,131612,114466.6,5
ATOS SYNTEL INC,ITIL PROCESS LEAD,112444,112444,112444.0,1
ATOS SYNTEL INC,QUALITY ASSURANCE ANALYST,112299,112299,112299.0,1
ATOS SYNTEL INC,MAINFRAME CICS DEVELOPER,110000,110000,110000.0,1
ATOS SYNTEL INC,SENIOR PERFORMANCE ENGINEER,109160,109160,109160.0,1
ATOS SYNTEL INC,PLATFORM ENGINEER,109000,109000,109000.0,1
ATOS SYNTEL INC,TECHNICAL ARCHITECT,90000,156106,108318.33333333333,6
ATOS SYNTEL INC,SALESFORCE SR FUNCTIONAL TECHNICAL DATA LEAD,108306,108306,108306.0,1
ATOS SYNTEL INC,CTMS SPECIALIST,108160,108160,108160.0,1
ATOS SYNTEL INC,TEST LEAD,87000,120024,106242.33333333333,3
ATOS SYNTEL INC,SENIOR QA ANALYST,106151,106151,106151.0,1
ATOS SYNTEL INC,TECHNICAL MANAGER,105044,105044,105044.0,1
ATOS SYNTEL INC,PROJECT LEAD,93654,130000,104722.25,4
ATOS SYNTEL INC,TECHNICAL LEAD,74000,145000,104338.84615384616,13
ATOS SYNTEL INC,SOFTWARE QUALITY ENGINEER,85925,118480,102202.5,2
ATOS SYNTEL INC,IT LEAD BI MOBILE,101905,101905,101905.0,1
