Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BATTELLE MEMORIAL INSTITUTE,MATERIALS SCIENTIST CHEMICAL ENGINEER,131490,131490,131490.0,1
BATTELLE MEMORIAL INSTITUTE,COMPUTER SCIENTIST,127000,127000,127000.0,1
BATTELLE MEMORIAL INSTITUTE,MATERIALS SCIENTIST NUCLEAR ENGINEER,125969,125969,125969.0,1
BATTELLE MEMORIAL INSTITUTE,ELECTRICAL ENGINEER,111578,132820,122385.0,3
BATTELLE MEMORIAL INSTITUTE,POLYMER MATERIALS SCIENTIST,121000,121000,121000.0,1
BATTELLE MEMORIAL INSTITUTE,HUMAN FACTORS ENGINEER SOFTWARE DEVELOPMENT,120227,120227,120227.0,1
BATTELLE MEMORIAL INSTITUTE,DATA SCIENTIST,118462,120000,119231.0,2
BATTELLE MEMORIAL INSTITUTE,ENERGY SYSTEM OPTIMIZATION CONTROL ENGR MECHANICAL ENGR,110682,110682,110682.0,1
BATTELLE MEMORIAL INSTITUTE,EARTH SCIENTIST ATMOSPHERIC SCIENCE,109534,109534,109534.0,1
BATTELLE MEMORIAL INSTITUTE,MATERIALS SCIENTIST CHEMIST,109263,109263,109263.0,1
BATTELLE MEMORIAL INSTITUTE,EARTH SCIENTIST ENVIRONMENTAL ENGINEER,108500,108500,108500.0,1
BATTELLE MEMORIAL INSTITUTE,BIOFUELS CHEMICAL ENGINEER,104345,104345,104345.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE CHEMICAL PHYSICS,99106,99106,99106.0,3
BATTELLE MEMORIAL INSTITUTE,CHEMICAL ENGINEER WASTE CONVERSION,97760,98285,98022.5,2
BATTELLE MEMORIAL INSTITUTE,RESEARCH ANALYST COMPUTER SYSTEMS,96862,96862,96862.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE MATERIALS SCIENTIST,94720,94720,94720.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE PHYSICIST,92178,92178,92178.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE CIVIL ENGINEER,88133,91210,90440.75,4
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE MATHEMATICIAN,89340,89340,89340.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE MATERIALS SCIENCE,86978,91210,89094.0,2
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE MECHANICAL ENGINEER,86506,91210,88858.0,2
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE OCEANOGRAPHY,85000,85000,85000.0,1
BATTELLE MEMORIAL INSTITUTE,EARTH SCIENTIST ENVIRONMENTAL SCIENCE,80000,80000,80000.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE ENVIRONMENTAL SCIENCE,78624,78624,78624.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE ENERGY ENGINEER,78570,78570,78570.0,1
BATTELLE MEMORIAL INSTITUTE,POST DOCTORATE RESEARCH ASSOCIATE ATMOSPHERIC SCIENCE,77327,77327,77327.0,1
BATTELLE MEMORIAL INSTITUTE,POST MASTERS RESEARCH ASSOCIATE CIVIL ENGINEER,64976,64976,64976.0,1
