Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BAYER US LLC,MANAGER OMNICHANNEL ANALYTICS,183744,183744,183744,1
BAYER US LLC,PRINCIPAL BIOTECH DATA SCIENTIST,181650,181650,181650,1
BAYER US LLC,ESTIMATING MANAGER,170543,170543,170543,1
BAYER US LLC,SENIOR TECHNICAL PLATFORM ENGINEER,161531,161531,161531,1
BAYER US LLC,LEAD & CONTRACT OWNER AGM,155602,155602,155602,2
BAYER US LLC,SR MANAGER PRINCIPAL STATISTICAL ANALYST,154970,154970,154970,1
BAYER US LLC,SENIOR ENTERPRISE PRODUCT MANAGER,154394,154394,154394,1
BAYER US LLC,PLATFORM TECH ARCHITECT,152443,152443,152443,1
BAYER US LLC,STAFF SCIENTIST,136000,136000,136000,1
BAYER US LLC,PRODUCT SPECIALIST,131436,131436,131436,2
BAYER US LLC,PROCESS DEVELOPMENT SCIENTIST,119776,119776,119776,1
