Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BECTON DICKINSON AND COMPANY,MANAGER PROJECT PROGRAM MANAGEMENT,164000,164000,164000,1
BECTON DICKINSON AND COMPANY,SR MANAGER SYSTEMS ENGINEERING SOFTWARE SYSTEMS,160000,160000,160000,1
BECTON DICKINSON AND COMPANY,STAFF ENG I SAFETY & COMPLIANCE ELECTRICAL ENGINEERING,156000,156000,156000,1
BECTON DICKINSON AND COMPANY,STAFF ENG 1 SAFETY & COMPLIANCE ELECTRICAL ENGINEERING,156000,156000,156000,1
BECTON DICKINSON AND COMPANY,SR MANAGER SOFTWARE ENGINEERING,144000,144000,144000,1
BECTON DICKINSON AND COMPANY,MANAGER REGULATORY AFFAIRS,144000,144000,144000,1
BECTON DICKINSON AND COMPANY,SR SOFTWARE ENGINEER,144000,144000,144000,1
BECTON DICKINSON AND COMPANY,ASSOCIATE DIRECTOR ENTERPRISE CHANGE TO WIN EXECUTION,143000,143000,143000,1
BECTON DICKINSON AND COMPANY,AUTOMATION ENGINEER,135000,135000,135000,1
BECTON DICKINSON AND COMPANY,BUSINESS PROCUREMENT MANAGER,132000,132000,132000,1
BECTON DICKINSON AND COMPANY,STAFF DESIGN DEVELOPMENT ENGINEER,130000,130000,130000,1
BECTON DICKINSON AND COMPANY,SOLUTIONS DEVELOPER STRATEGIC INITIATIVES,128000,128000,128000,1
BECTON DICKINSON AND COMPANY,PRODUCT MANAGER,125000,125000,125000,1
BECTON DICKINSON AND COMPANY,ENGINEER 3 SOFTWARE TEST,113000,113000,113000,1
BECTON DICKINSON AND COMPANY,PRODUCTION SUPERVISOR,105000,105000,105000,2
BECTON DICKINSON AND COMPANY,MANUFACTURING ENGINEER,105000,105000,105000,1
BECTON DICKINSON AND COMPANY,SPEC 3 R&D PROJECT MANAGEMENT,103939,103939,103939,1
BECTON DICKINSON AND COMPANY,HUMAN FACTORS ENGINEER 2,98000,98000,98000,1
BECTON DICKINSON AND COMPANY,PRODUCT ENGINEER LEAD,95000,95000,95000,2
BECTON DICKINSON AND COMPANY,SENIOR ENGINEER I,95000,95000,95000,1
BECTON DICKINSON AND COMPANY,PROJECT ENGINEER LEAD,95000,95000,95000,1
BECTON DICKINSON AND COMPANY,PLANT OPERATIONAL EXCELLENCE ENGINEER,90000,90000,90000,1
BECTON DICKINSON AND COMPANY,QUALITY ENGINEER II VALIDATION & CUSTOMER COMPLAINTS,88000,88000,88000,1
BECTON DICKINSON AND COMPANY,ENVIRONMENTAL COMPLIANCE & SUSTAINABILITY SPECIALIST,86000,86000,86000,2
BECTON DICKINSON AND COMPANY,ENVIRONMENTAL COMPLIANCE & SUSTAINABILITY SPECIALI,86000,86000,86000,1
BECTON DICKINSON AND COMPANY,GLOBAL SUPPLY PLANNER,83000,83000,83000,1
