Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BEST BUY CO INC,SENIOR FULL STACK ENGINEER,177517,177517,177517.0,1
BEST BUY CO INC,ENGINEERING SENIOR MANAGER,175100,175100,175100.0,1
BEST BUY CO INC,SENIOR ENGINEERING MANAGER,173040,173040,173040.0,2
BEST BUY CO INC,LEAD ENGINEER APPLICATION DEVELOPER CRM,169126,169126,169126.0,1
BEST BUY CO INC,STAFF ENGINEER,165830,168118,166974.0,2
BEST BUY CO INC,ENGINEERING LEAD COMMERCE PLATFORM,158703,158703,158703.0,1
BEST BUY CO INC,SENIOR SOFTWARE ENGINEER,155864,158516,157432.6,5
BEST BUY CO INC,LEAD ENGINEER,134415,183582,154823.0,3
BEST BUY CO INC,ENGINEERING MANAGER,154550,154550,154550.0,1
BEST BUY CO INC,SENIOR PRODUCT MANAGER – DATA DEVELOPMENT & OPERATIONS,154500,154500,154500.0,1
BEST BUY CO INC,SENIOR DATABASE ADMINISTRATOR,148526,148526,148526.0,1
BEST BUY CO INC,SENIOR DIGITAL ENGINEER QA,145000,145000,145000.0,1
BEST BUY CO INC,SOFTWARE ENGINEER II – RETAIL TECH,144730,144730,144730.0,1
BEST BUY CO INC,SENIOR DATA SCIENTIST,138275,145000,141637.5,2
BEST BUY CO INC,TECHNOLOGY PRODUCT MANAGER,131531,148879,140205.0,2
BEST BUY CO INC,WEB ENGINEER,133120,133120,133120.0,1
BEST BUY CO INC,DIGITAL & TECHNOLOGY D&T SENIOR ENGINEER,131968,131968,131968.0,1
BEST BUY CO INC,SENIOR WEB BUSINESS ANALYST,131314,131314,131314.0,1
BEST BUY CO INC,PRODUCT MANAGER,130492,130492,130492.0,1
BEST BUY CO INC,ENGINEER II,130000,130000,130000.0,1
BEST BUY CO INC,SOFTWARE ENGINEER II,110000,140000,128790.66666666667,3
BEST BUY CO INC,DIGITAL ENGINEER II PERFORMANCE AND RESILIENCE ENGINEERING,128355,128355,128355.0,1
BEST BUY CO INC,SECURITY ENGINEER ATTACK SURFACE MANAGEMENT,122235,122235,122235.0,1
BEST BUY CO INC,DECISION SCIENTIST,95257,95257,95257.0,1
