Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BIRLASOFT SOLUTIONS INC,SENIOR DIRECTOR PRE SALES,210000,210000,210000.0,1
BIRLASOFT SOLUTIONS INC,PRACTICE DIRECTOR,161500,161500,161500.0,1
BIRLASOFT SOLUTIONS INC,LEAD ARCHITECT,134517,134517,134517.0,1
BIRLASOFT SOLUTIONS INC,PROJECT MANAGER,98301,140000,114412.75,4
BIRLASOFT SOLUTIONS INC,PROGRAM MANAGER,86674,135000,110837.0,2
BIRLASOFT SOLUTIONS INC,SENIOR TECHNICAL LEAD,106000,106000,106000.0,1
BIRLASOFT SOLUTIONS INC,SENIOR SOLUTION ARCHITECT,105650,105650,105650.0,1
BIRLASOFT SOLUTIONS INC,SENIOR PRINCIPAL CONSULTANT,94598,112656,104391.33333333333,3
BIRLASOFT SOLUTIONS INC,SENIOR LEAD CONSULTANT,70470,141831,102546.85714285714,7
BIRLASOFT SOLUTIONS INC,PRINCIPAL CONSULTANT,75109,119808,101735.0,8
BIRLASOFT SOLUTIONS INC,SOLUTION ARCHITECT,80766,115918,99686.33333333333,3
BIRLASOFT SOLUTIONS INC,LEAD CONSULTANT,73570,120000,95781.0,5
BIRLASOFT SOLUTIONS INC,CONSULTANT SPECIALIST,81000,92560,86780.0,2
BIRLASOFT SOLUTIONS INC,TEST SPECIALIST,85925,85925,85925.0,1
BIRLASOFT SOLUTIONS INC,SENIOR CONSULTANT,77210,77210,77210.0,1
