Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BLOOMBERG LP,PRODUCT SECURITY TEAM LEADER,239200,239200,239200.0,1
BLOOMBERG LP,MACHINE LEARNING TEAM LEADER,183414,210000,196707.0,2
BLOOMBERG LP,TEAM LEADERS,183414,183414,183414.0,2
BLOOMBERG LP,TEAM LEADER,183414,183414,183414.0,11
BLOOMBERG LP,TECHNICAL PROGRAM MANAGER,183414,183414,183414.0,2
BLOOMBERG LP,MACHINE LEARNING ENGINEER,142563,200000,161708.66666666666,3
BLOOMBERG LP,NETWORK SERVICES ORCHESTRATION AND AUTOMATION ARCHITECT,148970,148970,148970.0,1
BLOOMBERG LP,SENIOR SOFTWARE ENGINEER,142563,181272,145929.0,23
BLOOMBERG LP,SENIOR INFORMATICA EDC AXON ENGINEER,143291,143291,143291.0,1
BLOOMBERG LP,SAP BPC AND ABAP DEVELOPER,142563,142563,142563.0,1
BLOOMBERG LP,SENIOR ML PLATFORM ENGINEER,142563,142563,142563.0,1
BLOOMBERG LP,SOFTWARE ENGINEER,115918,147368,118538.83333333333,12
BLOOMBERG LP,QUANTITATIVE ANALYST,109845,118477,115599.66666666667,3
BLOOMBERG LP,EDITORIAL TEAM LEADER,115398,115398,115398.0,1
BLOOMBERG LP,INCIDENT MANAGER,115066,115066,115066.0,1
BLOOMBERG LP,FINANCE SPECIALIST,112715,112715,112715.0,1
BLOOMBERG LP,PRODUCT ANALYST,112715,112715,112715.0,1
BLOOMBERG LP,PHYSICAL ASSETS DATA PRODUCT MANAGER,110344,110344,110344.0,1
BLOOMBERG LP,ENERGY SPECIALIST,108846,108846,108846.0,1
BLOOMBERG LP,PORTFOLIO IMPLEMENTATION SPECIALIST ENTERPRISE SERVICES,108306,108306,108306.0,1
BLOOMBERG LP,BNEF INTELLIGENT MOBILITY ASSOCIATE,108306,108306,108306.0,1
BLOOMBERG LP,PORTFOLIO IMPLEMENTATION SPECIALIST – ENTERPRISE SERVICES,108306,108306,108306.0,1
BLOOMBERG LP,DATA ANALYST,108306,108306,108306.0,1
BLOOMBERG LP,HR INFORMATION SYSTEM ANALYST,103730,103730,103730.0,1
BLOOMBERG LP,TECHNICAL SPECIALIST – INFRASTRUCTURE SUPPORT ENGINEER,103730,103730,103730.0,1
BLOOMBERG LP,SENIOR PROJECT MANAGER,103730,103730,103730.0,2
BLOOMBERG LP,CONTENT ANALYST,103542,103542,103542.0,1
BLOOMBERG LP,NETWORK OPERATIONS ENGINEER,92726,92726,92726.0,1
BLOOMBERG LP,EDITOR,83387,83387,83387.0,1
BLOOMBERG LP,APPLIED DATA ANALYST,78478,78478,78478.0,1
BLOOMBERG LP,SOLUTIONS ARCHITECT,78478,78478,78478.0,1
BLOOMBERG LP,IMPLEMENTATION SPECIALIST,78478,78478,78478.0,1
