Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
BRISTOL MYERS SQUIBB COMPANY,EXECUTIVE DIRECTOR DIGITAL TRANSFORMATION,355350,355350,355350.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE MEDICAL DIRECTOR MEDICAL SAFETY REVIEW,210326,210326,210326.0,1
BRISTOL MYERS SQUIBB COMPANY,DIRECTOR GLOBAL COMMERCIAL PORTFOLIO REPORTING AND ANALYTIC,200000,200000,200000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR IMMUNO ONCOLOGY SOLID TUMOR ANALYTICS,188361,188361,188361.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR ASSET MANAGEMENT IT SYSTEMS,185000,185000,185000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR PREDICTIVE PATIENT SOLUTIONS,185000,185000,185000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR IT RISK AND SECURITY PRODUCT MANAGER,185000,185000,185000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR ANALYTICS ENGINEERING,183000,185000,184000.0,2
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR US PREDICTIVE CUSTOMER ENGAGEMENT,183000,183000,183000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR PRECISION MEDICINE TECHNICAL LEAD,180200,180200,180200.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR SCIENTIST,180000,180000,180000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR SD&OP ANALYTICS CELL THERAPY,178000,178000,178000.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR HEMATOLOGY BUSINESS INSIGHTS & ANALYTICS,170346,180000,175173.0,2
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR OF DATA SCIENCE,172721,172721,172721.0,1
BRISTOL MYERS SQUIBB COMPANY,ASSOCIATE DIRECTOR EXTERNAL DATA ACQUISITION,170000,170000,170000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR DEVOPS ENGINEER SRE CLOUDOPS,170000,170000,170000.0,1
BRISTOL MYERS SQUIBB COMPANY,SR MGR ENGINEERING AND OPERATIONS DATA & ANALYTICS IT,164800,164800,164800.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER STATISTICAL PROGRAMMER,162000,162000,162000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER CLINICAL DATA REPORTING & ANALYTICS,159135,159135,159135.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR RESEARCH INVESTIGATOR QSP,159000,159000,159000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER QUALITY ANALYTICS,158000,158000,158000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER DATA AND ANALYTICS DRUG DEVELOPMENT IT,155000,155000,155000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER BIOSTATISTICS,134095,180000,151825.2857142857,7
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER STATISTICAL PROGRAMMING,144266,156000,151514.66666666666,3
BRISTOL MYERS SQUIBB COMPANY,MANAGER BIOSTATISTICS,150437,150437,150437.0,1
BRISTOL MYERS SQUIBB COMPANY,RDC DATA ENGINEER,150000,150000,150000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER STATISTICS,148526,148526,148526.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER ENTERPRISE INTEGRATION SENIOR DEVELOPER,148000,148000,148000.0,1
BRISTOL MYERS SQUIBB COMPANY,PRINCIPAL SOFTWARE ENGINEER REAL TIME DATA INTEGRATION,145000,145000,145000.0,1
BRISTOL MYERS SQUIBB COMPANY,CATEGORY LEAD PACKAGING & DEVICES,145000,145000,145000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER CLINICAL DATA MANAGEMENT,135000,148526,142249.0,3
BRISTOL MYERS SQUIBB COMPANY,SENIOR STATISTICIANS,140316,140316,140316.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER IT BUSINESS ANALYST FOR GRS,140000,140000,140000.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER STATISTICAL PROGRAMMING,114407,145000,131475.4,5
BRISTOL MYERS SQUIBB COMPANY,SENIOR MANAGER I REGULATORY PORTFOLIO MANAGEMENT,130000,130000,130000.0,1
BRISTOL MYERS SQUIBB COMPANY,PROJECT COORDINATOR ANALYST PD APPLICATIONS,128750,128750,128750.0,1
BRISTOL MYERS SQUIBB COMPANY,SCIENTIST PROTEIN SCIENCES,127820,127820,127820.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER MANUFACTURING IT SYSTEMS QUALITY & COMPLIANCE,127000,127000,127000.0,1
BRISTOL MYERS SQUIBB COMPANY,PRINCIPAL SCIENTIST DATA SCIENCE,126507,126507,126507.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER LEAD OPTIMIZATION FULL STACK DEVELOPER RESEARCH IT,125000,125000,125000.0,1
BRISTOL MYERS SQUIBB COMPANY,SCIENTIST FORMULATION DEVELOPMENT,120000,120000,120000.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER REGISTRATION & ELN DIGITAL DELIVERY RESEARCH IT,120000,120000,120000.0,1
BRISTOL MYERS SQUIBB COMPANY,SCIENTIST,120000,120000,120000.0,1
BRISTOL MYERS SQUIBB COMPANY,MANUFACTURING EXECUTION SYSTEMS ENGINEER I,120000,120000,120000.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER AI AND CLOUD ENGINEER,115000,115000,115000.0,1
BRISTOL MYERS SQUIBB COMPANY,MANAGER MES DEVELOPMENT ENGINEER,115000,115000,115000.0,2
BRISTOL MYERS SQUIBB COMPANY,IOT ENGINEER,110000,110000,110000.0,1
BRISTOL MYERS SQUIBB COMPANY,GPS DATA & ANALYTICS SOLUTION ARCHITECT,105000,105000,105000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR SPECIALIST LABORATORY AND QUALITY SYSTEM ENGINEER,103000,103000,103000.0,1
BRISTOL MYERS SQUIBB COMPANY,SENIOR SPECIALIST MASTER DATA COORDINATOR,100000,100000,100000.0,2
BRISTOL MYERS SQUIBB COMPANY,DATA INTELLIGENCE AND ANALYTICS ENGINEER CELL THERAPY,90000,95000,92500.0,2
