Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
CANOO TECHNOLOGIES INC,DIRECTOR INVESTOR RELATIONS AND CAPITAL MARKETS,220000,220000,220000,2
CANOO TECHNOLOGIES INC,EXTERIOR PRODUCTION SURFACING MANAGER,200145,200145,200145,1
CANOO TECHNOLOGIES INC,DIRECTOR OF MANUFACTURING ENGINEERING,200000,200000,200000,1
CANOO TECHNOLOGIES INC,SENIOR ENGINEER SUPPLIER QUALITY,150000,150000,150000,1
CANOO TECHNOLOGIES INC,SENIOR CLOUD BACKEND ENGINEER,145000,145000,145000,1
CANOO TECHNOLOGIES INC,SR VEHICLE INTEGRATION ENGINEER,140400,140400,140400,1
CANOO TECHNOLOGIES INC,VEHICLE TEST ENGINEER,140000,140000,140000,1
CANOO TECHNOLOGIES INC,SENIOR THERMAL SYSTEMS ENGINEER,135000,135000,135000,1
CANOO TECHNOLOGIES INC,EXTERIOR SYSTEMS ENGINEER,132000,132000,132000,1
CANOO TECHNOLOGIES INC,PROPULSION SYSTEM CONTROLS MANAGER,115500,115500,115500,1
