Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
CGI TECHNOLOGIES AND SOLUTIONS INC,FUNCTIONAL ANALYST SME,155191,155191,155191.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ARCHITECT,105000,167420,143384.0,5
CGI TECHNOLOGIES AND SOLUTIONS INC,INFORMATION SYSTEMS ENGINEER,143120,143120,143120.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,DATABASE ADMINISTRATOR,141639,141639,141639.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,DATABASE ARCHITECT DATA ARCHITECT,141500,141500,141500.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,DIRECTOR CONSULTING SERVICES,140000,140000,140000.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,DATABASE ENGINEER,113300,169728,139615.4705882353,17
CGI TECHNOLOGIES AND SOLUTIONS INC,DIRECTOR CONSULTING — SERVICE DELIVERY MANAGER,131826,131826,131826.0,2
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE ENGINEER,100000,143100,129383.0,10
CGI TECHNOLOGIES AND SOLUTIONS INC,SCRUM MASTER,115000,141960,127565.71428571429,7
CGI TECHNOLOGIES AND SOLUTIONS INC,FINANCIAL QUANTITATIVE ANALYST,125000,125000,125000.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,BUSINESS SYSTEM ANALYST,123500,123500,123500.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,BUSINESS SYSTEMS ANALYST,97862,145000,121275.0,7
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE QUALITY TEST ENGINEER,81099,157383,117198.2,10
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE DEVELOPER,77251,164500,114519.19642857143,56
CGI TECHNOLOGIES AND SOLUTIONS INC,DEVOPS ENGINEER,110000,113000,111500.0,2
CGI TECHNOLOGIES AND SOLUTIONS INC,SYSTEMS ANALYST,108000,113000,110500.0,2
CGI TECHNOLOGIES AND SOLUTIONS INC,PRODUCT OWNER,110000,110000,110000.0,1
CGI TECHNOLOGIES AND SOLUTIONS INC,PROJECT MANAGER,73923,131325,109649.6,5
CGI TECHNOLOGIES AND SOLUTIONS INC,SOFTWARE QUALITY ASSURANCE ANALYST,101000,104500,102750.0,2
CGI TECHNOLOGIES AND SOLUTIONS INC,PROGRAMMER ANALYST,85000,122408,102093.14285714286,7
CGI TECHNOLOGIES AND SOLUTIONS INC,PRODUCTION SUPPORT SPECIALIST,85029,113853,99441.0,2
