Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
CHARGEPOINT INC,CHIEF INFORMATION SECURITY OFFICER,277849,277849,277849,1
CHARGEPOINT INC,DIRECTOR OF EMBEDDED SOFTWARE ENGINEERING PROGRAM MANAGEMENT,228550,228550,228550,1
CHARGEPOINT INC,SENIOR STAFF POWER ELECTRONICS ENGINEER,200000,200000,200000,1
CHARGEPOINT INC,SENIOR QA MANAGER,190000,190000,190000,1
CHARGEPOINT INC,SENIOR TECHNICAL LEAD,185000,185000,185000,1
CHARGEPOINT INC,SENIOR STAFF THERMAL DESIGN ENGINEER,182000,182000,182000,1
CHARGEPOINT INC,DIRECTOR RESIDENTIAL BUSINESS DEVELOPMENT,174000,174000,174000,1
CHARGEPOINT INC,STAFF INTEGRATION ENGINEER,173000,173000,173000,1
CHARGEPOINT INC,SENIOR SOFTWARE ENGINEERING PROGRAM MANAGER,160500,160500,160500,1
CHARGEPOINT INC,SENIOR ELECTRICAL ENGINEER,141440,141440,141440,1
CHARGEPOINT INC,SENIOR RELIABILITY FAILURE ANALYSIS ENGINEER,130424,130424,130424,1
CHARGEPOINT INC,HARDWARE TECHNICAL PROGRAM MANAGER,120000,120000,120000,1
