Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
CHIME FINANCIAL INC,PRINCIPAL IT PRODUCT MANAGER,275000,275000,275000.0,1
CHIME FINANCIAL INC,STAFF SOFTWARE ENGINEER,260000,260000,260000.0,1
CHIME FINANCIAL INC,SENIOR SOFTWARE ENGINEER DATA ARCHITECT,232200,232200,232200.0,1
CHIME FINANCIAL INC,ENGINEERING MANAGER,225000,230859,227929.5,2
CHIME FINANCIAL INC,SENIOR DATA SCIENTIST,200000,240000,223333.33333333334,3
CHIME FINANCIAL INC,SENIOR SOFTWARE ENGINEER,181272,232200,215006.0,11
CHIME FINANCIAL INC,SENIOR DATA ANALYST,180000,180000,180000.0,1
CHIME FINANCIAL INC,SENIOR IT PRODUCT MANAGER,172536,172536,172536.0,1
CHIME FINANCIAL INC,SENIOR PROGRAM MANAGER,161300,161300,161300.0,1
CHIME FINANCIAL INC,SENIOR IT PROGRAM MANAGER,161300,161300,161300.0,1
CHIME FINANCIAL INC,SENIOR DATA OPTIMIZATION ANALYST,145000,145000,145000.0,1
CHIME FINANCIAL INC,SR RISK ANALYST,133300,133300,133300.0,1
CHIME FINANCIAL INC,RISK ANALYST,125000,125000,125000.0,1
CHIME FINANCIAL INC,SOFTWARE ENGINEER,119000,119000,119000.0,1
CHIME FINANCIAL INC,ACCOUNTANT,90646,90646,90646.0,1
