Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
COMCAST CABLE COMMUNICATIONS LLC,SR DIRECTOR SOFTWARE DEV & ENGINEERING,205962,205962,205962.0,1
COMCAST CABLE COMMUNICATIONS LLC,PRINCIPAL ENGINEER SOFTWARE DEV & ENG BACKEND ENG,191463,191463,191463.0,1
COMCAST CABLE COMMUNICATIONS LLC,ENG 5 SW DEVELOPMENT & ENGINEERING BACKEND ENGINEERING,189774,189774,189774.0,1
COMCAST CABLE COMMUNICATIONS LLC,MANAGER MACHINE LEARNING,183121,183121,183121.0,1
COMCAST CABLE COMMUNICATIONS LLC,SR PRODUCT MANAGER,181813,181813,181813.0,1
COMCAST CABLE COMMUNICATIONS LLC,DIRECTOR 1 SOFTWARE DEVELOPMENT & ENGINEERING,157394,190745,174069.5,2
COMCAST CABLE COMMUNICATIONS LLC,ENGINEER 5 SOFTWARE DEVELOPMENT & ENGIN EMBEDDED ENG,170847,170847,170847.0,1
COMCAST CABLE COMMUNICATIONS LLC,SENIOR DATA ENGINEER,170847,170847,170847.0,1
COMCAST CABLE COMMUNICATIONS LLC,DIRECTOR 1 DATA SCIENCE,170305,170305,170305.0,1
COMCAST CABLE COMMUNICATIONS LLC,LEAD SOFTWARE ENGINEER,169229,169229,169229.0,2
COMCAST CABLE COMMUNICATIONS LLC,LEAD MACHINE LEARNING ENGINEER,168854,168854,168854.0,1
COMCAST CABLE COMMUNICATIONS LLC,PRINCIPAL ENG SOFTWARE DEV & ENG FULL STACK DEVELOPMENT,165173,165173,165173.0,1
COMCAST CABLE COMMUNICATIONS LLC,PRINCIPAL ENGINEER II CYBER SECURITY ENGINEERING,165173,165173,165173.0,1
COMCAST CABLE COMMUNICATIONS LLC,PRINCIPAL SOFTWARE ENGINEER DATA,165173,165173,165173.0,1
COMCAST CABLE COMMUNICATIONS LLC,SR SOFTWARE CLOUD ENGINEER,157643,157643,157643.0,1
COMCAST CABLE COMMUNICATIONS LLC,DIRECTOR 1 SOFTWARE DEV & ENG MOBILE DEVELOPMENT,157394,157394,157394.0,1
COMCAST CABLE COMMUNICATIONS LLC,SR MANAGER SOFTWARE DEVELOPMENT & ENGINEERING,157394,157394,157394.0,1
COMCAST CABLE COMMUNICATIONS LLC,MANAGER 2 CYBER SECURITY ENGIN IDENTITY & ACCESS MNGMNT,157394,157394,157394.0,2
COMCAST CABLE COMMUNICATIONS LLC,SR MANAGER SOFTWARE DEVELOPMENT & ENGINEERING EMBEDDED ENG,157394,157394,157394.0,1
COMCAST CABLE COMMUNICATIONS LLC,DIRECTOR SW DEVELOPMENT & ENGINEERING FULL STACK DEVLP,157394,157394,157394.0,1
