Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
COMPUNNEL SOFTWARE GROUP INC,BUSINESS ANALYST,127500,127500,127500.0,2
COMPUNNEL SOFTWARE GROUP INC,DATABASE ADMINISTRATION,122000,122000,122000.0,1
COMPUNNEL SOFTWARE GROUP INC,QA ENGINEER,122000,122000,122000.0,1
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE DEVELOPER BI DEVELOPER,121500,121500,121500.0,1
COMPUNNEL SOFTWARE GROUP INC,INFORMATION TECHNOLOGY PROJECT MANAGER,120000,120000,120000.0,1
COMPUNNEL SOFTWARE GROUP INC,SENIOR SOFTWARE DEVELOPER,116000,116000,116000.0,1
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE DEVELOPER SOFTWARE ENGINEER,116000,116000,116000.0,4
COMPUNNEL SOFTWARE GROUP INC,DATA ANALYST,115000,115000,115000.0,1
COMPUNNEL SOFTWARE GROUP INC,SCRUM MASTER,115000,115000,115000.0,1
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE DEVELOPER,81000,163000,114893.50961538461,208
COMPUNNEL SOFTWARE GROUP INC,WEB ADMINISTRATOR,112320,112320,112320.0,2
COMPUNNEL SOFTWARE GROUP INC,SYSTEMS ANALYSTS,110500,110500,110500.0,1
COMPUNNEL SOFTWARE GROUP INC,SYSTEMS ANALYST,84000,170000,105024.51612903226,62
COMPUNNEL SOFTWARE GROUP INC,DATABASE ADMINISTRATOR,80000,130000,104050.0,5
COMPUNNEL SOFTWARE GROUP INC,SYSTEM ANALYST,100100,104250,102175.0,2
COMPUNNEL SOFTWARE GROUP INC,NETWORK AND SYSTEMS ADMINISTRATOR,94500,106000,100250.0,2
COMPUNNEL SOFTWARE GROUP INC,SOLUTION ARCHITECT,100000,100000,100000.0,1
COMPUNNEL SOFTWARE GROUP INC,AUTOMATION TESTER,100000,100000,100000.0,1
COMPUNNEL SOFTWARE GROUP INC,QA TESTER,100000,100000,100000.0,2
COMPUNNEL SOFTWARE GROUP INC,WEB DEVELOPER,99840,99840,99840.0,1
COMPUNNEL SOFTWARE GROUP INC,BUSINESS SYSTEMS ANALYST,85500,104500,96375.0,6
COMPUNNEL SOFTWARE GROUP INC,COMPUTER SYSTEMS ADMINISTRATOR,95000,95000,95000.0,1
COMPUNNEL SOFTWARE GROUP INC,NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR,94500,94500,94500.0,1
COMPUNNEL SOFTWARE GROUP INC,BUSINESS INTELLIGENCE ANALYST,79500,109000,94250.0,2
COMPUNNEL SOFTWARE GROUP INC,SYSTEMS ENGINEER,78500,131500,93489.47368421052,19
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE QUALITY ASSURANCE ANALYST AND TESTER,75000,99750,91475.0,6
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE QUALITY ASSURANCE ENGINEER AND TESTER,80500,100500,90231.81818181818,11
COMPUNNEL SOFTWARE GROUP INC,INFORMATION SECURITY ENGINEER,90000,90000,90000.0,1
COMPUNNEL SOFTWARE GROUP INC,NETWORK SUPPORT SPECIALIST,79000,79000,79000.0,1
COMPUNNEL SOFTWARE GROUP INC,SYSTEM ENGINEER,78500,78500,78500.0,1
COMPUNNEL SOFTWARE GROUP INC,NETWORK AND SYSTEM ADMINISTRATOR,78000,78000,78000.0,2
COMPUNNEL SOFTWARE GROUP INC,SOFTWARE QUALITY ASSURANCE ENGINEER,75000,75000,75000.0,1
