Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
CORPORATE SOLUTIONS GENERAL INC,SAP BW DEVELOPER,121222,121222,121222,1
CORPORATE SOLUTIONS GENERAL INC,SAP BW HANA DEVELOPER,98301,98301,98301,1
CORPORATE SOLUTIONS GENERAL INC,SALESFORCE DEVELOPER,91333,91333,91333,2
CORPORATE SOLUTIONS GENERAL INC,SAP BASIS ADMINISTRATOR,90022,90022,90022,1
CORPORATE SOLUTIONS GENERAL INC,WEB APPLICATION SECURITY SPECIALIST,82306,82306,82306,1
CORPORATE SOLUTIONS GENERAL INC,IT SHAREPOINT ADMINISTRATOR,79851,79851,79851,1
CORPORATE SOLUTIONS GENERAL INC,SRE CLOUD ENGINEER,75130,75130,75130,1
CORPORATE SOLUTIONS GENERAL INC,SOFTWARE ENGINEER,71531,71531,71531,2
CORPORATE SOLUTIONS GENERAL INC,SYSTEMS ENGINEER,71531,71531,71531,2
CORPORATE SOLUTIONS GENERAL INC,DATA ENGINEER,71531,71531,71531,2
CORPORATE SOLUTIONS GENERAL INC,BUSINESS ANALYST,70886,70886,70886,1
