Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
COUPANG GLOBAL LLC,SR DIRECTOR OF ENGINEERING FTS PLATFORM & SYSTEMS,229986,229986,229986.0,1
COUPANG GLOBAL LLC,SENIOR STAFF CLOUD ENGINEER,210704,210704,210704.0,1
COUPANG GLOBAL LLC,DIRECTOR PRODUCT MANAGEMENT,210704,210704,210704.0,1
COUPANG GLOBAL LLC,STAFF MACHINE LEARNING ENGINEER,174117,210704,198508.33333333334,3
COUPANG GLOBAL LLC,STAFF BACK END ENGINEER,182312,210704,196508.0,2
COUPANG GLOBAL LLC,STAFF SOFTWARE ENGINEER,182312,210704,191776.0,3
COUPANG GLOBAL LLC,STAFF SECURITY ENGINEER,187262,187262,187262.0,1
COUPANG GLOBAL LLC,STAFF CLOUD PLATFORM ENGINEER,182312,182312,182312.0,1
COUPANG GLOBAL LLC,STAFF BACKEND ENGINEER,182312,182312,182312.0,1
COUPANG GLOBAL LLC,SENIOR STAFF BACKEND ENGINEER,182312,182312,182312.0,1
COUPANG GLOBAL LLC,STAFF DATA ENGINEER,174117,174117,174117.0,1
COUPANG GLOBAL LLC,SENIOR DATA SCIENTIST,170186,170186,170186.0,1
COUPANG GLOBAL LLC,SENIOR SOFTWARE ENGINEER,168709,168709,168709.0,1
COUPANG GLOBAL LLC,SENIOR BACKEND ENGINEER,155418,155418,155418.0,2
COUPANG GLOBAL LLC,STAFF BUSINESS ANALYST,141086,141086,141086.0,1
COUPANG GLOBAL LLC,INDUSTRIAL ENGINEER,64958,64958,64958.0,1
