Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE DEVELOPER,88500,88500,88500,1
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE JAVA DEVELOPER,86000,86000,86000,1
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE DEVOPS ENGINEER,80000,103000,86000,4
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE WORKDAY DEVELOPER,82000,82000,82000,1
DEVOIR SOFTWARE SOLUTIONS LLC,SYSTEMS ENGINEER,82000,82000,82000,2
DEVOIR SOFTWARE SOLUTIONS LLC,IT PROJECT MANAGER,80000,80000,80000,1
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE JAVA FULL STACK DEVELOPER,80000,80000,80000,1
DEVOIR SOFTWARE SOLUTIONS LLC,TECHNICAL PROGRAM MANAGER,75000,75000,75000,1
DEVOIR SOFTWARE SOLUTIONS LLC,BUSINESS INTELLIGENCE ANALYST,72000,72000,72000,1
DEVOIR SOFTWARE SOLUTIONS LLC,SOFTWARE ENGINEER,66300,66300,66300,1
