Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
DOORDASH INC,VP PRODUCT MANAGEMENT NEW VERTICALS,274206,274206,274206.0,1
DOORDASH INC,DATA SCIENCE MANAGER,226000,226000,226000.0,1
DOORDASH INC,DIRECTOR STRATEGIC PARTNERSHIPS,223000,223000,223000.0,1
DOORDASH INC,SOFTWARE ENGINEER FRONTEND,215197,215197,215197.0,1
DOORDASH INC,ENGINEERING MANAGER,208000,238563,214653.4,5
DOORDASH INC,STAFF DATA ENGINEER,208000,208000,208000.0,1
DOORDASH INC,SENIOR DATA SCIENTIST ANALYTICS,198000,226000,205000.0,4
DOORDASH INC,SENIOR MACHINE LEARNING ENGINEER,186846,210704,198775.0,2
DOORDASH INC,STAFF BUSINESS SYSTEMS PRODUCT OWNER,197829,197829,197829.0,1
DOORDASH INC,SOFTWARE ENGINEER ROBOTICS,183000,183000,183000.0,1
DOORDASH INC,SOFTWARE ENGINEER AUTONOMY,183000,183000,183000.0,1
DOORDASH INC,TECHNICAL PROGRAM MANAGER,181813,181813,181813.0,1
DOORDASH INC,SOFTWARE ENGINEER DATA,144500,196685,176627.66666666666,3
DOORDASH INC,OPERATIONS RESEARCH SCIENTIST,176000,176000,176000.0,1
DOORDASH INC,SOFTWARE ENGINEER DEVELOPER BACKEND,176000,176000,176000.0,1
DOORDASH INC,SOFTWARE ENGINEER BACKEND,176000,176000,176000.0,3
DOORDASH INC,PRODUCT MANAGER FINANCIAL INTELLIGENCE,176000,176000,176000.0,1
DOORDASH INC,STAFF PRODUCT OWNER BUSINESS SYSTEMS SALES,174000,174000,174000.0,1
DOORDASH INC,SENIOR MANAGER STRATEGY AND OPERATIONS,172232,172232,172232.0,1
DOORDASH INC,SOFTWARE ENGINEER,144500,215197,172166.75,44
DOORDASH INC,MACHINE LEARNING ENGINEER,147368,187500,170289.33333333334,3
DOORDASH INC,SENIOR DATA ENGINEER,158500,181813,170156.5,2
DOORDASH INC,SOFTWARE ENGINEER ANDROID,169562,169562,169562.0,1
DOORDASH INC,DATA SCIENTIST ANALYTICS,167000,167000,167000.0,4
DOORDASH INC,MANAGER STRATEGY & OPERATIONS,152000,152000,152000.0,1
DOORDASH INC,DATA ENGINEER,144500,144500,144500.0,2
DOORDASH INC,SENIOR REVENUE ANALYST,142000,142000,142000.0,2
DOORDASH INC,INTEGRATION ENGINEER,141500,141500,141500.0,1
DOORDASH INC,BUSINESS INTELLIGENCE ANALYST PEOPLE ANALYTICS,127500,127500,127500.0,1
DOORDASH INC,SENIOR SALESFORCE CPQ ADMINISTRATOR,119500,119500,119500.0,1
DOORDASH INC,ASSOCIATE MANAGER SALES STRATEGY & OPERATIONS,115000,115000,115000.0,1
DOORDASH INC,ASSOCIATE MANAGER STRATEGY & OPERATIONS,115000,115000,115000.0,1
DOORDASH INC,ASSOCIATE MANAGER MERCHANT STRATEGY,103500,103500,103500.0,1
